PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,9 may 2025,G  78-82,4,2,1,24,2-6,0-3,22.2%,0-2,0.0%,0,2,2,1,2,1,1,4,0
vs Súper Agropal Palencia,2 may 2025,G  101-96,10,3,6,31,1-5,0-0,20.0%,8-11,72.7%,0,3,3,6,1,0,0,10,13
@ Real Betis,27 abr 2025,P  100-61,15,1,2,23,3-4,3-6,60.0%,0-0,-,0,1,1,2,2,1,0,15,15
vs Gipuzkoa Basket,22 abr 2025,P  65-70,15,2,1,23,1-4,3-4,50.0%,4-4,100.0%,1,1,2,1,1,1,0,15,14
vs C.B. Moron,17 abr 2025,G  83-64,4,0,0,19,0-4,1-2,16.7%,1-2,50.0%,0,0,0,0,1,0,0,4,-1
@ Ourense,12 abr 2025,P  96-77,2,0,1,4,1-2,0-0,50.0%,0-0,-,0,0,0,1,0,0,0,2,2
vs Real Valladolid,4 abr 2025,P  83-102,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Monbus Obradoiro,28 mar 2025,P  100-72,0,0,1,13,0-0,0-0,-,0-0,-,0,0,0,1,1,0,0,0,2
vs UBU Tizona Burgos,21 mar 2025,P  94-97,8,1,1,15,1-1,1-3,50.0%,3-4,75.0%,1,0,1,1,0,3,0,8,4
@ Alimerka Oviedo,16 mar 2025,P  87-76,2,0,1,6,1-1,0-0,100.0%,0-0,-,0,0,0,1,0,1,0,2,2
vs Monbus Obradoiro,20 dic 2024,G  73-68,15,0,1,24,4-6,2-5,54.5%,1-2,50.0%,0,0,0,1,1,2,0,15,9
@ San Pablo Burgos,15 dic 2024,P  95-68,4,3,3,27,1-4,0-3,14.3%,2-2,100.0%,0,3,3,3,1,1,0,4,4
vs Hestia Menorca,11 dic 2024,G  68-63,2,4,9,25,1-4,0-3,14.3%,0-0,-,1,3,4,9,0,1,0,2,8
@ Gipuzkoa Basket,6 dic 2024,P  83-77,12,2,1,29,3-7,2-4,45.5%,0-0,-,1,1,2,1,1,3,0,12,7
vs Real Betis,1 dic 2024,P  60-94,4,2,2,17,2-5,0-3,25.0%,0-0,-,0,2,2,2,0,1,0,4,1
@ Súper Agropal Palencia,15 nov 2024,P  107-76,13,0,3,24,5-9,1-3,50.0%,0-0,-,0,0,0,3,2,5,0,13,7
vs Ourense,8 nov 2024,G  95-86,10,1,5,17,2-2,1-2,75.0%,3-4,75.0%,0,1,1,5,0,2,0,10,12
@ UBU Tizona Burgos,1 nov 2024,G  105-107,1,0,2,6,0-0,0-0,-,1-2,50.0%,0,0,0,2,0,0,1,1,3
vs Grupo Alega Cantabria,25 oct 2024,G  89-68,9,0,4,18,2-2,1-1,100.0%,2-3,66.7%,0,0,0,4,1,1,0,9,12
@ Fuenlabrada,19 oct 2024,P  94-74,4,0,1,15,0-1,1-3,25.0%,1-2,50.0%,0,0,0,1,1,1,0,4,1
vs CB Zamora,11 oct 2024,P  72-84,11,7,2,25,4-9,0-1,40.0%,3-4,75.0%,2,5,7,2,1,3,0,11,11
@ Movistar Estudiantes,6 oct 2024,P  108-85,9,3,3,22,3-6,1-3,44.4%,0-0,-,1,2,3,3,1,1,0,9,10
vs Alimerka Oviedo,27 sept 2024,G  90-68,8,3,5,18,2-2,1-3,60.0%,1-2,50.0%,0,3,3,5,0,1,0,8,12
