PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Reales de La Vega,10 jun 2025,G  87-74,17,10,3,35,6-7,0-4,54.5%,5-10,50.0%,,,10,3,2,1,1,17,12
vs Titanes Licey,8 jun 2025,P  69-87,4,3,0,21,2-2,0-1,66.7%,0-4,0.0%,,,3,0,2,0,0,4,1
@ Reales de La Vega,5 jun 2025,P  96-81,10,4,2,29,3-4,0-1,60.0%,4-6,66.7%,,,4,2,0,0,0,10,8
vs Metros de Santiago,1 jun 2025,G  107-95,17,7,1,31,4-6,2-4,60.0%,3-5,60.0%,,,7,1,2,0,2,17,16
vs Leones de Santo Domingo,1 jun 2025,G  87-78,14,11,2,31,4-4,2-7,54.5%,0-2,0.0%,,,11,2,0,2,3,14,10
@ Marineros de Puerto Plata,29 may 2025,P  94-80,5,2,3,24,1-3,0-2,20.0%,3-5,60.0%,,,2,3,1,2,0,5,1
vs Indios de San Francisco,25 may 2025,P  67-87,20,6,0,35,9-13,0-9,40.9%,2-6,33.3%,,,6,0,0,1,1,20,3
@ Soles de Santo Domingo Este,24 may 2025,G  64-88,15,5,0,27,1-3,3-6,44.4%,4-5,80.0%,,,5,0,2,0,0,15,11
@ Titanes Licey,18 may 2025,G  74-83,18,5,2,39,2-3,4-9,50.0%,2-3,66.7%,,,5,2,1,4,1,18,11
@ Metros de Santiago,14 may 2025,G  71-77,24,2,1,35,3-8,5-9,47.1%,3-3,100.0%,,,2,1,2,0,2,24,20
@ Fuenlabrada,9 may 2025,P  82-65,17,5,2,32,3-6,3-6,50.0%,2-2,100.0%,1.0,4.0,5,2,1,4,1,17,16
vs HLA Alicante,3 may 2025,G  72-65,15,4,1,34,2-4,2-3,57.1%,5-5,100.0%,0.0,4.0,4,1,1,1,1,15,18
@ Súper Agropal Palencia,26 abr 2025,P  81-68,13,5,1,26,3-5,2-3,62.5%,1-2,50.0%,0.0,5.0,5,1,2,1,0,13,16
vs Real Betis,22 abr 2025,P  63-76,10,2,1,28,2-6,1-2,37.5%,3-3,100.0%,0.0,2.0,2,1,1,0,1,10,10
@ Amics Castello,17 abr 2025,P  83-64,16,6,2,30,3-5,2-6,45.5%,4-5,80.0%,2.0,4.0,6,2,1,2,2,16,18
@ Movistar Estudiantes,13 abr 2025,P  87-70,11,1,2,23,1-4,3-4,50.0%,0-0,-,0.0,1.0,1,2,0,1,1,11,10
vs Monbus Obradoiro,6 abr 2025,P  70-99,14,6,0,34,4-5,2-9,42.9%,0-0,-,4.0,2.0,6,0,1,2,0,14,11
@ Alimerka Oviedo,29 mar 2025,P  74-61,17,6,1,35,4-7,3-8,46.7%,0-0,-,1.0,5.0,6,1,1,1,3,17,19
vs Cartagena,22 mar 2025,P  64-68,21,4,1,34,4-6,4-10,50.0%,1-1,100.0%,0.0,4.0,4,1,0,2,2,21,18
@ Real Valladolid,15 mar 2025,G  78-91,9,4,3,22,2-3,1-2,60.0%,2-2,100.0%,0.0,4.0,4,3,1,1,0,9,14
vs Ourense,11 mar 2025,G  89-59,19,7,2,31,5-9,3-7,50.0%,0-1,0.0%,2.0,5.0,7,2,3,2,0,19,20
@ UBU Tizona Burgos,7 mar 2025,P  97-73,6,5,2,26,1-2,1-5,28.6%,1-2,50.0%,0.0,5.0,5,2,2,2,1,6,8
vs Grupo Alega Cantabria,2 mar 2025,P  68-87,16,4,0,28,3-8,2-7,33.3%,4-4,100.0%,2.0,2.0,4,0,0,1,0,16,9
@ Hestia Menorca,16 feb 2025,P  70-58,0,2,3,20,0-4,0-6,0.0%,0-0,-,1.0,1.0,2,3,0,1,0,0,-6
vs CB Zamora,12 feb 2025,P  68-84,11,4,0,27,3-5,1-3,50.0%,2-3,66.7%,0.0,4.0,4,0,1,1,0,11,10
@ San Pablo Burgos,8 feb 2025,P  101-71,16,2,1,31,1-2,3-7,44.4%,5-7,71.4%,0.0,2.0,2,1,2,1,0,16,13
vs Gipuzkoa Basket,1 feb 2025,P  74-81,15,3,0,29,2-5,3-4,55.6%,2-2,100.0%,0.0,3.0,3,0,1,3,1,15,13
@ HLA Alicante,18 ene 2025,P  86-74,13,2,1,32,4-5,1-7,41.7%,2-2,100.0%,1.0,1.0,2,1,1,1,1,13,10
vs Real Valladolid,11 ene 2025,P  71-89,16,3,3,32,2-6,3-5,45.5%,3-3,100.0%,1.0,2.0,3,3,1,0,0,16,17
vs Amics Castello,4 ene 2025,G  84-79,14,4,2,28,1-4,3-7,36.4%,3-4,75.0%,1.0,3.0,4,2,2,0,0,14,14
@ Real Betis,29 dic 2024,P  74-68,2,5,1,20,1-2,0-1,33.3%,0-1,0.0%,0.0,5.0,5,1,1,1,0,2,5
vs San Pablo Burgos,20 dic 2024,P  66-89,8,4,1,24,1-2,2-6,37.5%,0-0,-,0.0,4.0,4,1,0,4,0,8,4
@ Cartagena,15 dic 2024,P  79-76,9,5,4,26,3-6,1-6,33.3%,0-1,0.0%,2.0,3.0,5,4,2,5,0,9,6
vs Movistar Estudiantes,11 dic 2024,P  93-99,11,5,2,31,2-4,2-9,30.8%,1-1,100.0%,0.0,5.0,5,2,0,0,1,11,10
@ CB Zamora,7 dic 2024,P  84-71,11,2,0,22,1-3,3-9,33.3%,0-0,-,1.0,1.0,2,0,0,3,0,11,2
vs Súper Agropal Palencia,1 dic 2024,P  86-91,5,1,0,18,1-4,1-2,33.3%,0-0,-,0.0,1.0,1,0,0,1,0,5,1
