PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Gipuzkoa Basket,9 may 2025,P  87-78,5,2,2,15,1-2,0-4,16.7%,3-3,100.0%,1,1,2,2,1,3,0,5,2
vs Real Valladolid,3 may 2025,G  95-84,17,2,0,21,2-5,2-6,36.4%,7-8,87.5%,0,2,2,0,0,0,0,17,11
@ Grupo Alega Cantabria,26 abr 2025,P  86-77,19,4,2,24,3-5,3-6,54.5%,4-5,80.0%,1,3,4,2,0,1,0,19,18
vs Súper Agropal Palencia,23 abr 2025,G  94-84,13,0,4,25,0-2,4-7,44.4%,1-2,50.0%,0,0,0,4,0,4,0,13,7
vs Boras Basket,28 mar 2025,G  97-93,22,3,6,36,1-3,4-7,50.0%,8-9,88.9%,0,3,3,6,1,5,0,22,21
@ Högsbo Basket,24 mar 2025,P  104-98,23,2,7,40,3-5,3-10,40.0%,8-8,100.0%,0,2,2,7,0,3,0,23,20
@ Koping Stars,21 mar 2025,P  112-110,24,3,12,40,3-7,5-12,42.1%,3-3,100.0%,0,3,3,12,1,4,0,24,25
vs Högsbo Basket,13 mar 2025,G  121-80,20,1,15,32,6-6,1-4,70.0%,5-6,83.3%,0,1,1,15,0,3,0,20,29
@ Jamtland Basket,8 mar 2025,G  78-96,22,4,13,39,4-8,1-5,38.5%,11-12,91.7%,1,3,4,13,2,4,0,22,28
@ Boras Basket,2 mar 2025,P  82-55,10,1,4,37,4-6,0-6,33.3%,2-2,100.0%,1,0,1,4,3,6,0,10,4
vs Sodertalje BBK,28 feb 2025,G  89-82,21,1,12,40,3-8,3-7,40.0%,6-8,75.0%,0,1,1,12,2,1,0,21,24
vs Umea,13 feb 2025,G  102-77,29,2,7,36,10-12,1-6,61.1%,6-7,85.7%,0,2,2,7,1,2,0,29,29
@ Koping Stars,11 feb 2025,G  95-98,33,5,7,39,4-8,6-11,52.6%,7-9,77.8%,0,5,5,7,0,6,0,33,28
vs Norrkoping Dolphins,7 feb 2025,G  99-91,32,0,8,36,5-7,4-9,56.3%,10-12,83.3%,0,0,0,8,0,3,0,32,28
@ Lulea,3 feb 2025,P  88-77,11,4,6,36,1-5,2-7,25.0%,3-4,75.0%,0,4,4,6,1,2,0,11,10
vs Uppsala,24 ene 2025,G  88-80,23,1,8,37,4-9,3-7,43.8%,6-7,85.7%,0,1,1,8,1,3,0,23,20
vs Boras Basket,17 ene 2025,P  80-85,23,1,9,38,4-10,3-6,43.8%,6-6,100.0%,0,1,1,9,2,5,0,23,21
@ Uppsala,12 ene 2025,P  85-69,6,3,9,35,2-4,0-4,25.0%,2-2,100.0%,0,3,3,9,0,2,0,6,10
vs Sodertalje BBK,3 ene 2025,P  77-80,20,1,6,38,4-9,2-5,42.9%,6-7,85.7%,0,1,1,6,0,1,0,20,17
@ Norrkoping Dolphins,30 dic 2024,P  106-76,12,3,3,40,2-7,1-7,21.4%,5-8,62.5%,0,3,3,3,1,3,0,12,2
vs Koping Stars,27 dic 2024,G  94-83,24,2,8,37,2-4,4-10,42.9%,8-8,100.0%,0,2,2,8,0,7,0,24,19
@ Lulea,17 dic 2024,G  94-104,43,5,7,38,5-8,9-10,77.8%,6-7,85.7%,1,4,5,7,0,1,0,43,49
vs Umea,6 dic 2024,G  90-87,17,1,9,40,4-12,1-5,29.4%,6-7,85.7%,0,1,1,9,0,4,0,17,10
@ Högsbo Basket,2 dic 2024,G  84-104,16,2,8,34,5-7,1-5,50.0%,3-4,75.0%,0,2,2,8,0,2,0,16,17
vs Jamtland Basket,29 nov 2024,G  105-99,21,8,8,38,5-10,2-7,41.2%,5-6,83.3%,2,6,8,8,2,3,0,21,25
@ Umea,16 nov 2024,G  76-93,21,2,8,35,4-8,2-6,42.9%,7-11,63.6%,0,2,2,8,0,3,0,21,16
vs Högsbo Basket,12 nov 2024,G  111-103,25,2,10,37,7-9,1-4,61.5%,8-8,100.0%,0,2,2,10,0,3,0,25,29
@ Jamtland Basket,7 nov 2024,G  97-98,19,2,13,38,0-3,5-10,38.5%,4-5,80.0%,0,2,2,13,2,3,0,19,24
vs Koping Stars,1 nov 2024,P  97-112,17,2,9,40,2-8,3-7,33.3%,4-10,40.0%,0,2,2,9,1,0,0,17,13
@ Norrkoping Dolphins,26 oct 2024,P  109-77,13,4,12,40,3-8,1-6,28.6%,4-5,80.0%,0,4,4,12,0,2,0,13,16
vs Lulea,18 oct 2024,P  95-109,16,1,6,37,3-4,2-7,45.5%,4-6,66.7%,0,1,1,6,2,2,0,16,15
@ Sodertalje BBK,12 oct 2024,P  92-75,17,3,3,39,1-4,2-5,33.3%,9-9,100.0%,0,3,3,3,2,4,0,17,15
vs Uppsala,8 oct 2024,P  86-89,29,2,5,34,11-14,2-5,68.4%,1-3,33.3%,1,1,2,5,4,3,1,29,30
@ Boras Basket,4 oct 2024,P  99-74,13,2,5,37,1-7,2-8,20.0%,5-6,83.3%,0,2,2,5,0,4,0,13,3
