PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Calgary Surge,14 ago 2025,P  103-95,0,3,0,5,0-1,0-0,0.0%,0-0,-,1,2,3,0,0,0,0,0,2
vs Winnipeg Sea Bears,10 ago 2025,G  97-77,2,3,1,9,1-1,0-0,100.0%,0-2,0.0%,1,2,3,1,0,0,0,2,4
@ Saskatchewan Rattlers,6 ago 2025,G  94-100,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Saskatchewan Rattlers,3 ago 2025,P  88-90,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Vancouver Bandits,1 ago 2025,P  105-121,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Winnipeg Sea Bears,25 jul 2025,G  92-95,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Scarborough Shooting Stars,11 jul 2025,G  75-81,0,2,0,3,0-0,0-0,-,0-2,0.0%,0,2,2,0,0,1,1,0,0
vs Calgary Surge,6 jul 2025,G  113-90,2,0,0,6,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
vs Montreal Alliance,1 jul 2025,G  94-83,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Scarborough Shooting Stars,29 jun 2025,G  98-81,2,0,0,4,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Winnipeg Sea Bears,22 jun 2025,G  98-85,2,0,0,4,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Calgary Surge,19 jun 2025,G  95-98,4,3,1,5,2-2,0-0,100.0%,0-0,-,2,1,3,1,1,0,0,4,9
@ Brampton Honey Badgers,14 jun 2025,P  95-91,2,1,0,4,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,2,3
vs Ottawa BlackJacks,10 jun 2025,G  93-74,2,4,0,11,1-2,0-0,50.0%,0-0,-,2,2,4,0,0,0,0,2,5
@ Montreal Alliance,7 jun 2025,P  105-83,2,2,3,11,1-1,0-0,100.0%,0-0,-,1,1,2,3,0,0,0,2,7
vs Vancouver Bandits,30 may 2025,P  95-104,0,3,0,6,0-1,0-0,0.0%,0-0,-,0,3,3,0,0,1,0,0,1
vs Brampton Honey Badgers,28 may 2025,G  99-81,4,2,0,16,1-1,0-0,100.0%,2-2,100.0%,1,1,2,0,1,0,0,4,7
@ Vancouver Bandits,24 may 2025,P  109-79,4,3,1,11,1-1,0-0,100.0%,2-2,100.0%,2,1,3,1,0,1,0,4,7
@ Saskatchewan Rattlers,22 may 2025,G  89-92,6,4,1,18,3-7,0-0,42.9%,0-0,-,2,2,4,1,0,0,0,6,7
@ Winnipeg Sea Bears,16 may 2025,P  92-89,5,6,0,13,2-4,0-0,50.0%,1-2,50.0%,3,3,6,0,0,1,1,5,8
vs Calgary Surge,11 may 2025,P  84-86,2,0,0,4,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Cartagena,9 may 2025,G  84-69,6,5,0,13,3-7,0-0,42.9%,0-0,-,1,4,5,0,0,0,0,6,7
@ Movistar Estudiantes,22 abr 2025,P  101-76,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs San Pablo Burgos,19 abr 2025,P  74-85,0,2,0,6,0-0,0-0,-,0-0,-,0,2,2,0,0,0,0,0,2
@ Real Valladolid,11 abr 2025,G  81-88,13,4,2,14,6-7,0-0,85.7%,1-1,100.0%,2,2,4,2,0,0,0,13,18
vs Monbus Obradoiro,2 abr 2025,P  58-85,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,-2
@ Hestia Menorca,29 mar 2025,P  84-62,6,0,0,8,3-3,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,6,6
@ Súper Agropal Palencia,21 mar 2025,P  85-77,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Gipuzkoa Basket,16 mar 2025,P  101-108,0,2,0,10,0-0,0-0,-,0-0,-,2,0,2,0,0,1,0,0,1
@ Fuenlabrada,12 mar 2025,P  94-70,10,5,0,21,3-3,0-0,100.0%,4-6,66.7%,2,3,5,0,0,2,0,10,11
vs HLA Alicante,8 mar 2025,G  83-72,6,0,0,13,3-4,0-0,75.0%,0-0,-,0,0,0,0,1,0,0,6,6
@ C.B. Moron,2 mar 2025,G  68-87,12,6,0,19,4-4,0-0,100.0%,4-5,80.0%,1,5,6,0,1,1,1,12,18
vs Amics Castello,15 feb 2025,G  96-76,2,3,1,17,1-4,0-0,25.0%,0-0,-,1,2,3,1,0,1,0,2,2
@ Real Betis,11 feb 2025,P  88-77,2,1,1,7,1-1,0-0,100.0%,0-0,-,0,1,1,1,1,0,0,2,5
@ UBU Tizona Burgos,31 ene 2025,P  90-87,7,5,0,17,3-3,0-0,100.0%,1-2,50.0%,3,2,5,0,1,1,0,7,11
vs Súper Agropal Palencia,18 ene 2025,P  59-83,2,1,2,10,0-2,0-0,0.0%,2-2,100.0%,1,0,1,2,0,1,0,2,2
@ Cartagena,12 ene 2025,P  87-78,3,2,0,19,0-2,0-0,0.0%,3-8,37.5%,2,0,2,0,0,0,0,3,-2
vs Movistar Estudiantes,4 ene 2025,P  75-92,3,2,0,15,1-3,0-0,33.3%,1-1,100.0%,1,1,2,0,0,1,0,3,2
@ Gipuzkoa Basket,29 dic 2024,P  83-60,5,5,0,16,2-4,0-0,50.0%,1-2,50.0%,1,4,5,0,0,0,0,5,7
vs CB Zamora,21 dic 2024,G  89-71,2,1,0,5,1-2,0-0,50.0%,0-0,-,0,1,1,0,0,1,0,2,1
