PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Cartagena,9 may 2025,G  84-69,7,8,1,19,2-2,0-1,66.7%,3-3,100.0%,0,8,8,1,1,2,0,7,14
@ CB Zamora,2 may 2025,G  71-82,7,2,0,20,2-4,1-2,50.0%,0-0,-,1,1,2,0,0,2,0,7,4
vs Ourense,26 abr 2025,G  86-77,15,3,0,26,3-3,2-3,83.3%,3-3,100.0%,1,2,3,0,0,1,0,15,16
@ Movistar Estudiantes,22 abr 2025,P  101-76,3,2,0,21,0-1,1-6,14.3%,0-0,-,0,2,2,0,0,2,2,3,-1
vs San Pablo Burgos,19 abr 2025,P  74-85,8,6,3,23,1-2,2-5,42.9%,0-0,-,1,5,6,3,2,3,0,8,12
@ Real Valladolid,11 abr 2025,G  81-88,2,2,3,15,0-1,0-2,0.0%,2-2,100.0%,0,2,2,3,0,0,0,2,4
vs Alimerka Oviedo,6 abr 2025,G  80-73,11,5,0,23,1-3,3-5,50.0%,0-0,-,3,2,5,0,0,1,0,11,11
vs Monbus Obradoiro,2 abr 2025,P  58-85,5,0,1,15,0-1,1-6,14.3%,2-2,100.0%,0,0,0,1,0,1,0,5,-1
@ Hestia Menorca,29 mar 2025,P  84-62,0,1,0,11,0-2,0-2,0.0%,0-2,0.0%,0,1,1,0,0,0,0,0,-5
@ Súper Agropal Palencia,21 mar 2025,P  85-77,3,2,0,18,0-3,1-5,12.5%,0-0,-,0,2,2,0,0,2,0,3,-4
vs Gipuzkoa Basket,16 mar 2025,P  101-108,8,1,0,14,1-1,2-4,60.0%,0-0,-,0,1,1,0,1,2,0,8,6
@ Fuenlabrada,12 mar 2025,P  94-70,2,2,1,14,1-2,0-0,50.0%,0-0,-,1,1,2,1,1,1,0,2,4
vs HLA Alicante,8 mar 2025,G  83-72,3,5,3,13,0-0,1-2,50.0%,0-0,-,1,4,5,3,0,0,0,3,10
@ C.B. Moron,2 mar 2025,G  68-87,6,3,4,19,0-1,2-5,33.3%,0-0,-,0,3,3,4,0,1,0,6,8
vs Amics Castello,15 feb 2025,G  96-76,8,1,3,12,1-4,2-3,42.9%,0-0,-,1,0,1,3,4,2,0,8,10
@ Real Betis,11 feb 2025,P  88-77,4,0,0,17,1-1,0-3,25.0%,2-2,100.0%,0,0,0,0,2,2,0,4,1
@ UBU Tizona Burgos,31 ene 2025,P  90-87,3,1,1,15,1-1,0-5,16.7%,1-2,50.0%,0,1,1,1,0,3,0,3,-4
vs Súper Agropal Palencia,18 ene 2025,P  59-83,8,3,4,29,1-4,2-3,42.9%,0-0,-,0,3,3,4,2,1,0,8,12
@ Cartagena,12 ene 2025,P  87-78,9,1,3,31,3-4,1-1,80.0%,0-0,-,0,1,1,3,2,2,0,9,12
vs Movistar Estudiantes,4 ene 2025,P  75-92,13,2,2,27,4-4,1-5,55.6%,2-4,50.0%,1,1,2,2,2,2,0,13,11
@ Gipuzkoa Basket,29 dic 2024,P  83-60,11,1,1,23,3-5,1-4,44.4%,2-4,50.0%,1,0,1,1,1,2,1,11,6
vs CB Zamora,21 dic 2024,G  89-71,8,4,7,23,2-3,1-3,50.0%,1-2,50.0%,2,2,4,7,3,2,0,8,16
vs UBU Tizona Burgos,15 dic 2024,G  83-80,3,1,1,17,0-1,1-2,33.3%,0-0,-,0,1,1,1,0,2,0,3,1
@ Alimerka Oviedo,10 dic 2024,P  95-70,6,3,3,16,3-4,0-2,50.0%,0-0,-,1,2,3,3,0,4,0,6,5
vs Fuenlabrada,7 dic 2024,P  67-75,7,6,3,32,2-2,1-10,25.0%,0-0,-,1,5,6,3,1,4,0,7,4
@ Monbus Obradoiro,1 dic 2024,P  93-54,11,4,1,29,1-3,2-6,33.3%,3-4,75.0%,0,4,4,1,0,2,0,11,7
vs C.B. Moron,15 nov 2024,G  85-81,2,1,1,15,0-2,0-1,0.0%,2-2,100.0%,1,0,1,1,2,2,0,2,1
@ HLA Alicante,8 nov 2024,G  60-75,4,3,3,16,1-3,0-0,33.3%,2-4,50.0%,0,3,3,3,2,1,0,4,7
vs Real Valladolid,2 nov 2024,P  68-73,2,2,1,25,1-5,0-0,20.0%,0-0,-,0,2,2,1,0,1,0,2,0
@ Amics Castello,25 oct 2024,P  89-68,10,3,5,21,3-4,1-2,66.7%,1-1,100.0%,1,2,3,5,1,3,0,10,14
vs Real Betis,18 oct 2024,G  81-76,4,2,4,25,2-3,0-3,33.3%,0-0,-,0,2,2,4,1,4,0,4,3
@ Ourense,12 oct 2024,P  93-65,11,3,2,19,1-3,3-4,57.1%,0-0,-,0,3,3,2,0,0,0,11,13
vs Hestia Menorca,6 oct 2024,P  86-87,6,2,4,12,0-1,1-1,50.0%,3-4,75.0%,1,1,2,4,0,1,0,6,9
@ San Pablo Burgos,28 sept 2024,P  86-67,3,0,4,16,0-2,1-3,20.0%,0-0,-,0,0,0,4,1,1,0,3,3
