PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Grupo Alega Cantabria,9 may 2025,P  84-69,9,1,1,18,0-2,3-7,33.3%,0-0,-,0,1,1,1,0,4,0,9,1
vs Alimerka Oviedo,3 may 2025,G  72-71,3,1,0,14,0-2,1-1,33.3%,0-0,-,1,0,1,0,0,0,0,3,2
@ Real Valladolid,26 abr 2025,P  86-75,6,5,1,27,1-1,1-4,40.0%,1-2,50.0%,3,2,5,1,0,1,1,6,8
vs UBU Tizona Burgos,23 abr 2025,G  83-65,10,4,2,26,1-2,2-3,60.0%,2-2,100.0%,1,3,4,2,1,1,0,10,14
@ Hestia Menorca,19 abr 2025,G  86-87,5,5,2,23,0-2,1-3,20.0%,2-2,100.0%,2,3,5,2,0,2,1,5,7
vs Real Betis,13 abr 2025,P  72-85,3,4,3,15,1-2,0-1,33.3%,1-2,50.0%,1,3,4,3,0,0,0,3,7
@ HLA Alicante,5 abr 2025,P  110-70,3,1,0,18,0-2,1-4,16.7%,0-0,-,0,1,1,0,0,1,0,3,-2
vs Fuenlabrada,29 mar 2025,P  76-78,7,2,2,19,2-3,1-4,42.9%,0-0,-,1,1,2,2,0,1,0,7,6
vs San Pablo Burgos,16 mar 2025,P  73-83,6,3,0,22,1-3,0-4,14.3%,4-4,100.0%,0,3,3,0,0,0,0,6,3
@ Súper Agropal Palencia,12 mar 2025,P  88-71,8,6,0,25,2-3,1-3,50.0%,1-2,50.0%,3,3,6,0,1,0,0,8,11
vs Gipuzkoa Basket,8 mar 2025,G  81-73,2,2,0,22,1-1,0-2,33.3%,0-0,-,0,2,2,0,0,0,0,2,2
@ Amics Castello,2 mar 2025,G  83-87,2,4,1,13,0-0,0-1,0.0%,2-2,100.0%,1,3,4,1,0,0,0,2,6
vs Ourense,16 feb 2025,G  92-80,5,2,1,18,1-2,1-2,50.0%,0-0,-,1,1,2,1,1,1,0,5,6
@ Monbus Obradoiro,11 feb 2025,P  88-62,3,2,0,18,1-3,0-3,16.7%,1-1,100.0%,1,1,2,0,0,0,0,3,0
vs Movistar Estudiantes,8 feb 2025,P  70-80,2,0,0,18,0-2,0-1,0.0%,2-3,66.7%,0,0,0,0,0,0,0,2,-2
vs CB Zamora,1 feb 2025,G  73-70,8,1,1,24,4-4,0-1,80.0%,0-0,-,0,1,1,1,3,0,1,8,13
@ Alimerka Oviedo,18 ene 2025,G  73-87,0,3,1,18,0-3,0-1,0.0%,0-0,-,2,1,3,1,0,1,0,0,-1
vs Grupo Alega Cantabria,12 ene 2025,G  87-78,15,4,0,24,4-4,2-3,85.7%,1-2,50.0%,3,1,4,0,2,0,0,15,19
@ San Pablo Burgos,4 ene 2025,P  112-84,9,2,1,20,3-3,1-2,80.0%,0-0,-,1,1,2,1,1,1,1,9,12
vs Amics Castello,29 dic 2024,G  107-106,7,3,2,27,2-2,1-5,42.9%,0-0,-,0,3,3,2,0,1,0,7,7
@ Gipuzkoa Basket,20 dic 2024,G  84-85,6,3,1,15,0-0,2-4,50.0%,0-0,-,1,2,3,1,1,0,1,6,10
vs C.B. Moron,15 dic 2024,G  79-76,11,0,1,24,1-1,3-9,40.0%,0-0,-,0,0,0,1,0,0,0,11,6
@ UBU Tizona Burgos,11 dic 2024,P  103-96,6,0,2,17,0-0,2-4,50.0%,0-0,-,0,0,0,2,0,2,0,6,4
vs Real Valladolid,7 dic 2024,P  76-80,0,8,2,25,0-1,0-5,0.0%,0-0,-,0,8,8,2,0,0,0,0,4
@ Fuenlabrada,1 dic 2024,P  79-65,11,5,1,20,1-2,3-10,33.3%,0-0,-,2,3,5,1,2,1,0,11,10
vs Hestia Menorca,26 oct 2024,G  78-70,2,1,0,15,0-0,0-1,0.0%,2-2,100.0%,0,1,1,0,0,1,1,2,2
@ CB Zamora,19 oct 2024,P  94-83,0,3,0,12,0-1,0-1,0.0%,0-0,-,1,2,3,0,0,1,0,0,0
vs Monbus Obradoiro,12 oct 2024,G  73-68,2,7,0,20,1-1,0-1,50.0%,0-0,-,1,6,7,0,0,1,1,2,8
vs HLA Alicante,6 oct 2024,G  72-69,8,3,0,22,1-1,2-5,50.0%,0-0,-,0,3,3,0,0,3,0,8,5
@ Ourense,28 sept 2024,P  101-73,10,3,0,17,1-1,1-3,50.0%,5-5,100.0%,2,1,3,0,0,0,0,10,11
