PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Grupo Alega Cantabria,9 may 2025,P  84-69,4,3,0,22,2-7,0-0,28.6%,0-2,0.0%,1,2,3,0,0,3,0,4,-3
vs Alimerka Oviedo,3 may 2025,G  72-71,0,5,1,19,0-1,0-1,0.0%,0-0,-,1,4,5,1,0,2,0,0,2
vs UBU Tizona Burgos,23 abr 2025,G  83-65,8,8,2,17,2-2,0-0,100.0%,4-6,66.7%,4,4,8,2,1,2,0,8,15
@ Hestia Menorca,19 abr 2025,G  86-87,8,4,0,18,2-3,0-0,66.7%,4-6,66.7%,1,3,4,0,0,2,0,8,7
vs Real Betis,13 abr 2025,P  72-85,1,3,2,18,0-4,0-1,0.0%,1-2,50.0%,3,0,3,2,1,2,0,1,-1
@ HLA Alicante,5 abr 2025,P  110-70,8,5,2,25,4-5,0-0,80.0%,0-0,-,2,3,5,2,1,1,0,8,14
vs Fuenlabrada,29 mar 2025,P  76-78,17,8,1,22,7-8,0-1,77.8%,3-3,100.0%,5,3,8,1,1,3,0,17,22
@ C.B. Moron,22 mar 2025,G  64-68,2,6,0,15,1-2,0-0,50.0%,0-2,0.0%,2,4,6,0,0,1,1,2,5
vs San Pablo Burgos,16 mar 2025,P  73-83,10,7,0,16,4-6,0-0,66.7%,2-2,100.0%,6,1,7,0,0,2,0,10,13
@ Súper Agropal Palencia,12 mar 2025,P  88-71,8,5,3,21,2-5,1-1,50.0%,1-1,100.0%,3,2,5,3,0,0,0,8,13
vs Gipuzkoa Basket,8 mar 2025,G  81-73,8,5,0,18,2-6,0-1,28.6%,4-4,100.0%,1,4,5,0,0,0,0,8,8
@ Amics Castello,2 mar 2025,G  83-87,5,1,1,23,2-6,0-1,28.6%,1-2,50.0%,0,1,1,1,0,2,1,5,0
vs Ourense,16 feb 2025,G  92-80,7,8,0,20,2-5,0-1,33.3%,3-8,37.5%,5,3,8,0,2,0,0,7,8
@ Monbus Obradoiro,11 feb 2025,P  88-62,14,5,2,23,3-6,1-1,57.1%,5-6,83.3%,3,2,5,2,0,1,0,14,16
vs Movistar Estudiantes,8 feb 2025,P  70-80,0,1,1,11,0-0,0-0,-,0-0,-,0,1,1,1,0,1,0,0,1
vs CB Zamora,1 feb 2025,G  73-70,10,3,2,19,1-4,2-2,50.0%,2-2,100.0%,2,1,3,2,1,0,0,10,13
@ Alimerka Oviedo,18 ene 2025,G  73-87,6,3,0,21,3-5,0-0,60.0%,0-2,0.0%,1,2,3,0,1,0,0,6,6
vs Grupo Alega Cantabria,12 ene 2025,G  87-78,12,10,1,29,5-11,0-0,45.5%,2-4,50.0%,4,6,10,1,0,1,1,12,15
@ San Pablo Burgos,4 ene 2025,P  112-84,9,6,2,23,4-6,0-0,66.7%,1-2,50.0%,2,4,6,2,4,4,0,9,14
vs Amics Castello,29 dic 2024,G  107-106,11,8,2,33,5-7,0-0,71.4%,1-2,50.0%,2,6,8,2,5,2,0,11,21
@ Gipuzkoa Basket,20 dic 2024,G  84-85,12,4,0,26,5-6,0-0,83.3%,2-4,50.0%,0,4,4,0,0,0,0,12,13
vs C.B. Moron,15 dic 2024,G  79-76,11,6,1,24,4-8,0-0,50.0%,3-3,100.0%,5,1,6,1,4,1,1,11,18
@ UBU Tizona Burgos,11 dic 2024,P  103-96,6,7,1,29,3-8,0-0,37.5%,0-2,0.0%,4,3,7,1,0,3,0,6,4
vs Real Valladolid,7 dic 2024,P  76-80,6,7,4,21,3-4,0-0,75.0%,0-2,0.0%,4,3,7,4,2,0,0,6,16
@ Fuenlabrada,1 dic 2024,P  79-65,2,4,0,15,1-3,0-0,33.3%,0-0,-,2,2,4,0,1,1,0,2,4
@ Movistar Estudiantes,17 nov 2024,P  91-68,8,3,0,17,4-5,0-0,80.0%,0-0,-,1,2,3,0,0,1,0,8,9
vs Súper Agropal Palencia,8 nov 2024,P  67-100,0,4,0,14,0-3,0-0,0.0%,0-0,-,2,2,4,0,0,0,0,0,1
@ Real Betis,3 nov 2024,P  82-66,0,1,0,14,0-0,0-0,-,0-0,-,0,1,1,0,1,0,0,0,2
vs Hestia Menorca,26 oct 2024,G  78-70,12,9,0,16,4-6,0-0,66.7%,4-6,66.7%,5,4,9,0,2,1,0,12,18
@ CB Zamora,19 oct 2024,P  94-83,0,1,0,10,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
vs Monbus Obradoiro,12 oct 2024,G  73-68,0,3,0,10,0-0,0-0,-,0-0,-,1,2,3,0,0,0,0,0,3
vs HLA Alicante,6 oct 2024,G  72-69,4,2,2,14,1-2,0-0,50.0%,2-2,100.0%,0,2,2,2,0,2,1,4,6
@ Ourense,28 sept 2024,P  101-73,11,4,1,14,5-10,0-0,50.0%,1-1,100.0%,2,2,4,1,0,0,1,11,12
