PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Monbus Obradoiro,11 feb 2025,P  88-62,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Movistar Estudiantes,8 feb 2025,P  70-80,3,7,4,25,1-2,0-2,25.0%,1-2,50.0%,3,4,7,4,1,3,1,3,9
vs CB Zamora,1 feb 2025,G  73-70,4,2,3,17,1-2,0-2,25.0%,2-4,50.0%,1,1,2,3,2,1,0,4,5
@ Alimerka Oviedo,18 ene 2025,G  73-87,5,2,6,24,1-5,1-2,28.6%,0-0,-,0,2,2,6,2,2,0,5,8
vs Grupo Alega Cantabria,12 ene 2025,G  87-78,6,5,6,29,1-4,1-7,18.2%,1-3,33.3%,3,2,5,6,2,6,0,6,2
@ San Pablo Burgos,4 ene 2025,P  112-84,9,3,5,21,2-4,1-2,50.0%,2-2,100.0%,3,0,3,5,2,0,0,9,16
vs Amics Castello,29 dic 2024,G  107-106,14,1,6,19,2-5,2-2,57.1%,4-4,100.0%,0,1,1,6,3,1,0,14,20
@ Gipuzkoa Basket,20 dic 2024,G  84-85,4,1,4,21,2-2,0-0,100.0%,0-0,-,0,1,1,4,1,7,1,4,4
vs C.B. Moron,15 dic 2024,G  79-76,12,5,3,23,3-6,2-5,45.5%,0-0,-,3,2,5,3,3,1,0,12,16
@ UBU Tizona Burgos,11 dic 2024,P  103-96,7,2,2,13,0-2,1-2,25.0%,4-4,100.0%,0,2,2,2,1,2,0,7,7
vs Real Valladolid,7 dic 2024,P  76-80,7,3,1,16,0-2,1-4,16.7%,4-6,66.7%,1,2,3,1,0,0,0,7,4
@ Fuenlabrada,1 dic 2024,P  79-65,3,1,1,22,0-1,0-2,0.0%,3-4,75.0%,1,0,1,1,4,1,0,3,4
@ Movistar Estudiantes,17 nov 2024,P  91-68,0,3,6,21,0-2,0-4,0.0%,0-0,-,1,2,3,6,0,1,0,0,2
vs Súper Agropal Palencia,8 nov 2024,P  67-100,9,3,3,19,1-3,1-2,40.0%,4-4,100.0%,0,3,3,3,0,3,2,9,11
@ Real Betis,3 nov 2024,P  82-66,3,4,0,20,0-1,1-4,20.0%,0-4,0.0%,1,3,4,0,1,4,0,3,-4
vs Hestia Menorca,26 oct 2024,G  78-70,3,2,1,10,0-1,1-1,50.0%,0-0,-,0,2,2,1,1,1,0,3,5
@ CB Zamora,19 oct 2024,P  94-83,6,4,0,19,3-4,0-1,60.0%,0-0,-,1,3,4,0,1,0,0,6,9
vs Monbus Obradoiro,12 oct 2024,G  73-68,2,2,4,14,0-2,0-3,0.0%,2-2,100.0%,1,1,2,4,1,0,0,2,4
vs HLA Alicante,6 oct 2024,G  72-69,2,2,0,11,1-1,0-1,50.0%,0-0,-,0,2,2,0,0,0,0,2,3
@ Ourense,28 sept 2024,P  101-73,0,2,2,15,0-0,0-1,0.0%,0-0,-,1,1,2,2,1,1,0,0,3
