PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,9 may 2025,P  87-68,2,0,1,17,1-2,0-0,50.0%,0-0,-,0,0,0,1,0,1,0,2,1
vs Fuenlabrada,2 may 2025,G  94-72,10,8,0,24,4-9,0-0,44.4%,2-3,66.7%,3,5,8,0,0,2,2,10,12
vs Amics Castello,27 abr 2025,G  100-61,4,2,3,14,1-3,0-0,33.3%,2-2,100.0%,0,2,2,3,1,3,0,4,5
@ C.B. Moron,22 abr 2025,G  63-76,12,5,1,24,6-7,0-0,85.7%,0-0,-,2,3,5,1,0,1,0,12,16
vs Monbus Obradoiro,18 abr 2025,P  77-78,9,9,5,32,3-6,0-0,50.0%,3-4,75.0%,1,8,9,5,1,1,1,9,20
@ Cartagena,13 abr 2025,G  72-85,8,7,5,22,3-3,0-0,100.0%,2-4,50.0%,1,6,7,5,1,3,0,8,16
vs Movistar Estudiantes,4 abr 2025,G  75-71,2,4,2,14,1-2,0-0,50.0%,0-0,-,1,3,4,2,0,1,0,2,6
@ UBU Tizona Burgos,28 mar 2025,G  69-91,7,3,1,18,3-5,0-0,60.0%,1-3,33.3%,1,2,3,1,0,1,0,7,6
vs Ourense,21 mar 2025,G  94-89,5,4,0,19,1-7,0-0,14.3%,3-6,50.0%,3,1,4,0,1,0,2,5,3
@ Hestia Menorca,16 mar 2025,G  78-83,9,8,1,22,3-3,0-0,100.0%,3-4,75.0%,1,7,8,1,2,2,0,9,17
vs CB Zamora,11 mar 2025,G  92-72,12,6,5,23,5-11,0-0,45.5%,2-5,40.0%,0,6,6,5,0,1,0,12,13
@ San Pablo Burgos,8 mar 2025,P  87-67,14,5,0,22,6-10,0-0,60.0%,2-4,50.0%,2,3,5,0,1,2,0,14,12
vs Gipuzkoa Basket,2 mar 2025,G  92-78,2,1,1,11,1-1,0-0,100.0%,0-0,-,0,1,1,1,0,0,1,2,5
@ Alimerka Oviedo,16 feb 2025,G  68-78,4,7,1,18,2-5,0-0,40.0%,0-0,-,1,6,7,1,0,1,0,4,8
vs Grupo Alega Cantabria,11 feb 2025,G  88-77,6,4,2,22,2-4,0-0,50.0%,2-2,100.0%,0,4,4,2,3,2,0,6,11
@ Real Valladolid,8 feb 2025,G  75-85,16,5,3,23,8-11,0-0,72.7%,0-3,0.0%,1,4,5,3,1,1,0,16,18
vs HLA Alicante,31 ene 2025,G  79-68,4,4,3,22,2-6,0-0,33.3%,0-2,0.0%,1,3,4,3,1,3,0,4,3
@ Ourense,20 dic 2024,P  94-86,9,6,4,29,3-5,0-0,60.0%,3-6,50.0%,1,5,6,4,1,3,0,9,12
vs Real Valladolid,15 dic 2024,G  89-59,14,4,2,16,4-6,0-0,66.7%,6-8,75.0%,0,4,4,2,0,0,0,14,16
@ Monbus Obradoiro,10 dic 2024,P  71-67,8,8,1,20,4-9,0-0,44.4%,0-2,0.0%,3,5,8,1,1,2,0,8,9
vs Alimerka Oviedo,6 dic 2024,G  86-77,18,8,2,24,7-10,0-0,70.0%,4-5,80.0%,4,4,8,2,1,3,1,18,23
@ Amics Castello,1 dic 2024,G  60-94,7,5,3,19,3-5,0-0,60.0%,1-2,50.0%,0,5,5,3,1,0,0,7,13
vs San Pablo Burgos,17 nov 2024,G  90-89,15,5,3,31,7-9,0-1,70.0%,1-2,50.0%,0,5,5,3,1,4,1,15,17
@ Movistar Estudiantes,10 nov 2024,P  86-82,11,4,2,25,5-7,0-0,71.4%,1-3,33.3%,2,2,4,2,1,1,0,11,13
vs Cartagena,3 nov 2024,G  82-66,10,11,1,22,5-7,0-1,62.5%,0-2,0.0%,6,5,11,1,0,4,0,10,13
vs Súper Agropal Palencia,26 oct 2024,G  85-68,12,6,4,28,5-10,0-0,50.0%,2-4,50.0%,2,4,6,4,0,0,0,12,15
@ Grupo Alega Cantabria,18 oct 2024,P  81-76,1,1,0,13,0-1,0-0,0.0%,1-2,50.0%,1,0,1,0,0,2,0,1,-2
@ HLA Alicante,13 oct 2024,G  57-64,9,9,0,23,3-3,0-0,100.0%,3-5,60.0%,1,8,9,0,0,0,0,9,16
vs UBU Tizona Burgos,4 oct 2024,G  95-76,4,2,2,14,2-4,0-0,50.0%,0-0,-,2,0,2,2,1,1,0,4,6
