PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,9 may 2025,P  87-68,9,3,2,21,1-2,2-6,37.5%,1-2,50.0%,1,2,3,2,1,1,1,9,9
vs Fuenlabrada,2 may 2025,G  94-72,26,8,2,28,2-2,7-11,69.2%,1-2,50.0%,0,8,8,2,0,2,0,26,29
vs Amics Castello,27 abr 2025,G  100-61,15,7,1,18,2-4,3-4,62.5%,2-2,100.0%,0,7,7,1,0,0,0,15,20
@ C.B. Moron,22 abr 2025,G  63-76,7,5,2,35,2-3,1-8,27.3%,0-0,-,0,5,5,2,1,2,0,7,5
vs Monbus Obradoiro,18 abr 2025,P  77-78,26,3,1,34,5-9,3-7,50.0%,7-8,87.5%,0,3,3,1,0,3,0,26,18
@ Cartagena,13 abr 2025,G  72-85,5,7,0,22,2-2,0-1,66.7%,1-1,100.0%,0,7,7,0,0,1,0,5,10
vs Movistar Estudiantes,4 abr 2025,G  75-71,16,4,0,31,0-2,5-9,45.5%,1-2,50.0%,0,4,4,0,1,4,0,16,10
@ UBU Tizona Burgos,28 mar 2025,G  69-91,29,1,0,26,2-5,6-8,61.5%,7-7,100.0%,0,1,1,0,1,1,0,29,25
vs Ourense,21 mar 2025,G  94-89,25,8,4,40,2-6,5-10,43.8%,6-6,100.0%,0,8,8,4,3,6,0,25,25
@ Hestia Menorca,16 mar 2025,G  78-83,14,2,3,32,3-4,2-3,71.4%,2-4,50.0%,0,2,2,3,4,3,0,14,16
vs CB Zamora,11 mar 2025,G  92-72,14,4,3,34,1-1,4-6,71.4%,0-0,-,1,3,4,3,1,1,0,14,19
@ San Pablo Burgos,8 mar 2025,P  87-67,3,1,0,23,0-0,1-4,25.0%,0-0,-,0,1,1,0,1,4,0,3,-2
vs Gipuzkoa Basket,2 mar 2025,G  92-78,25,4,3,32,5-7,4-6,69.2%,3-3,100.0%,3,1,4,3,2,2,0,25,28
@ Alimerka Oviedo,16 feb 2025,G  68-78,28,6,3,34,4-8,6-8,62.5%,2-2,100.0%,1,5,6,3,1,2,0,28,30
vs Grupo Alega Cantabria,11 feb 2025,G  88-77,25,4,0,34,6-6,4-8,71.4%,1-1,100.0%,1,3,4,0,0,1,0,25,24
@ Real Valladolid,8 feb 2025,G  75-85,16,5,4,33,2-5,3-7,41.7%,3-3,100.0%,1,4,5,4,1,2,0,16,17
vs HLA Alicante,31 ene 2025,G  79-68,8,2,2,27,1-2,2-5,42.9%,0-2,0.0%,1,1,2,2,0,0,0,8,6
@ Fuenlabrada,18 ene 2025,P  90-73,11,5,1,26,2-5,2-6,36.4%,1-2,50.0%,0,5,5,1,3,1,0,11,11
vs Hestia Menorca,12 ene 2025,G  89-65,19,4,3,29,3-3,4-6,77.8%,1-1,100.0%,1,3,4,3,1,0,1,19,26
@ CB Zamora,4 ene 2025,G  95-105,24,7,0,35,5-6,4-5,81.8%,2-3,66.7%,1,6,7,0,0,1,0,24,27
vs C.B. Moron,29 dic 2024,G  74-68,17,8,0,27,1-3,4-6,55.6%,3-4,75.0%,1,7,8,0,2,0,0,17,22
@ Ourense,20 dic 2024,P  94-86,20,0,1,30,6-8,1-7,46.7%,5-6,83.3%,0,0,0,1,2,1,0,20,13
vs Real Valladolid,15 dic 2024,G  89-59,20,5,6,28,5-9,3-3,66.7%,1-1,100.0%,1,4,5,6,2,0,0,20,29
@ Monbus Obradoiro,10 dic 2024,P  71-67,14,2,2,29,0-2,4-6,50.0%,2-2,100.0%,0,2,2,2,1,1,0,14,14
vs Alimerka Oviedo,6 dic 2024,G  86-77,15,5,2,32,3-9,2-3,41.7%,3-4,75.0%,1,4,5,2,1,0,1,15,16
@ Amics Castello,1 dic 2024,G  60-94,28,1,1,34,6-10,5-10,55.0%,1-1,100.0%,0,1,1,1,4,1,1,28,25
vs San Pablo Burgos,17 nov 2024,G  90-89,10,7,1,33,2-4,1-4,37.5%,3-4,75.0%,1,6,7,1,2,2,0,10,12
@ Movistar Estudiantes,10 nov 2024,P  86-82,10,3,1,26,3-3,1-4,57.1%,1-2,50.0%,0,3,3,1,1,1,0,10,10
vs Cartagena,3 nov 2024,G  82-66,14,3,2,31,5-6,0-6,41.7%,4-5,80.0%,3,0,3,2,1,1,0,14,11
vs Súper Agropal Palencia,26 oct 2024,G  85-68,21,7,1,31,3-4,5-6,80.0%,0-2,0.0%,1,6,7,1,1,0,0,21,26
@ Grupo Alega Cantabria,18 oct 2024,P  81-76,8,1,0,21,2-4,0-1,40.0%,4-4,100.0%,0,1,1,0,1,0,0,8,7
@ HLA Alicante,13 oct 2024,G  57-64,9,1,0,23,1-1,2-6,42.9%,1-2,50.0%,0,1,1,0,0,2,0,9,3
vs UBU Tizona Burgos,4 oct 2024,G  95-76,10,1,1,17,2-3,1-1,75.0%,3-4,75.0%,0,1,1,1,1,0,0,10,11
@ Gipuzkoa Basket,28 sept 2024,G  62-77,12,2,2,25,4-5,1-3,62.5%,1-1,100.0%,0,2,2,2,1,2,0,12,12
