PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Caceres,19 abr 2025,G  49-73,5,4,2,23,0-3,1-3,16.7%,2-2,100.0%,1,3,4,2,1,3,0,5,4
vs Biele ISB,12 abr 2025,P  69-72,5,1,3,21,1-6,1-3,22.2%,0-0,-,0,1,1,3,2,2,0,5,2
vs Algeciras,5 abr 2025,G  88-86,12,2,6,25,4-6,1-4,50.0%,1-1,100.0%,0,2,2,6,0,1,0,12,14
@ Clinica Ponferrada,29 mar 2025,P  79-74,6,2,2,21,1-2,0-2,25.0%,4-5,80.0%,0,2,2,2,1,2,0,6,5
vs La Salud UB Archena,22 mar 2025,G  83-76,8,4,2,22,2-2,0-4,33.3%,4-4,100.0%,1,3,4,2,2,0,0,8,12
@ Rioverde Clavijo,16 mar 2025,P  69-62,13,3,1,25,0-2,4-8,40.0%,1-2,50.0%,2,1,3,1,0,1,0,13,9
vs Ciudad de Huelva,8 mar 2025,G  99-60,2,3,4,15,1-2,0-1,33.3%,0-0,-,0,3,3,4,0,2,0,2,5
@ Zornotza,1 mar 2025,G  70-81,10,1,3,14,2-2,1-4,50.0%,3-4,75.0%,0,1,1,3,2,0,0,10,12
vs Cordoba CB,15 feb 2025,G  68-51,12,5,2,20,3-5,2-5,50.0%,0-0,-,1,4,5,2,1,1,0,12,14
@ Albacete,8 feb 2025,P  73-72,7,3,5,26,2-5,1-4,33.3%,0-0,-,0,3,3,5,0,2,0,7,7
vs C.B. Enrique Soler,1 feb 2025,G  68-63,9,2,2,19,2-6,1-3,33.3%,2-4,50.0%,0,2,2,2,0,3,0,9,2
vs Hestia Menorca,12 ene 2025,G  89-65,0,2,0,2,0-1,0-1,0.0%,0-0,-,0,2,2,0,0,0,0,0,0
@ Ourense,20 dic 2024,P  94-86,0,0,0,8,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Real Valladolid,15 dic 2024,G  89-59,5,6,2,23,0-3,1-2,20.0%,2-2,100.0%,2,4,6,2,1,2,0,5,8
@ Movistar Estudiantes,10 nov 2024,P  86-82,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ HLA Alicante,13 oct 2024,G  57-64,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs UBU Tizona Burgos,4 oct 2024,G  95-76,0,0,1,3,0-1,0-0,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
