PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,9 may 2025,P  87-68,1,0,0,14,0-0,0-4,0.0%,1-2,50.0%,0,0,0,0,1,0,0,1,-3
vs Fuenlabrada,2 may 2025,G  94-72,3,2,0,16,0-0,1-2,50.0%,0-0,-,0,2,2,0,0,0,0,3,4
vs Amics Castello,27 abr 2025,G  100-61,10,2,0,25,2-2,2-3,80.0%,0-0,-,0,2,2,0,0,1,0,10,10
@ C.B. Moron,22 abr 2025,G  63-76,6,6,1,17,2-2,0-2,50.0%,2-2,100.0%,1,5,6,1,1,1,0,6,11
vs Monbus Obradoiro,18 abr 2025,P  77-78,0,0,0,7,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Cartagena,13 abr 2025,G  72-85,3,6,0,12,0-0,1-2,50.0%,0-0,-,1,5,6,0,0,2,0,3,6
vs Movistar Estudiantes,4 abr 2025,G  75-71,4,1,0,11,2-2,0-2,50.0%,0-0,-,0,1,1,0,0,0,0,4,3
@ UBU Tizona Burgos,28 mar 2025,G  69-91,6,6,2,19,0-2,2-4,33.3%,0-0,-,0,6,6,2,1,2,1,6,10
vs Ourense,21 mar 2025,G  94-89,1,1,1,11,0-0,0-2,0.0%,1-2,50.0%,1,0,1,1,0,0,0,1,0
@ Hestia Menorca,16 mar 2025,G  78-83,5,0,1,10,1-1,0-1,50.0%,3-3,100.0%,0,0,0,1,0,0,0,5,5
vs CB Zamora,11 mar 2025,G  92-72,15,3,1,22,0-2,5-8,50.0%,0-0,-,1,2,3,1,0,0,0,15,14
@ San Pablo Burgos,8 mar 2025,P  87-67,5,3,3,22,1-1,1-4,40.0%,0-0,-,1,2,3,3,1,0,0,5,9
vs Gipuzkoa Basket,2 mar 2025,G  92-78,0,0,2,4,0-0,0-0,-,0-0,-,0,0,0,2,0,0,0,0,2
vs HLA Alicante,31 ene 2025,G  79-68,1,3,1,15,0-0,0-2,0.0%,1-2,50.0%,0,3,3,1,0,0,0,1,2
vs San Pablo Burgos,17 nov 2024,G  90-89,2,3,2,19,1-1,0-1,50.0%,0-0,-,1,2,3,2,0,1,0,2,5
@ Movistar Estudiantes,10 nov 2024,P  86-82,13,3,1,22,1-1,3-3,100.0%,2-2,100.0%,1,2,3,1,0,0,1,13,18
@ Grupo Alega Cantabria,18 oct 2024,P  81-76,6,0,2,28,1-1,1-3,50.0%,1-1,100.0%,0,0,0,2,2,2,0,6,6
@ HLA Alicante,13 oct 2024,G  57-64,1,6,0,25,0-0,0-2,0.0%,1-2,50.0%,1,5,6,0,0,2,0,1,2
vs UBU Tizona Burgos,4 oct 2024,G  95-76,8,7,0,22,1-1,1-3,50.0%,3-3,100.0%,0,7,7,0,1,0,0,8,14
@ Gipuzkoa Basket,28 sept 2024,G  62-77,5,4,0,29,0-0,1-4,25.0%,2-3,66.7%,0,4,4,0,1,0,1,5,7
