PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,9 may 2025,P  87-68,5,3,2,21,0-3,1-3,16.7%,2-2,100.0%,0,3,3,2,0,2,0,5,3
vs Fuenlabrada,2 may 2025,G  94-72,10,2,3,24,2-3,1-3,50.0%,3-4,75.0%,1,1,2,3,1,2,0,10,10
vs Amics Castello,27 abr 2025,G  100-61,14,5,3,23,3-5,2-2,71.4%,2-2,100.0%,2,3,5,3,2,3,1,14,20
@ C.B. Moron,22 abr 2025,G  63-76,2,5,8,23,1-4,0-3,14.3%,0-0,-,1,4,5,8,0,3,0,2,6
vs Monbus Obradoiro,18 abr 2025,P  77-78,13,4,1,34,2-5,3-5,50.0%,0-0,-,0,4,4,1,0,1,0,13,12
@ Cartagena,13 abr 2025,G  72-85,9,2,5,27,1-2,1-2,50.0%,4-5,80.0%,0,2,2,5,2,1,0,9,14
vs Movistar Estudiantes,4 abr 2025,G  75-71,6,7,3,32,1-3,1-4,28.6%,1-3,33.3%,1,6,7,3,0,1,0,6,8
@ UBU Tizona Burgos,28 mar 2025,G  69-91,5,0,4,28,0-2,1-3,20.0%,2-2,100.0%,0,0,0,4,1,3,0,5,3
vs Ourense,21 mar 2025,G  94-89,34,4,7,39,8-11,5-7,72.2%,3-4,75.0%,1,3,4,7,3,1,0,34,41
@ Hestia Menorca,16 mar 2025,G  78-83,5,5,7,34,2-6,0-3,22.2%,1-3,33.3%,1,4,5,7,1,4,0,5,5
vs CB Zamora,11 mar 2025,G  92-72,13,5,11,28,1-3,3-7,40.0%,2-2,100.0%,0,5,5,11,1,0,1,13,25
@ San Pablo Burgos,8 mar 2025,P  87-67,7,6,2,23,1-2,1-2,50.0%,2-2,100.0%,1,5,6,2,1,2,0,7,12
vs Gipuzkoa Basket,2 mar 2025,G  92-78,5,2,3,20,1-1,1-6,28.6%,0-0,-,0,2,2,3,1,1,0,5,5
@ Alimerka Oviedo,16 feb 2025,G  68-78,3,2,4,27,0-3,0-0,0.0%,3-4,75.0%,1,1,2,4,2,1,0,3,6
vs Grupo Alega Cantabria,11 feb 2025,G  88-77,15,3,7,23,3-5,3-3,75.0%,0-0,-,2,1,3,7,2,3,0,15,22
@ Real Valladolid,8 feb 2025,G  75-85,10,3,3,21,2-4,1-3,42.9%,3-4,75.0%,1,2,3,3,0,1,0,10,10
vs HLA Alicante,31 ene 2025,G  79-68,4,6,7,33,2-3,0-1,50.0%,0-0,-,1,5,6,7,2,1,0,4,16
@ Fuenlabrada,18 ene 2025,P  90-73,17,4,2,25,3-6,2-6,41.7%,5-6,83.3%,1,3,4,2,1,3,0,17,13
vs Hestia Menorca,12 ene 2025,G  89-65,3,3,13,26,0-1,1-3,25.0%,0-0,-,1,2,3,13,2,1,1,3,18
@ CB Zamora,4 ene 2025,G  95-105,29,5,6,32,2-7,7-10,52.9%,4-4,100.0%,2,3,5,6,3,1,0,29,34
vs C.B. Moron,29 dic 2024,G  74-68,8,2,5,25,1-1,2-3,75.0%,0-0,-,0,2,2,5,2,4,0,8,12
@ Ourense,20 dic 2024,P  94-86,10,3,8,26,3-5,0-0,60.0%,4-7,57.1%,2,1,3,8,0,2,1,10,15
vs Real Valladolid,15 dic 2024,G  89-59,7,3,5,20,1-1,1-1,100.0%,2-2,100.0%,0,3,3,5,1,2,0,7,14
@ Monbus Obradoiro,10 dic 2024,P  71-67,5,2,5,33,1-4,1-5,22.2%,0-0,-,0,2,2,5,2,2,0,5,5
vs Alimerka Oviedo,6 dic 2024,G  86-77,25,4,6,31,5-8,2-5,53.8%,9-11,81.8%,2,2,4,6,1,0,0,25,28
@ Amics Castello,1 dic 2024,G  60-94,2,3,9,25,1-2,0-2,25.0%,0-0,-,0,3,3,9,1,4,0,2,8
vs San Pablo Burgos,17 nov 2024,G  90-89,11,1,6,27,2-5,1-1,50.0%,4-5,80.0%,0,1,1,6,0,2,1,11,13
@ Movistar Estudiantes,10 nov 2024,P  86-82,8,7,6,26,1-3,1-7,20.0%,3-6,50.0%,2,5,7,6,3,1,0,8,12
vs Cartagena,3 nov 2024,G  82-66,8,7,6,23,1-2,1-2,50.0%,3-3,100.0%,1,6,7,6,3,2,0,8,20
vs Súper Agropal Palencia,26 oct 2024,G  85-68,16,3,5,24,3-4,2-3,71.4%,4-4,100.0%,1,2,3,5,4,0,0,16,26
@ Grupo Alega Cantabria,18 oct 2024,P  81-76,2,4,4,20,1-4,0-3,14.3%,0-0,-,2,2,4,4,2,2,0,2,4
@ HLA Alicante,13 oct 2024,G  57-64,12,2,6,23,4-6,1-4,50.0%,1-1,100.0%,1,1,2,6,1,3,0,12,13
vs UBU Tizona Burgos,4 oct 2024,G  95-76,7,4,6,26,3-5,0-0,60.0%,1-2,50.0%,2,2,4,6,1,3,0,7,12
@ Gipuzkoa Basket,28 sept 2024,G  62-77,5,2,1,16,0-1,1-3,25.0%,2-2,100.0%,0,2,2,1,0,0,0,5,5
