PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,9 may 2025,P  87-68,6,4,2,21,3-8,0-2,30.0%,0-0,-,2,2,4,2,1,1,0,6,5
@ C.B. Moron,22 abr 2025,G  63-76,1,1,0,4,0-0,0-0,-,1-2,50.0%,0,1,1,0,0,1,0,1,0
vs Monbus Obradoiro,18 abr 2025,P  77-78,0,1,0,1,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Cartagena,13 abr 2025,G  72-85,0,1,1,5,0-1,0-0,0.0%,0-0,-,0,1,1,1,1,1,0,0,1
vs Movistar Estudiantes,4 abr 2025,G  75-71,2,0,0,4,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,0,0,2,-1
@ UBU Tizona Burgos,28 mar 2025,G  69-91,4,2,0,11,2-3,0-0,66.7%,0-0,-,0,2,2,0,3,0,0,4,8
vs Ourense,21 mar 2025,G  94-89,1,0,0,8,0-2,0-0,0.0%,1-2,50.0%,0,0,0,0,2,0,0,1,0
@ Hestia Menorca,16 mar 2025,G  78-83,6,3,0,11,2-2,0-1,66.7%,2-3,66.7%,1,2,3,0,0,0,0,6,7
@ San Pablo Burgos,8 mar 2025,P  87-67,4,3,1,11,2-3,0-0,66.7%,0-0,-,0,3,3,1,1,0,0,4,8
vs Gipuzkoa Basket,2 mar 2025,G  92-78,7,2,0,8,0-1,2-4,40.0%,1-2,50.0%,0,2,2,0,0,0,0,7,5
@ Alimerka Oviedo,16 feb 2025,G  68-78,0,4,1,12,0-0,0-0,-,0-0,-,0,4,4,1,1,1,0,0,5
vs Grupo Alega Cantabria,11 feb 2025,G  88-77,6,9,0,23,1-1,0-2,33.3%,4-5,80.0%,1,8,9,0,0,0,0,6,12
@ Real Valladolid,8 feb 2025,G  75-85,8,6,1,21,1-3,2-3,50.0%,0-0,-,3,3,6,1,0,1,0,8,11
vs HLA Alicante,31 ene 2025,G  79-68,7,3,0,17,2-3,1-3,50.0%,0-0,-,0,3,3,0,2,0,0,7,9
@ Fuenlabrada,18 ene 2025,P  90-73,5,2,0,13,1-2,0-0,50.0%,3-4,75.0%,0,2,2,0,1,1,0,5,5
vs Hestia Menorca,12 ene 2025,G  89-65,2,2,0,11,1-2,0-0,50.0%,0-0,-,0,2,2,0,0,0,0,2,3
@ CB Zamora,4 ene 2025,G  95-105,5,2,2,11,0-0,1-2,50.0%,2-2,100.0%,1,1,2,2,1,0,0,5,9
vs C.B. Moron,29 dic 2024,G  74-68,3,6,1,21,0-1,0-1,0.0%,3-4,75.0%,1,5,6,1,1,2,0,3,6
@ Ourense,20 dic 2024,P  94-86,9,0,0,16,4-4,0-0,100.0%,1-1,100.0%,0,0,0,0,4,0,0,9,13
vs Real Valladolid,15 dic 2024,G  89-59,10,6,1,24,3-6,1-1,57.1%,1-2,50.0%,1,5,6,1,0,1,0,10,12
@ Monbus Obradoiro,10 dic 2024,P  71-67,6,4,0,17,1-2,1-2,50.0%,1-5,20.0%,1,3,4,0,2,2,1,6,5
vs Alimerka Oviedo,6 dic 2024,G  86-77,7,5,1,22,2-4,1-1,60.0%,0-0,-,1,4,5,1,0,0,1,7,12
@ Amics Castello,1 dic 2024,G  60-94,2,7,1,28,1-3,0-2,20.0%,0-0,-,1,6,7,1,0,2,0,2,4
@ Movistar Estudiantes,10 nov 2024,P  86-82,0,0,0,4,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ HLA Alicante,13 oct 2024,G  57-64,7,5,2,15,3-5,0-0,60.0%,1-2,50.0%,2,3,5,2,1,0,0,7,12
vs UBU Tizona Burgos,4 oct 2024,G  95-76,10,4,1,18,4-7,0-2,44.4%,2-3,66.7%,3,1,4,1,0,1,0,10,8
@ Gipuzkoa Basket,28 sept 2024,G  62-77,1,0,0,3,0-0,0-1,0.0%,1-2,50.0%,0,0,0,0,0,0,0,1,-1
