PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs HLA Alicante,15 feb 2025,G  85-63,2,2,0,14,1-5,0-0,20.0%,0-0,-,0,2,2,0,0,1,1,2,0
@ Amics Castello,11 feb 2025,G  78-88,6,5,0,18,2-10,0-0,20.0%,2-3,66.7%,2,3,5,0,1,0,1,6,4
vs Gipuzkoa Basket,8 feb 2025,G  92-80,5,2,1,22,2-3,0-0,66.7%,1-1,100.0%,2,0,2,1,2,0,0,5,9
@ Súper Agropal Palencia,1 feb 2025,P  89-88,12,6,0,26,6-12,0-0,50.0%,0-0,-,2,4,6,0,2,1,0,12,13
vs Real Betis,18 ene 2025,G  90-73,15,4,0,21,6-9,0-0,66.7%,3-4,75.0%,2,2,4,0,2,0,0,15,17
@ Ourense,11 ene 2025,G  89-90,13,3,0,23,4-7,0-0,57.1%,5-6,83.3%,1,2,3,0,1,1,2,13,14
vs UBU Tizona Burgos,5 ene 2025,G  95-67,13,6,0,24,3-9,0-0,33.3%,7-8,87.5%,3,3,6,0,2,2,2,13,14
@ Movistar Estudiantes,29 dic 2024,P  90-78,7,5,0,17,3-4,0-0,75.0%,1-4,25.0%,2,3,5,0,0,0,3,7,11
vs Hestia Menorca,22 dic 2024,G  92-89,6,10,0,19,3-7,0-0,42.9%,0-0,-,3,7,10,0,1,1,0,6,12
@ Monbus Obradoiro,14 dic 2024,G  75-79,10,5,0,18,4-6,0-0,66.7%,2-2,100.0%,3,2,5,0,1,1,1,10,14
vs Súper Agropal Palencia,11 dic 2024,G  82-73,17,8,0,23,4-7,0-0,57.1%,9-10,90.0%,2,6,8,0,0,0,5,17,26
@ Grupo Alega Cantabria,7 dic 2024,G  67-75,9,7,1,23,4-4,0-0,100.0%,1-2,50.0%,3,4,7,1,0,2,2,9,16
vs Cartagena,1 dic 2024,G  79-65,8,5,1,20,3-5,0-0,60.0%,2-2,100.0%,1,4,5,1,0,1,2,8,13
@ Gipuzkoa Basket,17 nov 2024,G  71-81,4,7,1,19,2-4,0-0,50.0%,0-0,-,3,4,7,1,0,1,1,4,10
vs CB Zamora,9 nov 2024,G  91-64,6,3,0,19,2-8,0-0,25.0%,2-2,100.0%,1,2,3,0,0,1,0,6,2
@ Alimerka Oviedo,2 nov 2024,G  70-80,4,5,0,21,2-5,0-0,40.0%,0-0,-,2,3,5,0,0,1,3,4,8
@ HLA Alicante,27 oct 2024,G  69-81,4,1,0,11,2-3,0-0,66.7%,0-0,-,1,0,1,0,0,0,3,4,7
vs Amics Castello,19 oct 2024,G  94-74,4,6,0,17,2-7,0-0,28.6%,0-0,-,0,6,6,0,1,1,2,4,7
@ Real Valladolid,12 oct 2024,G  62-96,10,4,1,16,3-5,0-0,60.0%,4-5,80.0%,2,2,4,1,0,0,0,10,12
vs San Pablo Burgos,5 oct 2024,P  70-79,9,1,0,20,4-6,0-0,66.7%,1-2,50.0%,0,1,1,0,0,0,1,9,8
@ C.B. Moron,28 sept 2024,G  61-79,0,3,0,10,0-0,0-0,-,0-0,-,0,3,3,0,0,0,0,0,3
