PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Moron,9 may 2025,G  82-65,3,2,2,17,1-2,0-0,50.0%,1-4,25.0%,0,2,2,2,2,1,0,3,4
@ Real Betis,2 may 2025,P  94-72,8,4,3,21,1-7,2-3,30.0%,0-0,-,0,4,4,3,0,1,0,8,7
vs Monbus Obradoiro,27 abr 2025,G  84-68,9,2,3,23,0-3,2-5,25.0%,3-4,75.0%,0,2,2,3,0,1,0,9,6
@ San Pablo Burgos,23 abr 2025,P  87-74,18,1,4,23,4-6,1-2,62.5%,7-8,87.5%,1,0,1,4,0,1,0,18,18
vs Movistar Estudiantes,19 abr 2025,G  97-91,14,2,1,20,2-3,2-4,57.1%,4-4,100.0%,0,2,2,1,0,0,0,14,14
@ CB Zamora,12 abr 2025,G  71-73,8,2,3,18,1-3,2-3,50.0%,0-0,-,0,2,2,3,1,1,0,8,10
vs Ourense,6 abr 2025,G  81-74,12,1,6,26,4-8,0-4,33.3%,4-4,100.0%,0,1,1,6,2,2,0,12,11
@ Cartagena,29 mar 2025,G  76-78,3,2,4,24,1-3,0-1,25.0%,1-2,50.0%,0,2,2,4,0,0,0,3,5
vs Alimerka Oviedo,23 mar 2025,P  93-97,14,3,4,26,2-4,1-4,37.5%,7-9,77.8%,0,3,3,4,0,2,0,14,12
@ UBU Tizona Burgos,16 mar 2025,P  100-80,11,5,3,24,2-2,0-4,33.3%,7-7,100.0%,2,3,5,3,1,7,0,11,9
vs Grupo Alega Cantabria,12 mar 2025,G  94-70,8,1,5,19,2-3,1-1,75.0%,1-2,50.0%,0,1,1,5,1,2,0,8,11
@ Hestia Menorca,8 mar 2025,G  72-83,7,2,2,22,1-2,1-1,66.7%,2-3,66.7%,0,2,2,2,0,3,0,7,6
vs HLA Alicante,15 feb 2025,G  85-63,0,2,1,10,0-2,0-1,0.0%,0-0,-,0,2,2,1,0,1,0,0,-1
@ Amics Castello,11 feb 2025,G  78-88,13,2,3,22,2-3,3-6,55.6%,0-0,-,0,2,2,3,2,2,0,13,14
vs Gipuzkoa Basket,8 feb 2025,G  92-80,6,2,4,19,1-4,1-4,25.0%,1-2,50.0%,0,2,2,4,0,1,0,6,4
@ Súper Agropal Palencia,1 feb 2025,P  89-88,20,2,3,30,1-5,4-6,45.5%,6-8,75.0%,0,2,2,3,0,2,1,20,16
vs Real Betis,18 ene 2025,G  90-73,9,1,1,19,1-2,2-6,37.5%,1-1,100.0%,0,1,1,1,1,3,1,9,5
@ Ourense,11 ene 2025,G  89-90,13,0,3,23,2-7,3-7,35.7%,0-0,-,0,0,0,3,1,0,0,13,8
vs UBU Tizona Burgos,5 ene 2025,G  95-67,12,4,1,16,2-3,1-4,42.9%,5-6,83.3%,0,4,4,1,3,0,0,12,15
@ Movistar Estudiantes,29 dic 2024,P  90-78,5,1,2,18,2-3,0-2,40.0%,1-2,50.0%,0,1,1,2,1,2,1,5,4
vs Hestia Menorca,22 dic 2024,G  92-89,8,4,7,22,0-0,0-2,0.0%,8-8,100.0%,2,2,4,7,1,4,0,8,14
@ Monbus Obradoiro,14 dic 2024,G  75-79,5,2,9,15,1-2,1-2,50.0%,0-0,-,0,2,2,9,0,1,0,5,13
vs Súper Agropal Palencia,11 dic 2024,G  82-73,4,4,7,26,2-4,0-4,25.0%,0-0,-,0,4,4,7,0,2,0,4,7
@ Grupo Alega Cantabria,7 dic 2024,G  67-75,11,3,4,27,1-5,2-8,23.1%,3-3,100.0%,0,3,3,4,1,1,0,11,8
vs Cartagena,1 dic 2024,G  79-65,6,4,2,29,1-2,1-6,25.0%,1-2,50.0%,1,3,4,2,0,1,0,6,4
@ Gipuzkoa Basket,17 nov 2024,G  71-81,17,2,2,29,1-2,5-9,54.5%,0-0,-,1,1,2,2,1,3,0,17,14
vs CB Zamora,9 nov 2024,G  91-64,8,5,5,22,1-3,2-4,42.9%,0-0,-,1,4,5,5,0,3,0,8,11
@ Alimerka Oviedo,2 nov 2024,G  70-80,11,6,9,31,2-4,2-4,50.0%,1-2,50.0%,1,5,6,9,3,1,0,11,23
@ HLA Alicante,27 oct 2024,G  69-81,5,1,3,18,1-3,1-3,33.3%,0-0,-,0,1,1,3,1,2,0,5,4
vs Amics Castello,19 oct 2024,G  94-74,9,4,5,23,2-5,1-4,33.3%,2-2,100.0%,0,4,4,5,0,3,0,9,9
@ Real Valladolid,12 oct 2024,G  62-96,7,3,4,19,2-4,1-1,60.0%,0-0,-,0,3,3,4,0,5,0,7,7
vs San Pablo Burgos,5 oct 2024,P  70-79,11,2,5,20,2-5,1-3,37.5%,4-4,100.0%,0,2,2,5,2,1,0,11,14
@ C.B. Moron,28 sept 2024,G  61-79,3,0,4,20,0-1,1-2,33.3%,0-0,-,0,0,0,4,1,1,0,3,5
