PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Moron,9 may 2025,G  82-65,12,0,1,20,0-0,4-8,50.0%,0-0,-,0,0,0,1,0,1,0,12,8
@ Real Betis,2 may 2025,P  94-72,4,1,1,18,0-3,1-2,20.0%,1-1,100.0%,1,0,1,1,0,1,0,4,1
vs Monbus Obradoiro,27 abr 2025,G  84-68,13,1,2,17,1-1,3-6,57.1%,2-2,100.0%,0,1,1,2,0,0,0,13,13
@ San Pablo Burgos,23 abr 2025,P  87-74,7,0,1,19,2-2,1-4,50.0%,0-0,-,0,0,0,1,0,1,0,7,4
vs Movistar Estudiantes,19 abr 2025,G  97-91,11,3,0,15,2-4,2-5,44.4%,1-1,100.0%,1,2,3,0,1,1,0,11,9
@ CB Zamora,12 abr 2025,G  71-73,6,2,1,15,0-2,2-6,25.0%,0-0,-,0,2,2,1,1,1,0,6,3
vs Ourense,6 abr 2025,G  81-74,15,1,1,14,0-0,5-7,71.4%,0-0,-,0,1,1,1,0,0,0,15,15
@ Cartagena,29 mar 2025,G  76-78,3,1,0,11,0-1,1-2,33.3%,0-0,-,1,0,1,0,0,2,0,3,0
vs Alimerka Oviedo,23 mar 2025,P  93-97,4,0,2,15,0-0,1-4,25.0%,1-2,50.0%,0,0,0,2,0,1,0,4,1
@ UBU Tizona Burgos,16 mar 2025,P  100-80,9,1,3,17,0-0,2-4,50.0%,3-4,75.0%,0,1,1,3,0,1,0,9,9
vs Grupo Alega Cantabria,12 mar 2025,G  94-70,11,0,2,15,2-2,2-3,80.0%,1-3,33.3%,0,0,0,2,1,0,0,11,11
@ Hestia Menorca,8 mar 2025,G  72-83,5,2,1,10,1-1,1-2,66.7%,0-0,-,0,2,2,1,1,1,0,5,7
vs Real Valladolid,2 mar 2025,G  95-82,22,0,2,22,2-4,6-9,61.5%,0-0,-,0,0,0,2,0,3,0,22,16
vs HLA Alicante,15 feb 2025,G  85-63,20,4,2,18,3-3,4-7,70.0%,2-3,66.7%,2,2,4,2,0,0,0,20,22
@ Amics Castello,11 feb 2025,G  78-88,11,2,2,13,1-3,3-5,50.0%,0-0,-,0,2,2,2,1,2,0,11,10
vs Gipuzkoa Basket,8 feb 2025,G  92-80,8,4,1,16,1-2,2-5,42.9%,0-0,-,0,4,4,1,2,1,0,8,10
@ Súper Agropal Palencia,1 feb 2025,P  89-88,0,0,1,6,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Real Betis,18 ene 2025,G  90-73,7,1,1,16,0-0,2-5,40.0%,1-1,100.0%,0,1,1,1,0,0,0,7,6
@ Ourense,11 ene 2025,G  89-90,8,0,1,14,1-1,2-2,100.0%,0-0,-,0,0,0,1,1,1,0,8,9
vs UBU Tizona Burgos,5 ene 2025,G  95-67,3,0,0,12,0-1,1-3,25.0%,0-0,-,0,0,0,0,0,1,0,3,-1
@ Movistar Estudiantes,29 dic 2024,P  90-78,0,0,0,10,0-2,0-2,0.0%,0-0,-,0,0,0,0,1,0,0,0,-3
vs Hestia Menorca,22 dic 2024,G  92-89,3,0,1,14,0-2,1-2,25.0%,0-0,-,0,0,0,1,0,0,0,3,1
@ Monbus Obradoiro,14 dic 2024,G  75-79,0,0,1,16,0-2,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,-2
vs Súper Agropal Palencia,11 dic 2024,G  82-73,7,0,1,13,0-1,2-5,33.3%,1-1,100.0%,0,0,0,1,1,0,0,7,5
@ Grupo Alega Cantabria,7 dic 2024,G  67-75,8,0,0,20,1-2,2-4,50.0%,0-0,-,0,0,0,0,0,1,0,8,4
vs Cartagena,1 dic 2024,G  79-65,8,1,1,18,0-1,2-4,40.0%,2-3,66.7%,0,1,1,1,0,2,0,8,4
vs CB Zamora,9 nov 2024,G  91-64,7,1,1,10,0-1,2-4,40.0%,1-2,50.0%,0,1,1,1,1,1,0,7,5
@ Alimerka Oviedo,2 nov 2024,G  70-80,8,0,0,12,0-0,2-5,40.0%,2-2,100.0%,0,0,0,0,1,0,0,8,6
@ HLA Alicante,27 oct 2024,G  69-81,3,6,2,15,1-1,0-3,25.0%,1-1,100.0%,0,6,6,2,0,3,0,3,5
vs Amics Castello,19 oct 2024,G  94-74,8,1,2,15,1-1,1-3,50.0%,3-3,100.0%,0,1,1,2,0,0,0,8,9
@ Real Valladolid,12 oct 2024,G  62-96,7,1,0,11,1-1,1-1,100.0%,2-2,100.0%,1,0,1,0,0,0,0,7,8
vs San Pablo Burgos,5 oct 2024,P  70-79,2,1,3,17,1-1,0-3,25.0%,0-0,-,0,1,1,3,0,1,0,2,2
@ C.B. Moron,28 sept 2024,G  61-79,8,4,0,16,1-2,2-6,37.5%,0-1,0.0%,1,3,4,0,0,1,0,8,5
