PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Amics Castello,9 may 2025,P  78-82,6,2,3,23,0-1,2-4,40.0%,0-0,-,0,2,2,3,4,0,0,6,12
@ C.B. Moron,3 may 2025,P  72-65,6,6,0,18,1-2,0-2,25.0%,4-4,100.0%,2,4,6,0,0,1,0,6,8
vs Movistar Estudiantes,27 abr 2025,G  88-77,12,2,3,21,2-5,2-3,50.0%,2-2,100.0%,0,2,2,3,0,0,0,12,13
@ Monbus Obradoiro,22 abr 2025,P  82-70,4,4,3,21,0-1,1-2,33.3%,1-2,50.0%,0,4,4,3,2,4,0,4,6
vs Ourense,18 abr 2025,G  90-71,11,4,2,23,4-6,1-2,62.5%,0-0,-,1,3,4,2,1,2,0,11,13
@ UBU Tizona Burgos,11 abr 2025,G  90-96,7,1,0,10,2-4,1-1,60.0%,0-0,-,0,1,1,0,0,1,0,7,5
vs Cartagena,5 abr 2025,G  110-70,6,3,2,21,3-4,0-3,42.9%,0-0,-,0,3,3,2,0,1,0,6,6
@ Real Valladolid,29 mar 2025,P  90-88,5,0,3,14,1-3,0-2,20.0%,3-5,60.0%,0,0,0,3,1,0,0,5,3
vs Hestia Menorca,22 mar 2025,G  96-68,0,6,3,18,0-2,0-1,0.0%,0-0,-,0,6,6,3,0,1,0,0,5
@ CB Zamora,16 mar 2025,G  84-86,7,0,2,16,2-3,0-2,40.0%,3-3,100.0%,0,0,0,2,0,0,0,7,6
vs Alimerka Oviedo,12 mar 2025,G  87-79,9,2,4,21,3-5,1-2,57.1%,0-0,-,0,2,2,4,0,1,0,9,11
@ Grupo Alega Cantabria,8 mar 2025,P  83-72,9,0,2,22,0-1,2-5,33.3%,3-4,75.0%,0,0,0,2,0,1,0,9,5
vs San Pablo Burgos,2 mar 2025,G  90-88,17,1,2,18,4-5,3-3,87.5%,0-0,-,1,0,1,2,0,2,0,17,17
@ Fuenlabrada,15 feb 2025,P  85-63,0,1,0,8,0-1,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-2
@ Gipuzkoa Basket,12 feb 2025,G  79-83,11,2,0,16,4-5,0-1,66.7%,3-3,100.0%,0,2,2,0,0,2,0,11,9
vs Súper Agropal Palencia,7 feb 2025,P  95-96,2,0,4,11,1-2,0-1,33.3%,0-0,-,0,0,0,4,0,0,0,2,4
@ Real Betis,31 ene 2025,P  79-68,10,3,1,24,4-5,0-1,66.7%,2-2,100.0%,1,2,3,1,1,2,0,10,11
vs C.B. Moron,18 ene 2025,G  86-74,10,2,1,16,0-1,1-3,25.0%,7-7,100.0%,0,2,2,1,0,1,0,10,9
@ Amics Castello,12 ene 2025,P  83-73,13,2,1,19,3-6,1-3,44.4%,4-4,100.0%,0,2,2,1,0,0,0,13,11
vs Monbus Obradoiro,4 ene 2025,G  90-85,0,0,0,4,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Movistar Estudiantes,15 dic 2024,P  85-70,4,3,1,13,1-2,0-0,50.0%,2-2,100.0%,0,3,3,1,1,0,0,4,8
vs Gipuzkoa Basket,11 dic 2024,G  95-82,0,1,1,11,0-2,0-3,0.0%,0-0,-,0,1,1,1,0,1,0,0,-4
@ San Pablo Burgos,7 dic 2024,P  72-65,5,4,1,18,1-4,1-6,20.0%,0-0,-,1,3,4,1,1,0,0,5,3
vs CB Zamora,1 dic 2024,P  68-70,8,0,0,12,2-3,0-4,28.6%,4-4,100.0%,0,0,0,0,1,2,0,8,2
