PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,9 may 2025,G  65-77,18,0,1,19,0-1,4-8,44.4%,6-6,100.0%,0,0,0,1,0,0,0,18,14
vs San Pablo Burgos,3 may 2025,P  54-85,17,3,0,21,4-5,3-7,58.3%,0-0,-,0,3,3,0,1,3,0,17,13
@ Alimerka Oviedo,27 abr 2025,P  75-66,29,2,2,32,4-8,6-11,52.6%,3-3,100.0%,0,2,2,2,2,1,0,29,25
@ CB Zamora,23 abr 2025,P  86-73,10,1,3,26,2-5,2-6,36.4%,0-0,-,0,1,1,3,0,3,0,10,4
vs Cartagena,19 abr 2025,P  86-87,16,4,1,19,4-7,2-7,42.9%,2-2,100.0%,1,3,4,1,0,2,0,16,11
vs Gipuzkoa Basket,12 abr 2025,P  72-81,24,0,0,37,2-4,4-12,37.5%,8-8,100.0%,0,0,0,0,0,2,0,24,12
@ Súper Agropal Palencia,4 abr 2025,P  84-72,21,8,3,34,1-4,4-10,35.7%,7-8,87.5%,3,5,8,3,0,5,0,21,17
vs Grupo Alega Cantabria,29 mar 2025,G  84-62,20,2,3,37,0-1,4-15,25.0%,8-9,88.9%,1,1,2,3,1,3,0,20,10
@ HLA Alicante,22 mar 2025,P  96-68,18,1,5,30,4-6,3-16,31.8%,1-1,100.0%,0,1,1,5,0,2,0,18,7
vs Real Betis,16 mar 2025,P  78-83,8,1,4,30,2-6,0-5,18.2%,4-5,80.0%,0,1,1,4,1,4,0,8,0
@ Monbus Obradoiro,12 mar 2025,P  83-67,4,0,3,24,0-2,1-3,20.0%,1-2,50.0%,0,0,0,3,1,4,0,4,-1
vs Fuenlabrada,8 mar 2025,P  72-83,27,1,0,30,4-4,4-11,53.3%,7-9,77.8%,1,0,1,0,2,1,1,27,21
@ Movistar Estudiantes,2 mar 2025,P  82-69,7,2,4,23,1-2,0-5,14.3%,5-6,83.3%,0,2,2,4,0,3,0,7,3
vs C.B. Moron,16 feb 2025,G  70-58,22,3,4,35,1-3,6-11,50.0%,2-2,100.0%,1,2,3,4,0,2,0,22,20
@ UBU Tizona Burgos,12 feb 2025,P  94-92,23,1,1,31,2-4,6-14,44.4%,1-2,50.0%,1,0,1,1,1,4,0,23,11
vs Amics Castello,7 feb 2025,G  90-66,19,1,0,28,3-6,2-9,33.3%,7-8,87.5%,0,1,1,0,1,1,0,19,9
@ Ourense,1 feb 2025,G  77-81,12,2,1,19,3-4,2-7,45.5%,0-0,-,0,2,2,1,0,1,0,12,8
vs Monbus Obradoiro,18 ene 2025,P  76-81,30,4,4,36,3-4,6-13,52.9%,6-8,75.0%,1,3,4,4,3,1,0,30,30
@ Real Betis,12 ene 2025,P  89-65,6,2,1,22,0-6,2-6,16.7%,0-0,-,0,2,2,1,0,1,0,6,-2
vs Súper Agropal Palencia,4 ene 2025,G  84-78,18,10,3,27,5-6,1-8,42.9%,5-5,100.0%,1,9,10,3,0,2,0,18,21
vs HLA Alicante,29 dic 2024,G  73-71,8,1,1,18,2-4,1-5,33.3%,1-1,100.0%,0,1,1,1,0,1,0,8,3
@ Fuenlabrada,22 dic 2024,P  92-89,26,2,2,22,1-1,6-13,50.0%,6-8,75.0%,0,2,2,2,0,2,0,26,19
vs Alimerka Oviedo,15 dic 2024,G  69-64,5,2,0,21,1-4,1-5,22.2%,0-0,-,2,0,2,0,0,0,0,5,0
@ Amics Castello,11 dic 2024,P  68-63,6,3,2,24,0-3,2-12,13.3%,0-0,-,2,1,3,2,2,1,0,6,-1
vs UBU Tizona Burgos,7 dic 2024,P  88-95,8,0,1,24,1-4,2-8,25.0%,0-0,-,0,0,0,1,0,0,0,8,0
@ San Pablo Burgos,1 dic 2024,P  91-81,24,3,0,27,3-4,4-13,41.2%,6-8,75.0%,0,3,3,0,3,5,0,24,13
