PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,9 may 2025,G  65-77,10,3,1,24,2-4,2-3,57.1%,0-0,-,1,2,3,1,0,2,1,10,10
vs San Pablo Burgos,3 may 2025,P  54-85,5,3,0,19,2-2,0-1,66.7%,1-2,50.0%,2,1,3,0,0,1,0,5,5
@ Alimerka Oviedo,27 abr 2025,P  75-66,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ CB Zamora,23 abr 2025,P  86-73,2,3,0,15,1-1,0-2,33.3%,0-0,-,1,2,3,0,0,1,0,2,2
vs Cartagena,19 abr 2025,P  86-87,10,3,2,20,4-5,0-0,80.0%,2-2,100.0%,1,2,3,2,0,2,0,10,12
vs Gipuzkoa Basket,12 abr 2025,P  72-81,2,1,0,13,1-3,0-2,20.0%,0-0,-,0,1,1,0,0,0,2,2,1
@ Súper Agropal Palencia,4 abr 2025,P  84-72,4,3,0,15,2-4,0-4,25.0%,0-0,-,3,0,3,0,0,1,0,4,0
vs Grupo Alega Cantabria,29 mar 2025,G  84-62,5,7,1,16,1-2,1-1,66.7%,0-2,0.0%,4,3,7,1,1,1,0,5,10
@ HLA Alicante,22 mar 2025,P  96-68,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Betis,16 mar 2025,P  78-83,0,5,0,9,0-2,0-2,0.0%,0-0,-,1,4,5,0,0,0,0,0,1
@ Monbus Obradoiro,12 mar 2025,P  83-67,11,4,0,16,4-7,0-2,44.4%,3-3,100.0%,2,2,4,0,0,0,1,11,11
vs Fuenlabrada,8 mar 2025,P  72-83,2,4,0,20,1-1,0-3,25.0%,0-0,-,0,4,4,0,1,0,0,2,4
@ Movistar Estudiantes,2 mar 2025,P  82-69,2,8,2,26,1-7,0-0,14.3%,0-0,-,4,4,8,2,2,1,1,2,8
vs C.B. Moron,16 feb 2025,G  70-58,1,5,2,17,0-1,0-1,0.0%,1-2,50.0%,1,4,5,2,1,0,1,1,7
@ UBU Tizona Burgos,12 feb 2025,P  94-92,5,4,0,17,2-4,0-1,40.0%,1-1,100.0%,2,2,4,0,1,1,0,5,6
vs Amics Castello,7 feb 2025,G  90-66,4,1,0,16,2-5,0-1,33.3%,0-0,-,1,0,1,0,1,0,1,4,3
@ Ourense,1 feb 2025,G  77-81,11,4,0,19,1-3,3-4,57.1%,0-0,-,2,2,4,0,1,0,1,11,14
vs Monbus Obradoiro,18 ene 2025,P  76-81,8,4,0,21,1-2,2-5,42.9%,0-0,-,0,4,4,0,1,1,1,8,9
@ Real Betis,12 ene 2025,P  89-65,7,5,3,20,1-3,1-3,33.3%,2-2,100.0%,3,2,5,3,0,1,1,7,11
vs Súper Agropal Palencia,4 ene 2025,G  84-78,1,0,0,9,0-0,0-0,-,1-2,50.0%,0,0,0,0,0,0,0,1,0
vs HLA Alicante,29 dic 2024,G  73-71,5,0,0,10,1-1,1-2,66.7%,0-0,-,0,0,0,0,0,0,0,5,4
@ Fuenlabrada,22 dic 2024,P  92-89,0,2,1,15,0-0,0-2,0.0%,0-0,-,1,1,2,1,1,0,0,0,2
vs Alimerka Oviedo,15 dic 2024,G  69-64,7,6,0,32,3-4,0-0,75.0%,1-2,50.0%,1,5,6,0,0,0,0,7,11
@ Amics Castello,11 dic 2024,P  68-63,0,1,1,10,0-1,0-3,0.0%,0-0,-,1,0,1,1,2,0,0,0,0
vs UBU Tizona Burgos,7 dic 2024,P  88-95,10,4,1,21,3-7,1-2,44.4%,1-2,50.0%,3,1,4,1,1,1,2,10,11
@ San Pablo Burgos,1 dic 2024,P  91-81,3,3,0,13,0-0,1-3,33.3%,0-0,-,1,2,3,0,0,1,0,3,3
vs Real Valladolid,16 nov 2024,P  65-67,2,4,0,14,1-1,0-0,100.0%,0-0,-,1,3,4,0,0,0,1,2,7
@ C.B. Moron,10 nov 2024,G  63-69,5,6,0,28,0-2,1-1,33.3%,2-2,100.0%,1,5,6,0,1,0,0,5,10
vs Movistar Estudiantes,2 nov 2024,P  66-77,9,3,0,16,1-3,2-2,60.0%,1-2,50.0%,1,2,3,0,2,1,0,9,10
@ Cartagena,26 oct 2024,P  78-70,3,1,1,7,0-0,1-3,33.3%,0-0,-,0,1,1,1,0,0,1,3,4
vs Ourense,19 oct 2024,P  65-84,2,3,1,19,1-3,0-1,25.0%,0-0,-,0,3,3,1,0,0,0,2,3
@ Gipuzkoa Basket,13 oct 2024,P  60-57,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Grupo Alega Cantabria,6 oct 2024,G  86-87,0,3,0,13,0-2,0-0,0.0%,0-0,-,2,1,3,0,0,0,0,0,1
vs CB Zamora,28 sept 2024,G  76-69,0,2,0,5,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
