PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Valladolid,9 may 2025,G  65-77,0,1,0,6,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs San Pablo Burgos,3 may 2025,P  54-85,3,1,2,20,0-2,1-4,16.7%,0-0,-,1,0,1,2,2,0,0,3,3
@ CB Zamora,23 abr 2025,P  86-73,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Cartagena,19 abr 2025,P  86-87,2,0,0,6,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Gipuzkoa Basket,12 abr 2025,P  72-81,0,1,0,8,0-2,0-1,0.0%,0-0,-,0,1,1,0,0,2,0,0,-4
@ Súper Agropal Palencia,4 abr 2025,P  84-72,9,0,1,17,2-4,1-1,60.0%,2-2,100.0%,0,0,0,1,0,3,0,9,5
vs Grupo Alega Cantabria,29 mar 2025,G  84-62,0,2,0,6,0-1,0-0,0.0%,0-0,-,0,2,2,0,0,1,0,0,0
@ HLA Alicante,22 mar 2025,P  96-68,0,0,1,8,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
vs Real Betis,16 mar 2025,P  78-83,3,2,0,9,0-4,1-3,14.3%,0-0,-,1,1,2,0,0,1,0,3,-2
@ Monbus Obradoiro,12 mar 2025,P  83-67,0,1,1,10,0-1,0-3,0.0%,0-0,-,1,0,1,1,1,0,0,0,-1
vs Fuenlabrada,8 mar 2025,P  72-83,9,1,0,12,3-5,0-1,50.0%,3-4,75.0%,0,1,1,0,0,2,0,9,4
@ Movistar Estudiantes,2 mar 2025,P  82-69,9,3,1,14,2-3,0-0,66.7%,5-6,83.3%,1,2,3,1,1,4,0,9,8
vs C.B. Moron,16 feb 2025,G  70-58,7,1,1,16,1-3,1-2,40.0%,2-2,100.0%,0,1,1,1,0,0,0,7,6
@ UBU Tizona Burgos,12 feb 2025,P  94-92,13,1,0,14,3-5,1-1,66.7%,4-6,66.7%,0,1,1,0,0,0,0,13,10
vs Amics Castello,7 feb 2025,G  90-66,3,0,0,9,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,1,0,3,0
@ Ourense,1 feb 2025,G  77-81,5,1,4,12,0-0,0-1,0.0%,5-6,83.3%,0,1,1,4,0,1,0,5,7
vs Monbus Obradoiro,18 ene 2025,P  76-81,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Real Betis,12 ene 2025,P  89-65,3,1,0,11,0-0,1-4,25.0%,0-0,-,0,1,1,0,1,0,0,3,2
vs Súper Agropal Palencia,4 ene 2025,G  84-78,7,0,0,9,2-2,1-2,75.0%,0-0,-,0,0,0,0,0,0,0,7,6
vs HLA Alicante,29 dic 2024,G  73-71,5,0,0,13,1-4,1-1,40.0%,0-0,-,0,0,0,0,0,1,0,5,1
@ Fuenlabrada,22 dic 2024,P  92-89,2,1,0,5,1-3,0-0,33.3%,0-0,-,0,1,1,0,0,2,0,2,-1
vs Alimerka Oviedo,15 dic 2024,G  69-64,9,3,0,28,4-5,0-4,44.4%,1-1,100.0%,0,3,3,0,2,1,0,9,8
@ Amics Castello,11 dic 2024,P  68-63,6,2,0,13,1-5,1-1,33.3%,1-2,50.0%,1,1,2,0,2,0,0,6,5
vs UBU Tizona Burgos,7 dic 2024,P  88-95,9,1,1,11,2-3,1-2,60.0%,2-2,100.0%,0,1,1,1,0,2,0,9,7
@ San Pablo Burgos,1 dic 2024,P  91-81,13,1,0,18,5-6,1-2,75.0%,0-0,-,0,1,1,0,0,0,0,13,12
vs Real Valladolid,16 nov 2024,P  65-67,6,1,0,16,3-6,0-2,37.5%,0-0,-,0,1,1,0,1,0,0,6,3
@ C.B. Moron,10 nov 2024,G  63-69,0,0,1,11,0-0,0-0,-,0-0,-,0,0,0,1,0,1,0,0,0
vs Movistar Estudiantes,2 nov 2024,P  66-77,10,4,0,21,2-7,2-5,33.3%,0-0,-,2,2,4,0,1,2,0,10,5
@ Cartagena,26 oct 2024,P  78-70,1,1,3,14,0-2,0-1,0.0%,1-2,50.0%,0,1,1,3,1,0,0,1,2
vs Ourense,19 oct 2024,P  65-84,4,0,0,7,1-2,0-1,33.3%,2-2,100.0%,0,0,0,0,0,1,0,4,1
@ Gipuzkoa Basket,13 oct 2024,P  60-57,0,1,1,5,0-0,0-1,0.0%,0-0,-,1,0,1,1,0,0,0,0,1
@ Grupo Alega Cantabria,6 oct 2024,G  86-87,2,1,0,8,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,2,3
vs CB Zamora,28 sept 2024,G  76-69,4,1,2,10,1-1,0-1,50.0%,2-2,100.0%,1,0,1,2,0,0,0,4,6
