PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ San Pablo Burgos,9 may 2025,P  100-88,11,6,1,29,2-4,2-6,40.0%,1-4,25.0%,2,4,6,1,0,2,0,11,7
vs UBU Tizona Burgos,4 may 2025,G  105-88,24,0,5,24,3-5,4-7,58.3%,6-6,100.0%,0,0,0,5,1,2,0,24,23
@ HLA Alicante,27 abr 2025,P  88-77,7,1,6,27,2-4,0-7,18.2%,3-4,75.0%,0,1,1,6,1,4,0,7,1
vs Grupo Alega Cantabria,22 abr 2025,G  101-76,16,2,9,26,3-4,1-3,57.1%,7-7,100.0%,2,0,2,9,1,4,0,16,21
@ Fuenlabrada,19 abr 2025,P  97-91,17,2,8,31,2-9,4-8,35.3%,1-2,50.0%,1,1,2,8,0,3,0,17,12
@ Real Betis,4 abr 2025,P  75-71,14,1,8,32,3-4,1-7,36.4%,5-5,100.0%,0,1,1,8,1,1,0,14,16
vs Gipuzkoa Basket,30 mar 2025,G  76-66,3,1,5,30,1-5,0-1,16.7%,1-2,50.0%,0,1,1,5,2,1,0,3,4
@ Monbus Obradoiro,22 mar 2025,P  90-73,27,1,2,32,3-7,7-8,66.7%,0-0,-,1,0,1,2,1,6,0,27,20
vs Súper Agropal Palencia,16 mar 2025,G  104-98,9,4,9,30,2-7,0-4,18.2%,5-5,100.0%,1,3,4,9,0,2,0,9,11
@ Amics Castello,11 mar 2025,G  85-89,25,2,6,32,7-13,3-6,52.6%,2-2,100.0%,0,2,2,6,0,0,0,25,24
@ Ourense,8 mar 2025,G  73-79,11,5,6,34,4-7,0-5,33.3%,3-4,75.0%,1,4,5,6,4,0,0,11,17
vs Hestia Menorca,2 mar 2025,G  82-69,17,1,9,28,4-6,1-3,55.6%,6-8,75.0%,0,1,1,9,2,3,0,17,20
@ CB Zamora,16 feb 2025,G  64-94,15,5,5,24,2-3,3-6,55.6%,2-2,100.0%,0,5,5,5,0,1,0,15,20
vs Real Valladolid,12 feb 2025,G  87-76,9,6,13,27,2-6,1-4,30.0%,2-2,100.0%,0,6,6,13,0,3,0,9,18
@ Cartagena,8 feb 2025,G  70-80,13,4,5,21,2-3,1-2,60.0%,6-6,100.0%,0,4,4,5,1,1,0,13,20
vs Alimerka Oviedo,2 feb 2025,P  76-81,11,3,6,29,1-6,1-6,16.7%,6-6,100.0%,0,3,3,6,1,3,0,11,8
@ Gipuzkoa Basket,17 ene 2025,G  75-88,11,2,4,28,3-7,1-3,40.0%,2-2,100.0%,0,2,2,4,2,5,0,11,8
vs San Pablo Burgos,12 ene 2025,P  91-95,20,2,11,36,3-10,3-10,30.0%,5-7,71.4%,0,2,2,11,1,2,0,20,16
@ Grupo Alega Cantabria,4 ene 2025,G  75-92,23,6,7,25,4-6,5-7,69.2%,0-0,-,1,5,6,7,4,2,0,23,34
vs Fuenlabrada,29 dic 2024,G  90-78,17,8,13,28,3-5,2-6,45.5%,5-5,100.0%,1,7,8,13,2,3,0,17,31
@ Real Valladolid,21 dic 2024,G  73-87,17,1,2,18,0-1,5-6,71.4%,2-2,100.0%,0,1,1,2,0,1,1,17,18
vs HLA Alicante,15 dic 2024,G  85-70,17,4,8,26,4-6,2-6,50.0%,3-4,75.0%,1,3,4,8,1,1,0,17,22
@ C.B. Moron,11 dic 2024,G  93-99,25,4,11,40,4-5,5-8,69.2%,2-4,50.0%,0,4,4,11,1,3,0,25,32
vs Ourense,8 dic 2024,G  88-81,28,3,6,41,4-8,4-8,50.0%,8-9,88.9%,0,3,3,6,0,5,0,28,23
@ Alimerka Oviedo,1 dic 2024,G  76-78,22,7,2,28,4-7,3-8,46.7%,5-6,83.3%,2,5,7,2,0,3,0,22,19
vs Cartagena,17 nov 2024,G  91-68,3,2,4,21,1-3,0-2,20.0%,1-2,50.0%,0,2,2,4,0,0,0,3,4
vs Real Betis,10 nov 2024,G  86-82,13,2,3,29,1-5,2-4,33.3%,5-6,83.3%,0,2,2,3,0,4,0,13,7
@ Hestia Menorca,2 nov 2024,G  66-77,16,1,7,29,5-8,1-3,54.5%,3-3,100.0%,0,1,1,7,1,5,0,16,15
vs CB Zamora,27 oct 2024,G  90-84,12,3,9,29,2-7,1-4,27.3%,5-6,83.3%,0,3,3,9,2,3,0,12,14
@ Súper Agropal Palencia,19 oct 2024,G  80-87,10,1,10,33,2-9,1-4,23.1%,3-3,100.0%,1,0,1,10,3,2,0,10,12
@ UBU Tizona Burgos,11 oct 2024,P  94-91,19,4,3,27,3-3,3-10,46.2%,4-4,100.0%,2,2,4,3,1,1,0,19,19
vs Amics Castello,6 oct 2024,G  108-85,10,3,7,18,2-3,2-5,50.0%,0-0,-,1,2,3,7,0,2,0,10,14
vs Monbus Obradoiro,29 sept 2024,G  82-69,20,5,8,25,4-8,4-7,53.3%,0-0,-,0,5,5,8,1,1,0,20,26
