PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,9 may 2025,G  100-102,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Gipuzkoa Basket,3 may 2025,P  63-65,7,2,0,21,2-3,1-3,50.0%,0-0,-,1,1,2,0,1,3,0,7,4
@ Fuenlabrada,27 abr 2025,P  84-68,4,4,1,20,1-2,0-2,25.0%,2-2,100.0%,3,1,4,1,0,0,0,4,6
vs HLA Alicante,22 abr 2025,G  82-70,6,2,0,17,0-2,2-2,50.0%,0-0,-,0,2,2,0,2,2,0,6,6
@ Real Betis,18 abr 2025,G  77-78,6,5,0,15,0-1,2-3,50.0%,0-0,-,0,5,5,0,0,0,0,6,9
vs Súper Agropal Palencia,12 abr 2025,G  77-76,10,0,0,10,0-0,3-4,75.0%,1-2,50.0%,0,0,0,0,0,0,0,10,8
@ C.B. Moron,6 abr 2025,G  70-99,6,1,0,13,0-0,2-3,66.7%,0-0,-,0,1,1,0,0,1,0,6,5
@ Grupo Alega Cantabria,2 abr 2025,G  58-85,6,5,0,18,1-2,0-4,16.7%,4-4,100.0%,2,3,5,0,0,0,0,6,6
vs Amics Castello,28 mar 2025,G  100-72,10,1,3,15,2-2,2-4,66.7%,0-0,-,0,1,1,3,1,0,0,10,13
vs Movistar Estudiantes,22 mar 2025,G  90-73,2,0,1,6,1-1,0-0,100.0%,0-0,-,0,0,0,1,1,1,0,2,3
@ Ourense,15 mar 2025,G  77-85,0,3,1,8,0-0,0-2,0.0%,0-0,-,0,3,3,1,2,1,0,0,3
vs Hestia Menorca,12 mar 2025,G  83-67,0,1,0,4,0-1,0-0,0.0%,0-2,0.0%,1,0,1,0,0,0,0,0,-2
@ Hestia Menorca,18 ene 2025,G  76-81,16,3,2,21,3-4,2-5,55.6%,4-4,100.0%,0,3,3,2,1,1,0,16,17
vs Alimerka Oviedo,11 ene 2025,G  76-65,10,4,1,24,0-1,2-6,28.6%,4-6,66.7%,3,1,4,1,1,0,0,10,9
@ HLA Alicante,4 ene 2025,P  90-85,24,7,4,24,1-2,6-8,70.0%,4-4,100.0%,5,2,7,4,0,2,0,24,30
vs Ourense,29 dic 2024,P  68-71,7,5,2,22,1-1,1-4,40.0%,2-2,100.0%,2,3,5,2,0,0,0,7,11
@ Amics Castello,20 dic 2024,P  73-68,11,4,2,23,2-3,2-7,40.0%,1-1,100.0%,1,3,4,2,0,0,0,11,11
vs Fuenlabrada,14 dic 2024,P  75-79,5,4,1,18,1-1,1-2,66.7%,0-0,-,0,4,4,1,0,2,1,5,8
vs Real Betis,10 dic 2024,G  71-67,0,0,0,10,0-1,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-3
vs Grupo Alega Cantabria,1 dic 2024,G  93-54,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,1,0,0,0,-1
