PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,9 may 2025,G  100-102,0,2,0,9,0-0,0-1,0.0%,0-0,-,1,1,2,0,0,1,0,0,0
vs Gipuzkoa Basket,3 may 2025,P  63-65,8,0,0,17,1-1,0-2,33.3%,6-6,100.0%,0,0,0,0,0,0,0,8,6
@ Fuenlabrada,27 abr 2025,P  84-68,8,0,0,15,2-2,1-3,60.0%,1-2,50.0%,0,0,0,0,0,0,0,8,5
vs HLA Alicante,22 abr 2025,G  82-70,11,1,2,18,1-2,3-4,66.7%,0-0,-,0,1,1,2,4,0,0,11,16
@ Real Betis,18 abr 2025,G  77-78,0,0,1,10,0-1,0-1,0.0%,0-0,-,0,0,0,1,1,0,0,0,0
vs Súper Agropal Palencia,12 abr 2025,G  77-76,6,2,6,20,2-3,0-1,50.0%,2-2,100.0%,1,1,2,6,0,2,0,6,10
@ C.B. Moron,6 abr 2025,G  70-99,3,4,3,14,0-1,1-3,25.0%,0-0,-,1,3,4,3,2,1,0,3,8
@ Grupo Alega Cantabria,2 abr 2025,G  58-85,5,2,2,16,2-4,0-1,40.0%,1-1,100.0%,1,1,2,2,0,4,1,5,3
vs Amics Castello,28 mar 2025,G  100-72,6,0,3,13,0-0,1-1,100.0%,3-4,75.0%,0,0,0,3,0,1,0,6,7
vs Movistar Estudiantes,22 mar 2025,G  90-73,11,1,2,19,1-3,3-5,50.0%,0-0,-,0,1,1,2,2,2,0,11,10
@ Ourense,15 mar 2025,G  77-85,0,0,2,15,0-2,0-2,0.0%,0-0,-,0,0,0,2,1,0,0,0,-1
vs Hestia Menorca,12 mar 2025,G  83-67,2,0,1,16,1-2,0-1,33.3%,0-0,-,0,0,0,1,0,1,0,2,0
@ Alimerka Oviedo,8 mar 2025,G  68-74,12,0,1,23,3-5,2-3,62.5%,0-0,-,0,0,0,1,0,0,0,12,10
vs CB Zamora,2 mar 2025,G  93-59,5,0,0,19,0-0,1-2,50.0%,2-2,100.0%,0,0,0,0,1,0,0,5,5
@ San Pablo Burgos,16 feb 2025,P  95-82,16,2,3,30,2-5,4-7,50.0%,0-0,-,1,1,2,3,2,0,0,16,17
vs Cartagena,11 feb 2025,G  88-62,0,3,4,21,0-0,0-2,0.0%,0-0,-,0,3,3,4,1,0,0,0,6
vs Real Valladolid,1 feb 2025,G  91-79,6,4,1,19,0-2,2-4,33.3%,0-0,-,0,4,4,1,1,0,0,6,8
@ Hestia Menorca,18 ene 2025,G  76-81,5,2,3,16,1-1,1-3,50.0%,0-0,-,0,2,2,3,0,1,0,5,7
vs Alimerka Oviedo,11 ene 2025,G  76-65,0,0,2,14,0-1,0-1,0.0%,0-0,-,0,0,0,2,1,1,0,0,0
@ HLA Alicante,4 ene 2025,P  90-85,7,2,1,19,2-3,1-4,42.9%,0-0,-,0,2,2,1,0,1,0,7,5
vs Ourense,29 dic 2024,P  68-71,0,2,2,14,0-0,0-3,0.0%,0-0,-,0,2,2,2,0,0,0,0,1
@ Amics Castello,20 dic 2024,P  73-68,0,0,0,1,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Fuenlabrada,14 dic 2024,P  75-79,14,1,2,20,1-3,3-8,36.4%,3-4,75.0%,1,0,1,2,1,2,0,14,8
vs Real Betis,10 dic 2024,G  71-67,4,2,2,18,2-2,0-3,40.0%,0-0,-,1,1,2,2,0,2,0,4,3
@ Súper Agropal Palencia,5 dic 2024,P  91-83,10,0,1,19,2-3,2-4,57.1%,0-0,-,0,0,0,1,0,1,0,10,7
vs Grupo Alega Cantabria,1 dic 2024,G  93-54,6,2,3,20,3-4,0-0,75.0%,0-0,-,0,2,2,3,2,0,0,6,12
@ CB Zamora,16 nov 2024,G  60-90,3,5,5,19,0-0,1-2,50.0%,0-0,-,1,4,5,5,0,4,0,3,8
vs UBU Tizona Burgos,9 nov 2024,G  95-89,7,1,10,23,0-1,1-3,25.0%,4-4,100.0%,0,1,1,10,2,0,0,7,17
@ Gipuzkoa Basket,2 nov 2024,G  77-86,10,3,2,23,0-1,3-6,42.9%,1-2,50.0%,2,1,3,2,1,0,0,10,11
@ Real Valladolid,25 oct 2024,G  72-76,4,2,0,15,1-3,0-1,25.0%,2-2,100.0%,1,1,2,0,1,1,0,4,3
vs San Pablo Burgos,19 oct 2024,P  85-91,15,1,5,25,1-3,4-5,62.5%,1-2,50.0%,0,1,1,5,0,1,0,15,16
@ Cartagena,12 oct 2024,P  73-68,4,2,1,15,2-2,0-3,40.0%,0-0,-,0,2,2,1,1,1,0,4,4
vs C.B. Moron,5 oct 2024,G  78-65,5,1,2,24,1-3,1-5,25.0%,0-0,-,0,1,1,2,1,0,0,5,3
@ Movistar Estudiantes,29 sept 2024,P  82-69,4,4,3,25,2-3,0-2,40.0%,0-0,-,1,3,4,3,0,2,1,4,7
