PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,9 may 2025,G  100-102,21,1,4,29,3-5,4-10,46.7%,3-4,75.0%,0,1,1,4,2,3,0,21,16
vs Gipuzkoa Basket,3 may 2025,P  63-65,0,2,1,16,0-0,0-4,0.0%,0-0,-,1,1,2,1,1,1,0,0,-1
@ Fuenlabrada,27 abr 2025,P  84-68,10,1,1,15,0-0,3-3,100.0%,1-3,33.3%,0,1,1,1,0,2,0,10,8
vs HLA Alicante,22 abr 2025,G  82-70,5,0,5,20,1-4,1-4,25.0%,0-0,-,0,0,0,5,2,6,0,5,0
@ Real Betis,18 abr 2025,G  77-78,20,4,2,32,3-6,4-7,53.8%,2-2,100.0%,2,2,4,2,1,1,0,20,20
vs Súper Agropal Palencia,12 abr 2025,G  77-76,10,1,1,24,2-8,1-3,27.3%,3-3,100.0%,0,1,1,1,0,1,0,10,3
@ C.B. Moron,6 abr 2025,G  70-99,13,4,2,21,2-3,3-3,83.3%,0-0,-,1,3,4,2,1,2,0,13,17
vs Amics Castello,28 mar 2025,G  100-72,22,1,4,20,1-2,5-8,60.0%,5-6,83.3%,0,1,1,4,1,3,0,22,20
vs Movistar Estudiantes,22 mar 2025,G  90-73,12,3,3,25,2-3,2-4,57.1%,2-2,100.0%,1,2,3,3,1,0,0,12,16
@ Ourense,15 mar 2025,G  77-85,21,1,5,32,2-2,2-4,66.7%,11-13,84.6%,1,0,1,5,2,2,0,21,23
vs Hestia Menorca,12 mar 2025,G  83-67,19,1,1,22,4-5,3-4,77.8%,2-2,100.0%,0,1,1,1,1,1,0,19,19
@ Alimerka Oviedo,8 mar 2025,G  68-74,11,0,3,27,3-8,1-3,36.4%,2-2,100.0%,0,0,0,3,3,4,0,11,6
vs CB Zamora,2 mar 2025,G  93-59,24,1,1,21,3-6,6-7,69.2%,0-0,-,0,1,1,1,0,0,0,24,22
@ Niners Chemnitz,11 feb 2025,P  72-65,14,3,2,28,4-10,2-4,42.9%,0-0,-,2,1,3,2,1,1,0,14,11
vs MHP Riesen Ludwigsburg,8 feb 2025,G  86-73,7,5,2,26,0-2,2-4,33.3%,1-2,50.0%,1,4,5,2,1,6,0,7,4
@ Rostock Seawolves,2 feb 2025,P  88-82,21,2,3,27,3-4,5-9,61.5%,0-0,-,0,2,2,3,2,1,0,21,22
@ Alba Berlin,18 ene 2025,P  92-65,19,3,1,27,0-4,5-7,45.5%,4-4,100.0%,1,2,3,1,1,4,0,19,14
vs FC Bayern Munich,12 ene 2025,P  59-87,5,1,2,21,1-3,1-2,40.0%,0-0,-,1,0,1,2,2,1,0,5,6
@ MHP Riesen Ludwigsburg,30 dic 2024,G  63-67,9,4,1,24,3-3,1-2,80.0%,0-2,0.0%,2,2,4,1,0,3,0,9,8
vs Bamberg Baskets,22 dic 2024,P  68-79,4,2,5,19,2-3,0-3,33.3%,0-0,-,0,2,2,5,1,3,0,4,5
@ Ratiopharm Ulm,14 dic 2024,G  67-69,6,3,4,25,0-2,2-2,50.0%,0-0,-,0,3,3,4,1,2,0,6,10
vs Rostock Seawolves,30 nov 2024,G  86-81,10,5,3,24,2-7,0-1,25.0%,6-6,100.0%,2,3,5,3,0,1,0,10,11
vs Hamburg Towers,15 nov 2024,G  73-68,5,5,9,22,1-2,0-0,50.0%,3-4,75.0%,1,4,5,9,0,2,0,5,15
@ BG Gottingen,9 nov 2024,G  73-95,13,6,6,25,2-4,1-4,37.5%,6-6,100.0%,1,5,6,6,0,3,1,13,18
vs Würzburg Baskets,2 nov 2024,P  67-72,6,3,1,22,3-4,0-4,37.5%,0-0,-,1,2,3,1,0,2,0,6,3
@ Fraport Skyliners,26 oct 2024,G  72-95,24,3,1,19,1-2,6-7,77.8%,4-4,100.0%,1,2,3,1,0,3,0,24,23
vs Rasta Vechta,29 sept 2024,G  80-74,10,0,3,17,5-6,0-2,62.5%,0-0,-,0,0,0,3,0,2,0,10,8
@ EWE Baskets Oldenburg,21 sept 2024,P  105-82,15,4,2,30,1-2,3-8,40.0%,4-6,66.7%,1,3,4,2,1,3,0,15,11
