PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,9 may 2025,G  100-102,14,1,3,21,2-2,3-3,100.0%,1-1,100.0%,0,1,1,3,1,2,0,14,17
vs Gipuzkoa Basket,3 may 2025,P  63-65,6,1,2,21,2-3,0-1,50.0%,2-2,100.0%,0,1,1,2,2,0,0,6,9
@ Fuenlabrada,27 abr 2025,P  84-68,11,2,4,25,4-5,1-4,55.6%,0-0,-,0,2,2,4,1,1,0,11,13
vs HLA Alicante,22 abr 2025,G  82-70,10,1,2,22,2-2,2-5,57.1%,0-0,-,0,1,1,2,0,0,0,10,10
@ Real Betis,18 abr 2025,G  77-78,4,2,1,10,2-4,0-2,33.3%,0-0,-,0,2,2,1,0,1,1,4,3
vs Súper Agropal Palencia,12 abr 2025,G  77-76,3,1,3,20,0-1,1-2,33.3%,0-0,-,0,1,1,3,0,2,0,3,3
@ C.B. Moron,6 abr 2025,G  70-99,3,1,6,21,1-2,0-3,20.0%,1-1,100.0%,0,1,1,6,0,0,0,3,6
vs Amics Castello,28 mar 2025,G  100-72,3,2,3,21,0-2,1-2,25.0%,0-0,-,0,2,2,3,0,1,0,3,4
vs Movistar Estudiantes,22 mar 2025,G  90-73,7,0,4,21,2-3,1-2,60.0%,0-0,-,0,0,0,4,1,1,0,7,9
@ Ourense,15 mar 2025,G  77-85,3,2,2,25,0-1,1-2,33.3%,0-0,-,1,1,2,2,2,1,0,3,6
vs Hestia Menorca,12 mar 2025,G  83-67,5,3,4,24,2-3,0-1,50.0%,1-2,50.0%,0,3,3,4,1,1,0,5,9
@ Alimerka Oviedo,8 mar 2025,G  68-74,3,2,1,16,0-2,1-1,33.3%,0-0,-,0,2,2,1,0,1,0,3,3
vs CB Zamora,2 mar 2025,G  93-59,6,2,2,13,0-0,2-2,100.0%,0-0,-,0,2,2,2,0,2,0,6,8
@ Soles de Mexicali,16 oct 2024,P  86-82,7,0,2,23,1-2,1-3,40.0%,2-2,100.0%,0,0,0,2,1,2,0,7,5
@ Soles de Mexicali,15 oct 2024,P  83-72,2,1,1,13,1-2,0-1,33.3%,0-0,-,0,1,1,1,0,0,0,2,2
@ Halcones de Xalapa,11 oct 2024,G  76-81,2,2,1,18,1-3,0-3,16.7%,0-0,-,0,2,2,1,0,1,0,2,-1
@ Halcones de Xalapa,10 oct 2024,G  83-85,2,2,5,24,1-3,0-1,25.0%,0-0,-,0,2,2,5,2,4,0,2,4
vs Diablos Rojos,5 oct 2024,P  90-102,4,1,4,29,2-4,0-2,33.3%,0-0,-,1,0,1,4,3,2,0,4,6
vs Diablos Rojos,4 oct 2024,G  100-87,13,2,4,32,5-10,1-4,42.9%,0-0,-,1,1,2,4,3,1,0,13,13
@ Abejas de León,27 sept 2024,P  90-88,10,7,5,40,3-4,0-4,37.5%,4-7,57.1%,2,5,7,5,1,4,0,10,11
@ Abejas de León,26 sept 2024,P  87-69,7,2,4,26,2-3,1-5,37.5%,0-0,-,0,2,2,4,2,2,1,7,9
vs Santos de San Luis Potosi,22 sept 2024,G  88-67,7,0,7,27,2-4,0-2,33.3%,3-3,100.0%,0,0,0,7,3,1,0,7,12
vs Santos de San Luis Potosi,21 sept 2024,G  90-77,6,3,5,28,0-1,2-4,40.0%,0-0,-,0,3,3,5,0,2,0,6,9
@ Astros de Jalisco,18 sept 2024,G  63-89,0,1,6,25,0-2,0-1,0.0%,0-0,-,0,1,1,6,1,1,0,0,4
@ Astros de Jalisco,17 sept 2024,P  80-79,11,3,4,34,4-10,1-2,41.7%,0-0,-,0,3,3,4,0,1,0,11,10
vs Halcones Rojos de Veracruz,14 sept 2024,G  71-70,9,3,4,29,4-6,0-1,57.1%,1-2,50.0%,0,3,3,4,1,4,0,9,9
vs Halcones Rojos de Veracruz,13 sept 2024,G  76-62,6,1,4,22,2-4,0-2,33.3%,2-2,100.0%,0,1,1,4,1,1,0,6,7
vs Freseros Irapuato,8 sept 2024,G  91-73,13,4,4,31,2-4,2-2,66.7%,3-3,100.0%,0,4,4,4,1,1,0,13,19
vs Freseros Irapuato,7 sept 2024,G  93-90,2,4,5,29,1-3,0-1,25.0%,0-0,-,1,3,4,5,0,1,0,2,7
@ Mineros de Zacatecas,24 ago 2024,G  71-77,2,0,4,26,1-3,0-0,33.3%,0-0,-,0,0,0,4,0,3,0,2,1
@ Mineros de Zacatecas,23 ago 2024,P  88-66,3,4,2,21,1-1,0-4,20.0%,1-2,50.0%,0,4,4,2,0,2,1,3,3
vs Lobos Plateados,17 ago 2024,G  90-67,7,2,4,16,0-2,2-3,40.0%,1-2,50.0%,1,1,2,4,0,0,0,7,9
vs Lobos Plateados,16 ago 2024,G  91-86,9,1,0,34,2-3,1-6,33.3%,2-2,100.0%,0,1,1,0,3,5,0,9,2
@ Panteras de Aguascalientes,9 ago 2024,P  85-83,5,2,2,21,1-3,1-3,33.3%,0-0,-,1,1,2,2,1,2,0,5,4
@ Panteras de Aguascalientes,8 ago 2024,G  73-87,14,4,4,30,1-1,4-5,83.3%,0-0,-,1,3,4,4,0,1,0,14,20
vs Plateros de Fresnillo,4 ago 2024,G  86-79,8,2,4,33,1-6,2-6,25.0%,0-0,-,1,1,2,4,3,0,0,8,8
vs Plateros de Fresnillo,3 ago 2024,G  97-71,13,3,5,28,4-7,1-4,45.5%,2-3,66.7%,2,1,3,5,2,1,0,13,15
@ Correcaminos UAT,31 jul 2024,G  73-81,9,4,0,29,0-2,3-6,37.5%,0-0,-,3,1,4,0,1,0,0,9,9
@ Correcaminos UAT,30 jul 2024,G  69-97,8,1,1,18,2-3,1-2,60.0%,1-3,33.3%,0,1,1,1,3,0,0,8,9
vs Dorados de Chihuahua,27 jul 2024,G  88-67,8,1,4,26,1-3,2-3,50.0%,0-0,-,0,1,1,4,3,3,0,8,10
vs Dorados de Chihuahua,26 jul 2024,G  95-88,16,2,6,27,1-3,4-5,62.5%,2-2,100.0%,1,1,2,6,1,1,0,16,21
@ El Calor de Cancun,19 jul 2024,G  81-84,12,4,2,29,3-3,2-4,71.4%,0-0,-,1,3,4,2,0,2,0,12,14
@ El Calor de Cancun,18 jul 2024,P  83-70,5,3,0,16,1-2,1-4,33.3%,0-0,-,0,3,3,0,0,1,0,5,3
vs Soles de Mexicali,14 jul 2024,G  81-80,8,2,6,21,0-3,2-3,33.3%,2-2,100.0%,0,2,2,6,1,0,0,8,13
vs Soles de Mexicali,13 jul 2024,G  104-60,5,3,8,17,1-4,1-2,33.3%,0-0,-,1,2,3,8,2,3,0,5,11
