PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Grupo Alega Cantabria,2 abr 2025,G  58-85,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Alimerka Oviedo,8 mar 2025,G  68-74,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
vs CB Zamora,2 mar 2025,G  93-59,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ San Pablo Burgos,16 feb 2025,P  95-82,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Cartagena,11 feb 2025,G  88-62,3,1,2,18,0-1,1-2,33.3%,0-0,-,0,1,1,2,0,0,0,3,4
vs Real Valladolid,1 feb 2025,G  91-79,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Hestia Menorca,18 ene 2025,G  76-81,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Alimerka Oviedo,11 ene 2025,G  76-65,4,2,0,6,0-0,0-0,-,4-4,100.0%,0,2,2,0,0,1,0,4,5
@ Amics Castello,20 dic 2024,P  73-68,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Fuenlabrada,14 dic 2024,P  75-79,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Grupo Alega Cantabria,1 dic 2024,G  93-54,2,2,2,16,1-2,0-0,50.0%,0-0,-,1,1,2,2,0,1,0,2,4
@ CB Zamora,16 nov 2024,G  60-90,3,0,0,5,1-1,0-1,50.0%,1-2,50.0%,0,0,0,0,0,1,0,3,0
