PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,9 may 2025,G  100-102,0,1,0,4,0-1,0-2,0.0%,0-0,-,1,0,1,0,0,0,0,0,-2
vs Gipuzkoa Basket,3 may 2025,P  63-65,2,0,1,11,1-1,0-1,50.0%,0-0,-,0,0,0,1,1,1,0,2,2
@ Fuenlabrada,27 abr 2025,P  84-68,4,2,0,20,2-2,0-1,66.7%,0-0,-,0,2,2,0,1,1,0,4,5
vs HLA Alicante,22 abr 2025,G  82-70,15,3,0,19,3-3,3-4,85.7%,0-0,-,1,2,3,0,0,1,0,15,16
@ Real Betis,18 abr 2025,G  77-78,0,0,2,11,0-0,0-0,-,0-0,-,0,0,0,2,0,1,0,0,1
vs Súper Agropal Palencia,12 abr 2025,G  77-76,2,1,0,10,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Grupo Alega Cantabria,2 abr 2025,G  58-85,8,2,0,9,3-3,0-0,100.0%,2-2,100.0%,0,2,2,0,0,0,0,8,10
vs Amics Castello,28 mar 2025,G  100-72,7,5,0,16,0-1,2-3,50.0%,1-2,50.0%,2,3,5,0,0,0,0,7,9
vs Movistar Estudiantes,22 mar 2025,G  90-73,5,4,0,16,1-1,1-2,66.7%,0-0,-,0,4,4,0,0,1,0,5,7
@ Ourense,15 mar 2025,G  77-85,18,5,1,28,7-9,1-4,61.5%,1-3,33.3%,1,4,5,1,1,1,0,18,17
vs Hestia Menorca,12 mar 2025,G  83-67,5,1,0,15,1-3,1-1,50.0%,0-0,-,1,0,1,0,0,1,0,5,3
@ Alimerka Oviedo,8 mar 2025,G  68-74,2,1,0,15,1-2,0-1,33.3%,0-0,-,1,0,1,0,1,0,0,2,2
vs CB Zamora,2 mar 2025,G  93-59,6,4,2,14,0-1,2-6,28.6%,0-0,-,0,4,4,2,0,1,0,6,6
@ San Pablo Burgos,16 feb 2025,P  95-82,8,2,0,15,1-2,2-3,60.0%,0-0,-,0,2,2,0,0,1,0,8,7
vs Cartagena,11 feb 2025,G  88-62,0,2,3,15,0-0,0-3,0.0%,0-0,-,0,2,2,3,3,0,1,0,6
vs Real Valladolid,1 feb 2025,G  91-79,2,2,0,14,1-2,0-1,33.3%,0-0,-,1,1,2,0,0,0,0,2,2
@ Hestia Menorca,18 ene 2025,G  76-81,7,4,0,24,2-3,1-1,75.0%,0-0,-,2,2,4,0,0,2,1,7,9
vs Alimerka Oviedo,11 ene 2025,G  76-65,2,1,0,24,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ HLA Alicante,4 ene 2025,P  90-85,6,1,0,21,0-2,2-3,40.0%,0-2,0.0%,0,1,1,0,0,1,2,6,3
vs Ourense,29 dic 2024,P  68-71,11,1,1,23,1-1,3-5,66.7%,0-2,0.0%,1,0,1,1,0,2,0,11,7
@ Amics Castello,20 dic 2024,P  73-68,2,1,1,25,1-1,0-4,20.0%,0-2,0.0%,0,1,1,1,0,0,0,2,-2
vs Fuenlabrada,14 dic 2024,P  75-79,6,5,1,28,0-1,2-3,50.0%,0-2,0.0%,3,2,5,1,1,2,0,6,7
vs Real Betis,10 dic 2024,G  71-67,10,4,2,29,2-4,2-7,36.4%,0-0,-,0,4,4,2,1,1,0,10,9
@ Súper Agropal Palencia,5 dic 2024,P  91-83,5,3,1,27,1-1,1-3,50.0%,0-0,-,1,2,3,1,0,1,1,5,7
vs Grupo Alega Cantabria,1 dic 2024,G  93-54,14,5,0,24,4-4,2-3,85.7%,0-1,0.0%,1,4,5,0,2,0,0,14,19
@ CB Zamora,16 nov 2024,G  60-90,12,5,1,30,3-4,2-4,62.5%,0-0,-,1,4,5,1,0,0,0,12,15
vs UBU Tizona Burgos,9 nov 2024,G  95-89,13,7,0,29,5-8,1-3,54.5%,0-0,-,3,4,7,0,1,0,1,13,17
@ Gipuzkoa Basket,2 nov 2024,G  77-86,9,2,0,21,3-5,1-3,50.0%,0-0,-,2,0,2,0,0,1,1,9,7
@ Real Valladolid,25 oct 2024,G  72-76,9,6,1,28,0-1,3-4,60.0%,0-0,-,2,4,6,1,1,1,1,9,15
vs San Pablo Burgos,19 oct 2024,P  85-91,10,2,0,26,1-2,2-4,50.0%,2-4,50.0%,0,2,2,0,1,0,0,10,8
@ Cartagena,12 oct 2024,P  73-68,7,5,1,27,2-4,1-3,42.9%,0-2,0.0%,0,5,5,1,0,4,0,7,3
vs C.B. Moron,5 oct 2024,G  78-65,4,2,2,16,0-1,1-3,25.0%,1-2,50.0%,0,2,2,2,1,1,0,4,4
