PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Cartagena,3 may 2025,P  72-71,4,2,1,18,2-3,0-0,66.7%,0-0,-,2,0,2,1,0,2,0,4,4
vs Hestia Menorca,27 abr 2025,G  75-66,1,12,0,25,0-3,0-1,0.0%,1-2,50.0%,5,7,12,0,0,0,0,1,8
vs Real Valladolid,23 abr 2025,G  105-69,6,8,3,22,3-4,0-0,75.0%,0-0,-,1,7,8,3,1,0,0,6,17
@ Gipuzkoa Basket,18 abr 2025,P  99-92,10,9,3,22,3-3,0-1,75.0%,4-5,80.0%,3,6,9,3,1,0,0,10,21
vs San Pablo Burgos,13 abr 2025,P  72-78,8,2,2,12,4-7,0-0,57.1%,0-1,0.0%,1,1,2,2,0,0,1,8,9
@ Grupo Alega Cantabria,6 abr 2025,P  80-73,7,5,0,19,2-2,0-0,100.0%,3-4,75.0%,2,3,5,0,1,2,0,7,10
vs C.B. Moron,29 mar 2025,G  74-61,8,6,0,23,3-3,0-0,100.0%,2-2,100.0%,3,3,6,0,1,0,2,8,17
@ Fuenlabrada,23 mar 2025,G  93-97,5,2,3,17,2-4,0-0,50.0%,1-4,25.0%,0,2,2,3,0,0,0,5,5
vs Amics Castello,16 mar 2025,G  87-76,2,1,0,17,1-2,0-1,33.3%,0-0,-,0,1,1,0,1,0,1,2,3
@ HLA Alicante,12 mar 2025,P  87-79,9,4,2,19,3-5,0-0,60.0%,3-6,50.0%,2,2,4,2,2,0,0,9,12
vs Monbus Obradoiro,8 mar 2025,P  68-74,11,6,2,27,3-3,1-1,100.0%,2-3,66.7%,2,4,6,2,0,0,0,11,18
@ Súper Agropal Palencia,1 mar 2025,P  90-78,8,5,1,27,2-5,1-2,42.9%,1-2,50.0%,3,2,5,1,0,1,0,8,8
vs Real Betis,16 feb 2025,P  68-78,9,4,0,24,2-4,1-1,60.0%,2-4,50.0%,1,3,4,0,1,0,0,9,10
@ Ourense,12 feb 2025,G  78-94,4,7,3,18,2-4,0-0,50.0%,0-0,-,3,4,7,3,0,1,1,4,12
vs UBU Tizona Burgos,8 feb 2025,G  98-84,11,4,0,18,4-5,0-0,80.0%,3-4,75.0%,1,3,4,0,0,0,2,11,15
@ Movistar Estudiantes,2 feb 2025,G  76-81,4,10,0,28,1-5,0-0,20.0%,2-2,100.0%,3,7,10,0,3,1,0,4,12
vs Cartagena,18 ene 2025,P  73-87,4,6,0,24,2-3,0-3,33.3%,0-0,-,2,4,6,0,0,2,0,4,4
@ Monbus Obradoiro,11 ene 2025,P  76-65,6,7,1,23,2-3,0-0,66.7%,2-4,50.0%,3,4,7,1,1,1,0,6,11
vs Gipuzkoa Basket,4 ene 2025,G  87-73,7,8,2,29,3-5,0-1,50.0%,1-2,50.0%,6,2,8,2,0,3,0,7,10
@ CB Zamora,29 dic 2024,P  100-81,4,3,0,12,2-2,0-0,100.0%,0-1,0.0%,2,1,3,0,0,1,1,4,6
vs Súper Agropal Palencia,20 dic 2024,P  71-91,5,6,0,16,2-5,0-1,33.3%,1-2,50.0%,1,5,6,0,0,0,0,5,6
@ Hestia Menorca,15 dic 2024,P  69-64,4,4,0,19,2-3,0-1,50.0%,0-2,0.0%,1,3,4,0,0,1,0,4,3
vs Grupo Alega Cantabria,10 dic 2024,G  95-70,10,8,1,22,4-7,0-2,44.4%,2-2,100.0%,2,6,8,1,2,0,0,10,16
@ Real Betis,6 dic 2024,P  86-77,0,2,0,4,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
@ Real Valladolid,9 nov 2024,G  78-82,12,3,0,18,3-4,1-2,66.7%,3-3,100.0%,2,1,3,0,1,2,0,12,12
vs Fuenlabrada,2 nov 2024,P  70-80,2,2,0,8,1-2,0-1,33.3%,0-0,-,2,0,2,0,0,0,0,2,2
vs HLA Alicante,19 oct 2024,G  78-74,2,2,0,16,1-3,0-0,33.3%,0-0,-,0,2,2,0,0,1,0,2,1
@ C.B. Moron,12 oct 2024,G  84-89,5,7,2,30,2-4,0-1,40.0%,1-2,50.0%,5,2,7,2,2,0,0,5,12
vs Ourense,5 oct 2024,P  63-73,6,5,2,21,2-4,0-0,50.0%,2-4,50.0%,3,2,5,2,1,0,0,6,10
@ Amics Castello,27 sept 2024,P  90-68,1,1,2,19,0-2,0-1,0.0%,1-2,50.0%,0,1,1,2,1,1,0,1,0
