PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs CB Zamora,9 may 2025,G  72-65,0,4,3,18,0-1,0-1,0.0%,0-0,-,1,3,4,3,1,1,0,0,5
@ Cartagena,3 may 2025,P  72-71,8,0,0,10,2-3,0-0,66.7%,4-4,100.0%,0,0,0,0,1,1,0,8,7
vs Hestia Menorca,27 abr 2025,G  75-66,10,2,0,21,3-5,0-0,60.0%,4-4,100.0%,0,2,2,0,0,1,0,10,9
vs Real Valladolid,23 abr 2025,G  105-69,8,3,1,13,4-6,0-1,57.1%,0-0,-,1,2,3,1,0,1,0,8,8
@ Gipuzkoa Basket,18 abr 2025,P  99-92,4,3,0,14,1-3,0-1,25.0%,2-2,100.0%,0,3,3,0,1,3,0,4,2
vs San Pablo Burgos,13 abr 2025,P  72-78,9,3,1,18,3-4,1-1,80.0%,0-0,-,1,2,3,1,0,0,0,9,12
@ Grupo Alega Cantabria,6 abr 2025,P  80-73,0,0,1,6,0-3,0-0,0.0%,0-0,-,0,0,0,1,0,0,0,0,-2
vs C.B. Moron,29 mar 2025,G  74-61,3,4,0,9,1-5,0-0,20.0%,1-2,50.0%,2,2,4,0,0,2,0,3,0
@ Fuenlabrada,23 mar 2025,G  93-97,4,4,2,19,2-5,0-0,40.0%,0-0,-,0,4,4,2,0,1,1,4,7
vs Amics Castello,16 mar 2025,G  87-76,7,2,0,13,2-3,0-0,66.7%,3-9,33.3%,0,2,2,0,1,0,0,7,3
@ HLA Alicante,12 mar 2025,P  87-79,0,2,0,5,0-2,0-1,0.0%,0-0,-,0,2,2,0,1,0,0,0,0
vs Monbus Obradoiro,8 mar 2025,P  68-74,12,5,1,14,5-7,0-1,62.5%,2-2,100.0%,3,2,5,1,1,2,0,12,14
@ Súper Agropal Palencia,1 mar 2025,P  90-78,0,0,0,6,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Real Betis,16 feb 2025,P  68-78,0,0,0,10,0-2,0-0,0.0%,0-2,0.0%,0,0,0,0,0,1,0,0,-5
@ Ourense,12 feb 2025,G  78-94,10,0,0,16,1-3,2-5,37.5%,2-2,100.0%,0,0,0,0,0,1,0,10,4
vs UBU Tizona Burgos,8 feb 2025,G  98-84,10,3,0,20,4-7,0-1,50.0%,2-3,66.7%,2,1,3,0,1,1,0,10,8
@ Movistar Estudiantes,2 feb 2025,G  76-81,6,2,1,16,2-5,0-0,40.0%,2-3,66.7%,1,1,2,1,0,3,0,6,2
vs Cartagena,18 ene 2025,P  73-87,2,0,0,6,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Monbus Obradoiro,11 ene 2025,P  76-65,2,0,1,7,0-0,0-1,0.0%,2-2,100.0%,0,0,0,1,0,1,0,2,1
vs Gipuzkoa Basket,4 ene 2025,G  87-73,7,3,0,16,2-5,0-0,40.0%,3-4,75.0%,0,3,3,0,1,0,0,7,7
@ CB Zamora,29 dic 2024,P  100-81,7,4,0,13,2-4,1-1,60.0%,0-0,-,3,1,4,0,0,2,0,7,7
vs Súper Agropal Palencia,20 dic 2024,P  71-91,6,2,0,13,2-7,0-2,22.2%,2-2,100.0%,2,0,2,0,0,0,0,6,1
@ Hestia Menorca,15 dic 2024,P  69-64,10,3,1,12,3-4,0-0,75.0%,4-5,80.0%,2,1,3,1,0,1,0,10,11
vs Grupo Alega Cantabria,10 dic 2024,G  95-70,7,2,1,11,3-5,0-0,60.0%,1-3,33.3%,2,0,2,1,0,1,0,7,5
@ Real Betis,6 dic 2024,P  86-77,14,2,0,15,3-6,1-1,57.1%,5-6,83.3%,0,2,2,0,0,1,1,14,12
vs Movistar Estudiantes,1 dic 2024,P  76-78,4,3,0,16,1-3,0-0,33.3%,2-2,100.0%,2,1,3,0,0,0,1,4,6
@ UBU Tizona Burgos,16 nov 2024,P  106-81,8,0,0,17,4-6,0-0,66.7%,0-0,-,0,0,0,0,0,0,1,8,7
@ Real Valladolid,9 nov 2024,G  78-82,2,0,0,5,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,1,0,2,1
vs Ourense,5 oct 2024,P  63-73,6,3,0,15,3-4,0-1,60.0%,0-0,-,0,3,3,0,1,0,0,6,8
@ Amics Castello,27 sept 2024,P  90-68,11,3,0,18,4-6,0-0,66.7%,3-3,100.0%,3,0,3,0,0,2,0,11,10
