PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs CB Zamora,9 may 2025,G  72-65,7,6,4,28,2-3,1-3,50.0%,0-0,-,2,4,6,4,1,0,0,7,15
@ Cartagena,3 may 2025,P  72-71,6,4,1,33,2-3,0-3,33.3%,2-2,100.0%,0,4,4,1,1,3,0,6,5
vs Hestia Menorca,27 abr 2025,G  75-66,11,1,2,32,3-5,1-4,44.4%,2-2,100.0%,0,1,1,2,0,2,0,11,7
vs Real Valladolid,23 abr 2025,G  105-69,9,5,5,36,1-4,2-5,33.3%,1-1,100.0%,3,2,5,5,2,1,0,9,14
@ Gipuzkoa Basket,18 abr 2025,P  99-92,13,1,2,24,3-4,2-3,71.4%,1-2,50.0%,0,1,1,2,1,1,0,13,13
vs San Pablo Burgos,13 abr 2025,P  72-78,0,3,3,29,0-7,0-5,0.0%,0-0,-,1,2,3,3,1,1,0,0,-6
@ Grupo Alega Cantabria,6 abr 2025,P  80-73,7,5,1,28,2-5,1-3,37.5%,0-0,-,1,4,5,1,0,2,0,7,6
vs C.B. Moron,29 mar 2025,G  74-61,16,12,5,24,1-4,4-7,45.5%,2-2,100.0%,5,7,12,5,3,3,0,16,27
vs Amics Castello,16 mar 2025,G  87-76,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ HLA Alicante,12 mar 2025,P  87-79,12,4,7,33,2-6,2-5,36.4%,2-2,100.0%,0,4,4,7,0,1,0,12,15
vs Monbus Obradoiro,8 mar 2025,P  68-74,0,7,1,24,0-0,0-2,0.0%,0-0,-,3,4,7,1,2,3,0,0,5
@ Súper Agropal Palencia,1 mar 2025,P  90-78,9,2,2,7,1-1,1-1,100.0%,4-4,100.0%,0,2,2,2,0,0,0,9,13
vs Real Betis,16 feb 2025,P  68-78,0,1,0,6,0-1,0-0,0.0%,0-2,0.0%,0,1,1,0,0,0,0,0,-2
@ Ourense,12 feb 2025,G  78-94,0,1,1,7,0-0,0-0,-,0-0,-,0,1,1,1,0,1,0,0,1
vs UBU Tizona Burgos,8 feb 2025,G  98-84,0,2,1,6,0-1,0-0,0.0%,0-0,-,0,2,2,1,1,2,0,0,1
@ Movistar Estudiantes,2 feb 2025,G  76-81,1,2,0,6,0-0,0-1,0.0%,1-2,50.0%,1,1,2,0,0,0,0,1,1
vs Cartagena,18 ene 2025,P  73-87,3,2,1,12,1-3,0-2,20.0%,1-1,100.0%,2,0,2,1,0,1,0,3,1
@ Monbus Obradoiro,11 ene 2025,P  76-65,2,1,0,13,1-3,0-0,33.3%,0-0,-,0,1,1,0,0,1,0,2,0
vs Gipuzkoa Basket,4 ene 2025,G  87-73,0,3,4,18,0-0,0-3,0.0%,0-0,-,0,3,3,4,1,1,0,0,4
@ CB Zamora,29 dic 2024,P  100-81,7,0,0,12,2-4,1-3,42.9%,0-0,-,0,0,0,0,0,0,0,7,3
vs Súper Agropal Palencia,20 dic 2024,P  71-91,4,1,0,11,1-1,0-1,50.0%,2-4,50.0%,1,0,1,0,0,0,0,4,2
@ Hestia Menorca,15 dic 2024,P  69-64,2,1,1,14,0-1,0-1,0.0%,2-2,100.0%,0,1,1,1,0,2,0,2,0
vs Grupo Alega Cantabria,10 dic 2024,G  95-70,7,4,2,26,2-4,1-4,37.5%,0-0,-,0,4,4,2,0,0,0,7,8
@ Real Betis,6 dic 2024,P  86-77,6,5,5,25,0-3,2-2,40.0%,0-0,-,1,4,5,5,0,2,0,6,11
vs Movistar Estudiantes,1 dic 2024,P  76-78,10,7,4,33,0-2,2-5,28.6%,4-4,100.0%,3,4,7,4,0,3,0,10,13
@ UBU Tizona Burgos,16 nov 2024,P  106-81,6,0,2,23,1-3,0-2,20.0%,4-4,100.0%,0,0,0,2,1,4,0,6,1
@ Real Valladolid,9 nov 2024,G  78-82,7,8,2,25,1-8,1-2,20.0%,2-4,50.0%,1,7,8,2,1,4,0,7,4
vs Fuenlabrada,2 nov 2024,P  70-80,11,6,1,26,1-5,1-3,25.0%,6-6,100.0%,0,6,6,1,1,0,0,11,13
@ San Pablo Burgos,26 oct 2024,P  79-69,8,4,0,30,1-4,2-4,37.5%,0-1,0.0%,2,2,4,0,1,1,1,8,7
vs HLA Alicante,19 oct 2024,G  78-74,17,6,3,34,2-3,4-5,75.0%,1-1,100.0%,2,4,6,3,0,2,0,17,22
@ C.B. Moron,12 oct 2024,G  84-89,13,6,0,20,0-2,4-7,44.4%,1-2,50.0%,1,5,6,0,0,0,0,13,13
vs Ourense,5 oct 2024,P  63-73,0,2,1,16,0-1,0-2,0.0%,0-0,-,1,1,2,1,0,4,0,0,-4
@ Amics Castello,27 sept 2024,P  90-68,3,2,3,22,0-1,1-3,25.0%,0-0,-,0,2,2,3,1,4,1,3,3
