PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Betis,9 may 2025,G  87-68,14,4,2,26,4-8,2-4,50.0%,0-0,-,1,3,4,2,2,0,0,14,16
@ Amics Castello,2 may 2025,P  101-96,14,2,2,26,5-9,0-2,45.5%,4-4,100.0%,1,1,2,2,0,1,0,14,11
vs C.B. Moron,26 abr 2025,G  81-68,8,2,3,21,3-5,0-1,50.0%,2-4,50.0%,1,1,2,3,0,2,0,8,6
@ Ourense,23 abr 2025,P  94-84,8,3,3,26,3-4,0-2,50.0%,2-2,100.0%,0,3,3,3,1,2,0,8,10
vs UBU Tizona Burgos,19 abr 2025,G  102-79,11,2,5,18,2-5,1-2,42.9%,4-4,100.0%,1,1,2,5,1,1,0,11,14
@ Monbus Obradoiro,12 abr 2025,P  77-76,19,5,4,29,6-9,1-5,50.0%,4-4,100.0%,1,4,5,4,1,0,0,19,22
vs Hestia Menorca,4 abr 2025,G  84-72,2,1,2,12,1-4,0-0,25.0%,0-0,-,1,0,1,2,1,0,0,2,3
@ CB Zamora,30 mar 2025,P  84-77,6,5,0,24,1-3,1-6,22.2%,1-2,50.0%,0,5,5,0,0,2,0,6,1
vs Grupo Alega Cantabria,21 mar 2025,G  85-77,15,5,6,22,5-6,0-2,62.5%,5-8,62.5%,1,4,5,6,2,0,0,15,22
@ Movistar Estudiantes,16 mar 2025,P  104-98,21,2,2,28,6-11,2-3,57.1%,3-4,75.0%,0,2,2,2,2,1,0,21,19
vs Cartagena,12 mar 2025,G  88-71,15,3,4,20,2-4,2-3,57.1%,5-5,100.0%,0,3,3,4,3,1,0,15,21
@ Real Valladolid,8 mar 2025,P  92-83,5,4,2,27,1-4,1-3,28.6%,0-0,-,1,3,4,2,1,2,0,5,5
vs Alimerka Oviedo,1 mar 2025,G  90-78,8,2,2,21,2-8,1-2,30.0%,1-1,100.0%,1,1,2,2,1,2,0,8,4
@ Gipuzkoa Basket,16 feb 2025,G  85-87,21,3,1,21,6-8,2-3,72.7%,3-5,60.0%,1,2,3,1,0,2,0,21,18
vs San Pablo Burgos,12 feb 2025,P  85-87,14,2,5,26,4-8,1-3,45.5%,3-4,75.0%,0,2,2,5,1,3,0,14,12
@ HLA Alicante,7 feb 2025,G  95-96,9,3,3,24,1-4,1-3,28.6%,4-4,100.0%,1,2,3,3,1,1,0,9,10
vs Fuenlabrada,1 feb 2025,G  89-88,12,0,3,23,2-8,0-2,20.0%,8-10,80.0%,0,0,0,3,1,0,0,12,6
@ Grupo Alega Cantabria,18 ene 2025,G  59-83,14,5,6,26,2-9,2-5,28.6%,4-4,100.0%,0,5,5,6,2,2,0,14,15
vs CB Zamora,10 ene 2025,G  79-75,7,4,3,19,2-4,1-5,33.3%,0-2,0.0%,2,2,4,3,1,1,0,7,6
@ Hestia Menorca,4 ene 2025,P  84-78,15,3,2,28,6-10,1-3,53.8%,0-0,-,0,3,3,2,1,2,0,15,13
vs Real Valladolid,28 dic 2024,G  90-75,14,1,2,22,5-7,0-0,71.4%,4-5,80.0%,0,1,1,2,0,0,0,14,14
@ Alimerka Oviedo,20 dic 2024,G  71-91,10,4,2,21,4-8,0-0,50.0%,2-2,100.0%,0,4,4,2,0,2,0,10,10
vs Ourense,14 dic 2024,G  114-81,11,1,6,16,2-4,2-3,57.1%,1-1,100.0%,0,1,1,6,1,2,0,11,14
@ Fuenlabrada,11 dic 2024,P  82-73,9,5,5,25,4-9,0-2,36.4%,1-5,20.0%,0,5,5,5,0,3,0,9,5
vs Monbus Obradoiro,5 dic 2024,G  91-83,23,4,4,26,7-15,1-4,42.1%,6-7,85.7%,1,3,4,4,0,1,0,23,18
@ C.B. Moron,1 dic 2024,G  86-91,9,3,3,23,3-6,0-0,50.0%,3-5,60.0%,1,2,3,3,1,3,0,9,8
vs Amics Castello,15 nov 2024,G  107-76,21,2,4,18,8-12,1-2,64.3%,2-2,100.0%,1,1,2,4,0,1,0,21,21
@ Cartagena,8 nov 2024,G  67-100,6,5,3,20,2-7,0-3,20.0%,2-2,100.0%,2,3,5,3,2,2,0,6,6
vs HLA Alicante,1 nov 2024,G  80-64,15,3,3,22,7-9,0-2,63.6%,1-2,50.0%,0,3,3,3,1,2,0,15,15
@ Real Betis,26 oct 2024,P  85-68,6,1,3,16,1-5,1-3,25.0%,1-2,50.0%,0,1,1,3,0,2,0,6,1
vs Movistar Estudiantes,19 oct 2024,P  80-87,11,2,3,22,4-9,1-3,41.7%,0-0,-,0,2,2,3,1,4,0,11,6
@ San Pablo Burgos,12 oct 2024,P  88-77,8,1,2,24,2-2,0-1,66.7%,4-5,80.0%,0,1,1,2,1,2,0,8,8
vs Gipuzkoa Basket,4 oct 2024,G  78-69,11,3,7,27,3-7,0-3,30.0%,5-6,83.3%,1,2,3,7,2,0,0,11,15
@ UBU Tizona Burgos,27 sept 2024,G  85-91,17,3,3,22,4-7,2-2,66.7%,3-4,75.0%,0,3,3,3,1,3,0,17,17
