PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Betis,9 may 2025,G  87-68,6,1,2,13,0-2,2-4,33.3%,0-0,-,0,1,1,2,1,2,0,6,4
@ Amics Castello,2 may 2025,P  101-96,8,1,3,22,0-9,2-6,13.3%,2-2,100.0%,0,1,1,3,0,1,0,8,-2
vs C.B. Moron,26 abr 2025,G  81-68,13,2,2,21,2-6,3-8,35.7%,0-0,-,0,2,2,2,1,0,0,13,9
@ Ourense,23 abr 2025,P  94-84,13,2,3,22,4-9,0-4,30.8%,5-5,100.0%,2,0,2,3,0,0,0,13,9
vs UBU Tizona Burgos,19 abr 2025,G  102-79,27,0,0,14,4-8,5-5,69.2%,4-4,100.0%,0,0,0,0,0,1,0,27,22
@ Monbus Obradoiro,12 abr 2025,P  77-76,16,2,0,21,4-4,2-4,75.0%,2-4,50.0%,0,2,2,0,0,0,0,16,14
vs Hestia Menorca,4 abr 2025,G  84-72,14,2,4,24,5-6,1-4,60.0%,1-3,33.3%,0,2,2,4,2,0,0,14,16
@ CB Zamora,30 mar 2025,P  84-77,22,2,0,23,5-8,4-10,50.0%,0-0,-,0,2,2,0,0,1,0,22,14
vs Grupo Alega Cantabria,21 mar 2025,G  85-77,8,1,2,19,2-4,1-4,37.5%,1-1,100.0%,0,1,1,2,1,1,0,8,6
@ Movistar Estudiantes,16 mar 2025,P  104-98,16,3,1,16,3-5,3-3,75.0%,1-1,100.0%,1,2,3,1,0,1,0,16,17
vs Cartagena,12 mar 2025,G  88-71,3,2,5,20,0-2,1-4,16.7%,0-0,-,0,2,2,5,1,0,0,3,6
@ Real Valladolid,8 mar 2025,P  92-83,18,1,0,20,3-6,2-7,38.5%,6-6,100.0%,0,1,1,0,0,3,0,18,8
vs Alimerka Oviedo,1 mar 2025,G  90-78,20,2,1,23,2-8,5-9,41.2%,1-2,50.0%,0,2,2,1,0,1,0,20,11
@ Gipuzkoa Basket,16 feb 2025,G  85-87,5,0,1,13,1-5,1-2,28.6%,0-0,-,0,0,0,1,0,0,0,5,1
vs San Pablo Burgos,12 feb 2025,P  85-87,19,1,3,23,4-6,3-7,53.8%,2-2,100.0%,0,1,1,3,0,3,0,19,14
@ HLA Alicante,7 feb 2025,G  95-96,13,4,6,18,0-2,1-6,12.5%,10-10,100.0%,0,4,4,6,0,2,0,13,14
vs Fuenlabrada,1 feb 2025,G  89-88,11,0,0,11,0-0,3-6,50.0%,2-4,50.0%,0,0,0,0,0,1,0,11,5
@ Grupo Alega Cantabria,18 ene 2025,G  59-83,9,1,3,18,1-2,2-5,42.9%,1-2,50.0%,0,1,1,3,1,4,0,9,5
vs CB Zamora,10 ene 2025,G  79-75,14,1,0,16,2-5,2-4,44.4%,4-4,100.0%,0,1,1,0,2,2,1,14,11
@ Hestia Menorca,4 ene 2025,P  84-78,21,3,2,24,4-6,3-7,53.8%,4-4,100.0%,0,3,3,2,2,0,0,21,22
vs Real Valladolid,28 dic 2024,G  90-75,10,2,5,19,1-5,2-5,30.0%,2-2,100.0%,0,2,2,5,0,0,0,10,10
@ Alimerka Oviedo,20 dic 2024,G  71-91,21,2,0,21,4-6,4-8,57.1%,1-1,100.0%,0,2,2,0,1,1,0,21,17
vs Ourense,14 dic 2024,G  114-81,15,0,5,21,2-3,3-4,71.4%,2-2,100.0%,0,0,0,5,0,3,0,15,15
@ Fuenlabrada,11 dic 2024,P  82-73,3,3,1,18,1-6,0-1,14.3%,1-2,50.0%,0,3,3,1,0,1,0,3,-1
vs Monbus Obradoiro,5 dic 2024,G  91-83,9,1,1,21,1-3,2-3,50.0%,1-1,100.0%,0,1,1,1,0,0,0,9,8
@ C.B. Moron,1 dic 2024,G  86-91,22,1,1,20,5-5,4-8,69.2%,0-0,-,1,0,1,1,0,0,0,22,20
vs Amics Castello,15 nov 2024,G  107-76,16,1,0,19,3-5,3-5,60.0%,1-1,100.0%,0,1,1,0,0,1,0,16,12
@ Cartagena,8 nov 2024,G  67-100,25,2,1,18,3-4,6-10,64.3%,1-2,50.0%,0,2,2,1,0,0,0,25,22
vs HLA Alicante,1 nov 2024,G  80-64,14,0,1,19,4-5,1-5,50.0%,3-4,75.0%,0,0,0,1,0,4,0,14,5
@ Real Betis,26 oct 2024,P  85-68,8,2,2,25,1-3,2-5,37.5%,0-0,-,0,2,2,2,0,1,0,8,6
vs Movistar Estudiantes,19 oct 2024,P  80-87,15,3,1,19,6-9,0-3,50.0%,3-3,100.0%,0,3,3,1,1,1,0,15,13
@ San Pablo Burgos,12 oct 2024,P  88-77,7,0,0,17,2-3,0-3,33.3%,3-3,100.0%,0,0,0,0,0,1,0,7,2
vs Gipuzkoa Basket,4 oct 2024,G  78-69,11,1,1,17,1-1,3-6,57.1%,0-0,-,0,1,1,1,0,1,0,11,9
@ UBU Tizona Burgos,27 sept 2024,G  85-91,14,6,3,20,3-5,2-5,50.0%,2-2,100.0%,1,5,6,3,0,1,0,14,17
