PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Betis,9 may 2025,G  87-68,6,3,8,21,0-1,2-2,66.7%,0-0,-,0,3,3,8,3,0,0,6,19
@ Amics Castello,2 may 2025,P  101-96,3,1,2,19,0-1,1-1,50.0%,0-0,-,0,1,1,2,1,2,0,3,4
vs C.B. Moron,26 abr 2025,G  81-68,6,3,3,19,0-0,2-3,66.7%,0-0,-,0,3,3,3,0,1,0,6,10
@ Ourense,23 abr 2025,P  94-84,4,2,1,15,1-3,0-2,20.0%,2-2,100.0%,1,1,2,1,1,0,1,4,5
vs UBU Tizona Burgos,19 abr 2025,G  102-79,5,3,2,21,2-3,0-4,28.6%,1-2,50.0%,0,3,3,2,3,3,0,5,4
@ Monbus Obradoiro,12 abr 2025,P  77-76,6,3,0,18,0-1,2-5,33.3%,0-0,-,1,2,3,0,0,0,0,6,5
vs Hestia Menorca,4 abr 2025,G  84-72,2,5,3,22,1-3,0-2,20.0%,0-0,-,1,4,5,3,2,0,0,2,8
@ CB Zamora,30 mar 2025,P  84-77,9,2,3,22,3-3,1-6,44.4%,0-1,0.0%,1,1,2,3,4,0,0,9,12
vs Grupo Alega Cantabria,21 mar 2025,G  85-77,0,1,3,18,0-2,0-1,0.0%,0-0,-,0,1,1,3,1,0,0,0,2
@ Movistar Estudiantes,16 mar 2025,P  104-98,2,4,3,18,0-0,0-2,0.0%,2-2,100.0%,1,3,4,3,2,1,1,2,9
vs Cartagena,12 mar 2025,G  88-71,7,3,1,22,2-3,1-2,60.0%,0-0,-,0,3,3,1,0,0,1,7,10
@ Real Valladolid,8 mar 2025,P  92-83,0,0,1,14,0-0,0-1,0.0%,0-2,0.0%,0,0,0,1,0,2,0,0,-4
vs Alimerka Oviedo,1 mar 2025,G  90-78,7,2,1,19,2-3,1-3,50.0%,0-0,-,0,2,2,1,1,1,0,7,7
@ Gipuzkoa Basket,16 feb 2025,G  85-87,4,4,3,23,1-2,0-2,25.0%,2-2,100.0%,1,3,4,3,1,3,0,4,6
vs San Pablo Burgos,12 feb 2025,P  85-87,3,6,1,16,0-0,1-3,33.3%,0-0,-,2,4,6,1,0,2,0,3,6
@ HLA Alicante,7 feb 2025,G  95-96,9,3,4,15,0-0,3-5,60.0%,0-0,-,1,2,3,4,0,0,0,9,14
vs Fuenlabrada,1 feb 2025,G  89-88,2,2,0,17,1-2,0-4,16.7%,0-0,-,0,2,2,0,0,1,0,2,-2
@ Grupo Alega Cantabria,18 ene 2025,G  59-83,5,3,0,12,1-1,1-3,50.0%,0-0,-,2,1,3,0,0,1,0,5,5
vs CB Zamora,10 ene 2025,G  79-75,4,2,1,21,2-2,0-4,33.3%,0-0,-,0,2,2,1,2,1,0,4,4
@ Hestia Menorca,4 ene 2025,P  84-78,2,5,1,12,1-2,0-2,25.0%,0-0,-,0,5,5,1,1,1,0,2,5
vs Real Valladolid,28 dic 2024,G  90-75,0,4,2,18,0-2,0-1,0.0%,0-0,-,0,4,4,2,1,1,0,0,3
@ Alimerka Oviedo,20 dic 2024,G  71-91,4,5,3,19,2-2,0-2,50.0%,0-0,-,1,4,5,3,1,1,0,4,10
vs Ourense,14 dic 2024,G  114-81,10,3,1,24,2-4,2-5,44.4%,0-0,-,0,3,3,1,1,1,0,10,9
@ Fuenlabrada,11 dic 2024,P  82-73,0,2,2,16,0-1,0-2,0.0%,0-0,-,0,2,2,2,0,2,0,0,-1
vs Monbus Obradoiro,5 dic 2024,G  91-83,0,0,0,16,0-0,0-3,0.0%,0-0,-,0,0,0,0,2,0,0,0,-1
@ C.B. Moron,1 dic 2024,G  86-91,6,1,6,18,1-3,0-5,12.5%,4-6,66.7%,1,0,1,6,1,0,0,6,5
vs Amics Castello,15 nov 2024,G  107-76,5,2,3,21,1-2,1-3,40.0%,0-0,-,0,2,2,3,1,0,0,5,8
@ Cartagena,8 nov 2024,G  67-100,2,5,6,24,1-3,0-2,20.0%,0-0,-,1,4,5,6,1,1,0,2,9
vs HLA Alicante,1 nov 2024,G  80-64,0,0,3,18,0-1,0-3,0.0%,0-0,-,0,0,0,3,1,2,0,0,-2
@ Real Betis,26 oct 2024,P  85-68,2,2,2,13,1-2,0-2,25.0%,0-0,-,1,1,2,2,1,0,0,2,4
vs Movistar Estudiantes,19 oct 2024,P  80-87,0,2,5,18,0-0,0-1,0.0%,0-0,-,2,0,2,5,1,2,0,0,5
@ San Pablo Burgos,12 oct 2024,P  88-77,12,2,2,16,1-1,2-4,60.0%,4-4,100.0%,0,2,2,2,0,1,0,12,13
vs Gipuzkoa Basket,4 oct 2024,G  78-69,3,2,2,13,0-2,1-2,25.0%,0-0,-,0,2,2,2,0,2,0,3,2
@ UBU Tizona Burgos,27 sept 2024,G  85-91,13,1,1,18,2-4,3-5,55.6%,0-0,-,1,0,1,1,1,0,0,13,12
