PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hestia Menorca,9 may 2025,P  65-77,0,2,1,15,0-1,0-1,0.0%,0-0,-,0,2,2,1,0,0,0,0,1
@ Ourense,3 may 2025,P  95-84,6,1,1,12,0-1,2-3,50.0%,0-0,-,0,1,1,1,0,2,0,6,4
vs Cartagena,26 abr 2025,G  86-75,2,1,0,13,1-1,0-2,33.3%,0-0,-,1,0,1,0,0,0,0,2,1
@ Alimerka Oviedo,23 abr 2025,P  105-69,0,1,0,8,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs CB Zamora,19 abr 2025,G  91-86,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Grupo Alega Cantabria,11 abr 2025,P  81-88,4,1,1,15,0-0,1-4,25.0%,1-4,25.0%,0,1,1,1,1,0,0,4,1
@ Amics Castello,4 abr 2025,G  83-102,6,2,0,8,1-2,1-1,66.7%,1-1,100.0%,1,1,2,0,0,2,0,6,5
vs HLA Alicante,29 mar 2025,G  90-88,2,0,0,4,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ San Pablo Burgos,22 mar 2025,P  88-61,0,1,0,16,0-0,0-2,0.0%,0-0,-,0,1,1,0,1,3,0,0,-3
vs C.B. Moron,15 mar 2025,P  78-91,5,0,0,5,0-2,1-1,33.3%,2-2,100.0%,0,0,0,0,0,0,0,5,3
@ Gipuzkoa Basket,12 mar 2025,P  90-69,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Súper Agropal Palencia,8 mar 2025,G  92-83,0,0,1,4,0-0,0-0,-,0-0,-,0,0,0,1,0,2,0,0,-1
@ Fuenlabrada,2 mar 2025,P  95-82,0,0,1,3,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs UBU Tizona Burgos,15 feb 2025,P  97-104,6,2,0,10,3-3,0-1,75.0%,0-0,-,1,1,2,0,0,1,0,6,6
@ Movistar Estudiantes,12 feb 2025,P  87-76,0,1,0,4,0-0,0-0,-,0-0,-,0,1,1,0,0,1,0,0,0
vs Real Betis,8 feb 2025,P  75-85,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,-2
@ Monbus Obradoiro,1 feb 2025,P  91-79,0,0,0,5,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Amics Castello,18 ene 2025,G  101-77,0,1,1,14,0-0,0-1,0.0%,0-0,-,0,1,1,1,0,0,0,0,1
@ C.B. Moron,11 ene 2025,G  71-89,0,1,0,8,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Ourense,4 ene 2025,P  87-91,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Súper Agropal Palencia,28 dic 2024,P  90-75,0,2,1,10,0-0,0-1,0.0%,0-0,-,0,2,2,1,0,0,0,0,2
@ Real Betis,15 dic 2024,P  89-59,4,3,1,22,2-2,0-1,66.7%,0-0,-,1,2,3,1,1,1,0,4,7
vs San Pablo Burgos,11 dic 2024,P  73-104,4,3,2,23,1-2,0-1,33.3%,2-2,100.0%,3,0,3,2,2,2,0,4,7
@ Cartagena,7 dic 2024,G  76-80,2,6,0,17,1-2,0-1,33.3%,0-0,-,2,4,6,0,1,2,0,2,5
vs Gipuzkoa Basket,30 nov 2024,P  66-79,3,3,2,19,0-1,1-3,25.0%,0-0,-,0,3,3,2,0,2,0,3,3
@ Hestia Menorca,16 nov 2024,G  65-67,3,1,0,24,0-1,1-2,33.3%,0-0,-,0,1,1,0,0,2,0,3,0
vs Alimerka Oviedo,9 nov 2024,P  78-82,8,5,1,19,0-0,2-3,66.7%,2-2,100.0%,1,4,5,1,2,2,1,8,14
@ Grupo Alega Cantabria,2 nov 2024,G  68-73,3,5,1,17,0-3,1-2,20.0%,0-0,-,1,4,5,1,0,1,0,3,4
vs Monbus Obradoiro,25 oct 2024,P  72-76,4,3,0,13,0-2,0-1,0.0%,4-4,100.0%,0,3,3,0,0,0,0,4,4
@ UBU Tizona Burgos,18 oct 2024,P  94-85,0,2,0,4,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,0,0,0,1
vs Fuenlabrada,12 oct 2024,P  62-96,5,4,0,15,1-1,0-0,100.0%,3-4,75.0%,4,0,4,0,1,1,0,5,8
@ CB Zamora,5 oct 2024,P  89-68,2,2,1,15,1-1,0-3,25.0%,0-2,0.0%,1,1,2,1,0,0,0,2,0
@ HLA Alicante,28 sept 2024,G  64-73,3,2,0,5,0-0,1-1,100.0%,0-0,-,2,0,2,0,0,3,0,3,2
