PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,9 may 2025,G  100-88,11,3,2,17,2-3,2-2,80.0%,1-1,100.0%,0,3,3,2,1,0,0,11,16
@ Hestia Menorca,3 may 2025,G  54-85,10,3,1,20,2-3,2-3,66.7%,0-0,-,0,3,3,1,1,0,0,10,13
@ Gipuzkoa Basket,27 abr 2025,G  81-84,0,0,1,6,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
vs Fuenlabrada,23 abr 2025,G  87-74,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Grupo Alega Cantabria,19 abr 2025,G  74-85,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Alimerka Oviedo,13 abr 2025,G  72-78,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs CB Zamora,5 abr 2025,G  89-73,4,0,3,12,2-3,0-2,40.0%,0-0,-,0,0,0,3,0,1,0,4,3
@ Ourense,29 mar 2025,G  60-74,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
vs Real Valladolid,22 mar 2025,G  88-61,6,0,2,16,1-1,1-3,50.0%,1-2,50.0%,0,0,0,2,0,0,0,6,5
@ Cartagena,16 mar 2025,G  73-83,6,1,0,11,0-0,2-3,66.7%,0-0,-,0,1,1,0,0,0,0,6,6
vs UBU Tizona Burgos,12 mar 2025,G  77-73,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Betis,8 mar 2025,G  87-67,6,0,1,13,0-0,2-3,66.7%,0-0,-,0,0,0,1,0,0,0,6,6
vs Ourense,18 ene 2025,G  106-81,1,0,0,8,0-0,0-2,0.0%,1-2,50.0%,0,0,0,0,0,0,0,1,-2
@ Real Valladolid,11 dic 2024,G  73-104,6,0,1,13,0-0,2-5,40.0%,0-0,-,0,0,0,1,2,1,0,6,5
vs HLA Alicante,7 dic 2024,G  72-65,0,2,1,7,0-0,0-0,-,0-0,-,0,2,2,1,0,0,0,0,3
vs Hestia Menorca,1 dic 2024,G  91-81,3,1,1,7,0-0,1-2,50.0%,0-0,-,1,0,1,1,1,0,0,3,5
@ Real Betis,17 nov 2024,P  90-89,0,0,0,3,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Gipuzkoa Basket,9 nov 2024,G  90-68,7,1,0,9,1-1,1-2,66.7%,2-2,100.0%,1,0,1,0,0,1,0,7,6
@ CB Zamora,3 nov 2024,G  73-79,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Alimerka Oviedo,26 oct 2024,G  79-69,3,1,0,7,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,0,0,3,3
