PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,9 may 2025,G  100-88,3,1,2,15,0-0,1-1,100.0%,0-0,-,0,1,1,2,0,1,1,3,6
@ Hestia Menorca,3 may 2025,G  54-85,8,6,4,22,2-2,1-3,60.0%,1-2,50.0%,4,2,6,4,0,1,0,8,14
@ Gipuzkoa Basket,27 abr 2025,G  81-84,7,5,1,27,2-3,1-5,37.5%,0-0,-,1,4,5,1,0,1,1,7,8
vs Fuenlabrada,23 abr 2025,G  87-74,2,5,1,16,1-2,0-4,16.7%,0-0,-,2,3,5,1,0,2,0,2,1
@ Grupo Alega Cantabria,19 abr 2025,G  74-85,3,4,1,17,0-0,1-5,20.0%,0-0,-,1,3,4,1,1,1,0,3,4
@ Alimerka Oviedo,13 abr 2025,G  72-78,2,0,0,5,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs CB Zamora,5 abr 2025,G  89-73,9,3,0,19,0-0,3-4,75.0%,0-0,-,0,3,3,0,0,0,0,9,11
@ Ourense,29 mar 2025,G  60-74,5,4,0,22,1-2,1-4,33.3%,0-0,-,1,3,4,0,0,1,1,5,5
vs Real Valladolid,22 mar 2025,G  88-61,11,5,1,21,1-3,3-8,36.4%,0-0,-,2,3,5,1,0,0,0,11,10
@ Cartagena,16 mar 2025,G  73-83,5,1,4,15,1-2,1-3,40.0%,0-0,-,1,0,1,4,3,2,0,5,8
vs UBU Tizona Burgos,12 mar 2025,G  77-73,7,3,0,18,2-2,1-1,100.0%,0-0,-,2,1,3,0,0,1,0,7,9
vs Real Betis,8 mar 2025,G  87-67,4,1,1,17,2-4,0-5,22.2%,0-0,-,0,1,1,1,0,1,0,4,-2
@ HLA Alicante,2 mar 2025,P  90-88,11,2,1,26,2-2,2-2,100.0%,1-1,100.0%,0,2,2,1,0,1,0,11,13
vs Monbus Obradoiro,16 feb 2025,G  95-82,14,2,2,17,4-4,2-2,100.0%,0-0,-,0,2,2,2,0,0,0,14,18
@ Súper Agropal Palencia,12 feb 2025,G  85-87,2,1,0,11,1-1,0-2,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
vs C.B. Moron,8 feb 2025,G  101-71,4,4,3,24,2-5,0-0,40.0%,0-0,-,2,2,4,3,0,0,0,4,8
@ Amics Castello,31 ene 2025,G  71-90,4,4,2,17,2-2,0-4,33.3%,0-1,0.0%,2,2,4,2,1,0,0,4,6
vs Ourense,18 ene 2025,G  106-81,8,3,0,20,1-2,2-3,60.0%,0-0,-,2,1,3,0,1,0,1,8,11
@ Movistar Estudiantes,12 ene 2025,G  91-95,5,7,4,23,1-2,1-4,33.3%,0-0,-,2,5,7,4,0,2,1,5,11
vs Cartagena,4 ene 2025,G  112-84,8,4,0,24,1-4,2-5,33.3%,0-0,-,1,3,4,0,0,3,0,8,3
@ UBU Tizona Burgos,29 dic 2024,G  73-88,13,3,1,24,5-5,1-4,66.7%,0-0,-,1,2,3,1,1,1,0,13,14
@ C.B. Moron,20 dic 2024,G  66-89,5,6,2,22,1-3,1-7,20.0%,0-0,-,3,3,6,2,0,1,1,5,5
vs Amics Castello,15 dic 2024,G  95-68,11,3,1,23,1-4,3-4,50.0%,0-0,-,2,1,3,1,3,0,0,11,14
@ Real Valladolid,11 dic 2024,G  73-104,11,7,1,16,4-4,1-2,83.3%,0-0,-,2,5,7,1,1,1,0,11,18
vs HLA Alicante,7 dic 2024,G  72-65,3,4,0,17,0-1,1-1,50.0%,0-0,-,1,3,4,0,1,0,0,3,7
vs Hestia Menorca,1 dic 2024,G  91-81,4,1,1,19,2-3,0-0,66.7%,0-0,-,0,1,1,1,0,3,0,4,2
@ Real Betis,17 nov 2024,P  90-89,0,1,0,9,0-2,0-2,0.0%,0-0,-,0,1,1,0,0,1,0,0,-4
vs Gipuzkoa Basket,9 nov 2024,G  90-68,5,3,0,18,0-0,1-6,16.7%,2-2,100.0%,1,2,3,0,1,0,0,5,4
@ CB Zamora,3 nov 2024,G  73-79,3,3,1,20,1-2,0-2,25.0%,1-2,50.0%,1,2,3,1,3,0,0,3,6
vs Alimerka Oviedo,26 oct 2024,G  79-69,0,1,0,15,0-0,0-2,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
@ Monbus Obradoiro,19 oct 2024,G  85-91,2,1,0,17,0-0,0-2,0.0%,2-2,100.0%,0,1,1,0,0,0,0,2,1
vs Súper Agropal Palencia,12 oct 2024,G  88-77,2,3,0,17,1-3,0-1,25.0%,0-0,-,1,2,3,0,0,0,0,2,2
@ Fuenlabrada,5 oct 2024,G  70-79,4,0,0,19,0-0,1-1,100.0%,1-2,50.0%,0,0,0,0,0,1,0,4,2
vs Grupo Alega Cantabria,28 sept 2024,G  86-67,8,2,0,19,1-1,2-6,42.9%,0-0,-,0,2,2,0,1,1,0,8,6
