PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,9 may 2025,G  100-88,5,4,1,20,2-4,0-0,50.0%,1-2,50.0%,1,3,4,1,0,2,0,5,5
@ Hestia Menorca,3 may 2025,G  54-85,6,0,1,11,3-4,0-0,75.0%,0-0,-,0,0,0,1,0,1,0,6,5
@ Gipuzkoa Basket,27 abr 2025,G  81-84,23,7,1,21,10-13,0-0,76.9%,3-3,100.0%,5,2,7,1,0,2,3,23,29
vs Fuenlabrada,23 abr 2025,G  87-74,4,8,2,22,2-9,0-0,22.2%,0-0,-,1,7,8,2,1,1,0,4,7
@ Grupo Alega Cantabria,19 abr 2025,G  74-85,5,5,1,23,2-3,0-0,66.7%,1-4,25.0%,1,4,5,1,0,0,1,5,8
@ Alimerka Oviedo,13 abr 2025,G  72-78,14,6,1,21,6-6,0-0,100.0%,2-4,50.0%,2,4,6,1,1,0,4,14,24
vs CB Zamora,5 abr 2025,G  89-73,11,3,1,23,3-7,0-0,42.9%,5-6,83.3%,1,2,3,1,1,4,2,11,9
@ Ourense,29 mar 2025,G  60-74,4,7,4,22,2-7,0-0,28.6%,0-0,-,5,2,7,4,2,0,0,4,12
vs Real Valladolid,22 mar 2025,G  88-61,13,9,1,17,6-9,0-0,66.7%,1-1,100.0%,3,6,9,1,2,1,0,13,21
@ Cartagena,16 mar 2025,G  73-83,4,5,1,14,2-4,0-0,50.0%,0-0,-,0,5,5,1,0,0,0,4,8
vs UBU Tizona Burgos,12 mar 2025,G  77-73,20,8,2,26,6-8,0-0,75.0%,8-8,100.0%,4,4,8,2,1,3,4,20,30
vs Real Betis,8 mar 2025,G  87-67,16,7,1,16,7-7,0-0,100.0%,2-2,100.0%,3,4,7,1,0,0,0,16,24
@ HLA Alicante,2 mar 2025,P  90-88,16,5,1,24,7-11,0-0,63.6%,2-5,40.0%,2,3,5,1,0,1,0,16,14
vs Monbus Obradoiro,16 feb 2025,G  95-82,16,3,3,19,8-13,0-0,61.5%,0-0,-,0,3,3,3,0,0,1,16,18
@ Súper Agropal Palencia,12 feb 2025,G  85-87,6,4,1,20,3-6,0-0,50.0%,0-0,-,1,3,4,1,0,1,3,6,10
vs C.B. Moron,8 feb 2025,G  101-71,13,3,2,17,6-7,0-0,85.7%,1-2,50.0%,1,2,3,2,1,1,1,13,17
@ Amics Castello,31 ene 2025,G  71-90,9,6,0,16,3-6,0-0,50.0%,3-4,75.0%,5,1,6,0,0,1,1,9,11
vs Ourense,18 ene 2025,G  106-81,12,2,0,16,6-7,0-0,85.7%,0-1,0.0%,1,1,2,0,1,3,0,12,10
@ Movistar Estudiantes,12 ene 2025,G  91-95,9,11,2,23,3-7,0-0,42.9%,3-9,33.3%,5,6,11,2,1,1,1,9,13
vs Cartagena,4 ene 2025,G  112-84,15,4,1,19,4-9,0-0,44.4%,7-7,100.0%,2,2,4,1,0,1,1,15,15
@ UBU Tizona Burgos,29 dic 2024,G  73-88,4,10,2,28,2-7,0-0,28.6%,0-0,-,3,7,10,2,1,6,0,4,6
@ C.B. Moron,20 dic 2024,G  66-89,11,4,0,14,3-4,0-0,75.0%,5-7,71.4%,2,2,4,0,0,3,0,11,9
vs Amics Castello,15 dic 2024,G  95-68,12,3,0,17,5-8,0-0,62.5%,2-2,100.0%,0,3,3,0,0,3,2,12,11
@ Real Valladolid,11 dic 2024,G  73-104,8,1,1,14,3-4,0-0,75.0%,2-2,100.0%,0,1,1,1,1,2,1,8,9
vs HLA Alicante,7 dic 2024,G  72-65,11,5,1,15,5-7,0-0,71.4%,1-1,100.0%,1,4,5,1,0,2,0,11,13
vs Hestia Menorca,1 dic 2024,G  91-81,16,10,1,20,7-9,0-0,77.8%,2-2,100.0%,1,9,10,1,0,1,0,16,24
@ CB Zamora,3 nov 2024,G  73-79,6,6,1,12,3-4,0-0,75.0%,0-2,0.0%,1,5,6,1,0,0,1,6,11
vs Alimerka Oviedo,26 oct 2024,G  79-69,19,4,0,20,8-12,0-0,66.7%,3-6,50.0%,2,2,4,0,2,1,0,19,17
@ Monbus Obradoiro,19 oct 2024,G  85-91,6,6,2,23,1-1,1-1,100.0%,1-2,50.0%,2,4,6,2,0,1,0,6,12
vs Súper Agropal Palencia,12 oct 2024,G  88-77,3,1,0,12,1-2,0-0,50.0%,1-2,50.0%,0,1,1,0,0,1,0,3,1
@ Fuenlabrada,5 oct 2024,G  70-79,12,6,2,23,5-8,0-0,62.5%,2-2,100.0%,1,5,6,2,1,1,0,12,17
vs Grupo Alega Cantabria,28 sept 2024,G  86-67,10,5,1,19,5-7,0-0,71.4%,0-2,0.0%,2,3,5,1,1,1,1,10,13
