PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs CB Zamora,27 abr 2025,P  81-88,4,5,2,14,1-1,0-3,25.0%,2-2,100.0%,1,4,5,2,0,1,0,4,7
@ Cartagena,23 abr 2025,P  83-65,8,2,0,17,2-4,1-2,50.0%,1-2,50.0%,0,2,2,0,1,2,1,8,6
@ Súper Agropal Palencia,19 abr 2025,P  102-79,9,3,3,21,4-6,0-1,57.1%,1-4,25.0%,2,1,3,3,2,2,0,9,9
vs Mladost SP,12 abr 2025,P  75-85,6,5,4,33,1-3,1-7,20.0%,1-4,25.0%,0,5,5,4,0,4,0,6,0
vs HLA Alicante,11 abr 2025,P  90-96,4,0,2,20,2-3,0-2,40.0%,0-0,-,0,0,0,2,2,1,0,4,4
@ Gipuzkoa Basket,6 abr 2025,P  90-69,0,4,4,19,0-0,0-0,-,0-0,-,0,4,4,4,1,0,0,0,9
vs Real Betis,28 mar 2025,P  69-91,16,2,1,21,5-6,2-3,77.8%,0-0,-,0,2,2,1,1,6,0,16,12
@ Joker Sombor,26 mar 2025,P  89-75,8,3,3,29,2-5,1-4,33.3%,1-6,16.7%,1,2,3,3,1,3,0,8,1
vs SPD Radnicki,22 mar 2025,G  82-75,25,6,3,37,5-8,5-8,62.5%,0-0,-,1,5,6,3,0,3,0,25,25
@ Amics Castello,21 mar 2025,G  94-97,7,2,0,14,2-3,1-1,75.0%,0-0,-,0,2,2,0,1,0,0,7,9
vs Fuenlabrada,16 mar 2025,G  100-80,15,6,2,24,3-5,3-3,75.0%,0-0,-,1,5,6,2,2,0,0,15,23
@ Vršac Meridianbet,15 mar 2025,P  89-74,14,4,2,37,1-2,4-9,45.5%,0-0,-,0,4,4,2,1,2,0,14,13
@ San Pablo Burgos,12 mar 2025,P  77-73,2,1,0,15,0-2,0-1,0.0%,2-2,100.0%,0,1,1,0,0,1,0,2,-1
vs Vojvodina,8 mar 2025,P  80-106,25,4,2,31,6-8,4-9,58.8%,1-2,50.0%,1,3,4,2,1,2,0,25,22
vs C.B. Moron,7 mar 2025,G  97-73,12,3,2,17,3-5,2-4,55.6%,0-0,-,2,1,3,2,1,0,0,12,14
vs Ourense,2 mar 2025,P  83-84,1,0,1,12,0-0,0-2,0.0%,1-2,50.0%,0,0,0,1,1,2,0,1,-2
@ BKK Radnicki Beograd,1 mar 2025,P  100-55,3,3,3,29,0-3,0-3,0.0%,3-4,75.0%,1,2,3,3,2,3,0,3,1
vs Mladost MaxBet,22 feb 2025,P  92-105,22,5,3,34,6-7,2-4,72.7%,4-6,66.7%,1,4,5,3,0,4,0,22,21
@ Real Valladolid,15 feb 2025,G  97-104,2,2,1,15,1-3,0-1,25.0%,0-0,-,0,2,2,1,1,1,0,2,2
vs Hestia Menorca,12 feb 2025,G  94-92,5,2,1,18,1-2,1-1,66.7%,0-1,0.0%,1,1,2,1,1,1,0,5,6
vs Metalac,8 feb 2025,G  86-80,25,9,2,40,4-6,2-7,46.2%,11-14,78.6%,3,6,9,2,1,3,0,25,24
@ Alimerka Oviedo,8 feb 2025,P  98-84,3,0,1,12,0-0,1-1,100.0%,0-0,-,0,0,0,1,0,1,0,3,3
@ Sloboda Uzice,1 feb 2025,P  107-76,8,2,1,23,1-2,1-2,50.0%,3-4,75.0%,0,2,2,1,0,2,0,8,6
vs Zlatibor Gold Gondola,26 ene 2025,G  76-75,13,4,4,36,3-4,1-6,40.0%,4-4,100.0%,0,4,4,4,1,4,0,13,12
@ Tamis,19 ene 2025,P  100-89,25,5,3,38,5-5,4-10,60.0%,3-4,75.0%,1,4,5,3,0,2,0,25,24
@ CB Zamora,18 ene 2025,G  81-94,5,2,2,11,2-3,0-0,66.7%,1-2,50.0%,2,0,2,2,0,0,0,5,7
vs OKK Beograd,11 ene 2025,G  83-79,17,6,1,39,3-4,2-11,33.3%,5-8,62.5%,0,6,6,1,2,3,0,17,10
vs Gipuzkoa Basket,10 ene 2025,G  88-79,5,3,1,23,1-6,1-3,22.2%,0-0,-,1,2,3,1,0,0,0,5,2
vs Dynamic Balkan Bet,5 ene 2025,P  81-90,16,3,2,39,3-8,3-7,40.0%,1-1,100.0%,0,3,3,2,2,1,0,16,13
@ Fuenlabrada,5 ene 2025,P  95-67,0,3,0,15,0-0,0-2,0.0%,0-0,-,1,2,3,0,1,0,0,0,2
vs San Pablo Burgos,29 dic 2024,P  73-88,3,2,0,19,0-0,1-4,25.0%,0-0,-,1,1,2,0,0,1,0,3,1
@ Mladost SP,28 dic 2024,G  72-91,11,5,4,29,2-3,2-5,50.0%,1-2,50.0%,1,4,5,4,0,3,0,11,12
@ HLA Alicante,21 dic 2024,P  104-89,4,3,1,24,2-3,0-4,28.6%,0-0,-,1,2,3,1,1,0,0,4,4
vs Čačak 94,21 dic 2024,G  87-77,34,5,4,37,6-10,6-11,57.1%,4-4,100.0%,0,5,5,4,1,1,0,34,34
@ OKK Novi Pazar,15 dic 2024,G  81-95,17,7,2,32,3-4,3-8,50.0%,2-4,50.0%,2,5,7,2,0,0,0,17,18
vs Joker Sombor,11 dic 2024,G  90-87,18,6,3,35,1-3,4-9,41.7%,4-6,66.7%,0,6,6,3,1,1,0,18,18
@ Hestia Menorca,7 dic 2024,G  88-95,12,6,0,25,2-4,2-4,50.0%,2-2,100.0%,2,4,6,0,1,1,0,12,14
@ SPD Radnicki,7 dic 2024,P  81-71,10,4,5,35,2-4,2-4,50.0%,0-0,-,0,4,4,5,0,1,0,10,14
@ Ourense,1 dic 2024,G  86-87,7,3,0,25,1-4,1-1,40.0%,2-2,100.0%,0,3,3,0,0,0,0,7,7
vs Vršac Meridianbet,30 nov 2024,P  73-82,20,5,5,37,3-3,4-12,46.7%,2-4,50.0%,1,4,5,5,0,3,0,20,17
@ Vojvodina,22 nov 2024,P  96-70,13,4,2,30,3-4,2-7,45.5%,1-2,50.0%,1,3,4,2,0,1,0,13,11
vs Alimerka Oviedo,16 nov 2024,G  106-81,6,2,1,18,2-2,0-0,100.0%,2-2,100.0%,2,0,2,1,1,0,0,6,10
vs BKK Radnicki Beograd,16 nov 2024,G  88-84,4,2,1,26,2-3,0-3,33.3%,0-0,-,1,1,2,1,1,5,0,4,-1
@ Monbus Obradoiro,9 nov 2024,P  95-89,6,2,0,17,3-7,0-1,37.5%,0-0,-,2,0,2,0,0,0,0,6,3
@ Mladost MaxBet,8 nov 2024,P  89-83,27,7,2,32,10-14,1-6,55.0%,4-6,66.7%,3,4,7,2,1,1,0,27,25
@ C.B. Moron,27 oct 2024,G  80-99,9,5,1,19,1-2,1-2,50.0%,4-4,100.0%,0,5,5,1,0,2,0,9,11
vs Real Valladolid,18 oct 2024,G  94-85,10,7,0,18,4-5,0-1,66.7%,2-3,66.7%,2,5,7,0,2,2,0,10,14
vs Movistar Estudiantes,11 oct 2024,G  94-91,5,5,0,20,2-2,0-1,66.7%,1-2,50.0%,3,2,5,0,0,3,0,5,5
@ Real Betis,4 oct 2024,P  95-76,10,0,0,19,2-4,2-7,36.4%,0-0,-,0,0,0,0,0,1,0,10,2
vs Súper Agropal Palencia,27 sept 2024,P  85-91,4,3,0,16,2-3,0-1,50.0%,0-0,-,0,3,3,0,0,1,0,4,4
