PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Monbus Obradoiro,9 may 2025,P  100-102,11,3,0,23,3-6,0-0,50.0%,5-6,83.3%,1,2,3,0,0,0,0,11,10
@ Movistar Estudiantes,4 may 2025,P  105-88,4,1,1,6,2-2,0-0,100.0%,0-0,-,0,1,1,1,2,1,0,4,7
vs CB Zamora,27 abr 2025,P  81-88,15,3,2,23,7-12,0-0,58.3%,1-2,50.0%,1,2,3,2,0,0,0,15,14
@ Cartagena,23 abr 2025,P  83-65,13,8,1,15,6-8,0-0,75.0%,1-1,100.0%,5,3,8,1,1,1,0,13,20
@ Súper Agropal Palencia,19 abr 2025,P  102-79,2,2,3,14,1-1,0-0,100.0%,0-0,-,2,0,2,3,1,0,0,2,8
vs HLA Alicante,11 abr 2025,P  90-96,3,9,1,18,1-3,0-0,33.3%,1-1,100.0%,1,8,9,1,0,0,0,3,11
@ Gipuzkoa Basket,6 abr 2025,P  90-69,6,3,2,17,2-5,0-0,40.0%,2-4,50.0%,0,3,3,2,1,1,0,6,6
vs Real Betis,28 mar 2025,P  69-91,6,4,0,12,3-8,0-0,37.5%,0-0,-,1,3,4,0,1,0,0,6,6
@ Amics Castello,21 mar 2025,G  94-97,7,6,0,20,2-4,0-0,50.0%,3-4,75.0%,1,5,6,0,0,5,1,7,6
vs Fuenlabrada,16 mar 2025,G  100-80,8,0,0,13,2-4,0-0,50.0%,4-4,100.0%,0,0,0,0,0,1,0,8,5
@ San Pablo Burgos,12 mar 2025,P  77-73,6,6,0,11,3-4,0-0,75.0%,0-0,-,1,5,6,0,0,2,0,6,9
vs C.B. Moron,7 mar 2025,G  97-73,6,6,1,16,3-6,0-0,50.0%,0-0,-,2,4,6,1,0,1,0,6,9
vs Ourense,2 mar 2025,P  83-84,18,4,0,22,6-7,0-0,85.7%,6-7,85.7%,2,2,4,0,0,0,0,18,20
@ Real Valladolid,15 feb 2025,G  97-104,6,2,0,16,2-6,0-0,33.3%,2-3,66.7%,0,2,2,0,1,2,0,6,2
vs Hestia Menorca,12 feb 2025,G  94-92,2,5,0,17,0-3,0-1,0.0%,2-2,100.0%,1,4,5,0,0,2,0,2,1
@ Alimerka Oviedo,8 feb 2025,P  98-84,16,6,0,15,8-10,0-0,80.0%,0-1,0.0%,4,2,6,0,2,0,0,16,21
vs Grupo Alega Cantabria,31 ene 2025,G  90-87,2,9,0,13,1-4,0-0,25.0%,0-2,0.0%,3,6,9,0,0,1,0,2,5
@ CB Zamora,18 ene 2025,G  81-94,24,9,0,20,11-16,0-0,68.8%,2-2,100.0%,4,5,9,0,1,1,0,24,28
vs Gipuzkoa Basket,10 ene 2025,G  88-79,12,7,0,17,6-7,0-1,75.0%,0-0,-,1,6,7,0,1,3,0,12,15
@ Fuenlabrada,5 ene 2025,P  95-67,13,7,0,20,5-6,0-1,71.4%,3-3,100.0%,3,4,7,0,1,1,0,13,18
vs San Pablo Burgos,29 dic 2024,P  73-88,7,6,0,17,2-4,0-1,40.0%,3-4,75.0%,2,4,6,0,0,1,0,7,8
@ HLA Alicante,21 dic 2024,P  104-89,6,4,2,15,2-4,0-0,50.0%,2-2,100.0%,4,0,4,2,0,0,0,6,10
@ Grupo Alega Cantabria,15 dic 2024,P  83-80,6,7,1,20,3-4,0-1,60.0%,0-0,-,3,4,7,1,0,0,0,6,12
vs Cartagena,11 dic 2024,G  103-96,7,3,1,14,3-3,0-0,100.0%,1-2,50.0%,0,3,3,1,1,2,0,7,9
@ Hestia Menorca,7 dic 2024,G  88-95,8,5,1,19,3-6,0-0,50.0%,2-2,100.0%,2,3,5,1,1,1,0,8,11
@ Ourense,1 dic 2024,G  86-87,5,4,2,15,1-4,0-0,25.0%,3-4,75.0%,1,3,4,2,0,1,1,5,7
vs Alimerka Oviedo,16 nov 2024,G  106-81,9,14,0,25,4-5,0-0,80.0%,1-4,25.0%,4,10,14,0,0,0,1,9,20
@ Monbus Obradoiro,9 nov 2024,P  95-89,2,5,0,12,1-2,0-0,50.0%,0-0,-,2,3,5,0,1,0,1,2,8
vs Amics Castello,1 nov 2024,P  105-107,13,5,0,26,6-12,0-0,50.0%,1-2,50.0%,0,5,5,0,1,0,0,13,12
@ C.B. Moron,27 oct 2024,G  80-99,10,7,0,21,5-6,0-0,83.3%,0-0,-,2,5,7,0,1,3,0,10,14
vs Real Valladolid,18 oct 2024,G  94-85,15,8,0,24,6-9,1-1,70.0%,0-0,-,1,7,8,0,2,0,0,15,22
vs Movistar Estudiantes,11 oct 2024,G  94-91,2,7,0,19,1-3,0-0,33.3%,0-0,-,2,5,7,0,3,2,0,2,8
@ Real Betis,4 oct 2024,P  95-76,2,8,1,18,1-2,0-0,50.0%,0-0,-,2,6,8,1,1,0,0,2,11
vs Súper Agropal Palencia,27 sept 2024,P  85-91,5,5,0,17,1-3,0-0,33.3%,3-4,75.0%,0,5,5,0,1,5,0,5,3
