PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,6 dic 2025,P  98-75,4,2,0,16,1-1,0-1,50.0%,2-2,100.0%,1,1,2,0,0,3,0,4,2
vs Palma Basquet Mallorca,23 nov 2025,G  90-76,6,3,0,15,2-3,0-1,50.0%,2-2,100.0%,0,3,3,0,0,0,0,6,7
@ Leyma Coruña,14 nov 2025,P  101-89,12,6,5,18,1-3,2-6,33.3%,4-4,100.0%,2,4,6,5,1,2,0,12,16
vs HLA Alicante,9 nov 2025,P  79-90,8,5,2,19,2-3,0-3,33.3%,4-5,80.0%,1,4,5,2,2,1,1,8,12
@ Grupo Alega Cantabria,1 nov 2025,P  76-72,2,5,0,10,1-2,0-0,50.0%,0-0,-,1,4,5,0,0,1,0,2,5
vs Súper Agropal Palencia,26 oct 2025,G  80-75,4,3,3,15,1-2,0-0,50.0%,2-3,66.7%,1,2,3,3,0,1,1,4,8
@ Monbus Obradoiro,18 oct 2025,P  79-59,7,2,0,8,0-1,2-3,50.0%,1-2,50.0%,1,1,2,0,0,0,0,7,6
vs Movistar Estudiantes,12 oct 2025,P  70-82,0,2,1,13,0-1,0-1,0.0%,0-0,-,0,2,2,1,0,4,0,0,-3
@ Fuenlabrada,4 oct 2025,P  82-73,2,4,0,17,1-2,0-3,20.0%,0-0,-,2,2,4,0,2,1,0,2,3
@ UBU Tizona Burgos,26 sept 2025,P  106-91,7,1,1,16,2-2,1-2,75.0%,0-0,-,0,1,1,1,1,3,0,7,6
