PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,6 dic 2025,P  98-75,20,9,3,26,4-5,3-4,77.8%,3-4,75.0%,2,7,9,3,0,2,0,20,27
vs Palma Basquet Mallorca,23 nov 2025,G  90-76,16,9,2,23,4-5,1-3,62.5%,5-6,83.3%,1,8,9,2,0,1,0,16,22
@ Leyma Coruña,14 nov 2025,P  101-89,10,3,1,20,2-4,2-3,57.1%,0-0,-,0,3,3,1,0,2,0,10,9
vs HLA Alicante,9 nov 2025,P  79-90,12,6,2,22,5-7,0-2,55.6%,2-3,66.7%,1,5,6,2,1,2,0,12,14
@ Grupo Alega Cantabria,1 nov 2025,P  76-72,15,10,0,22,3-5,1-1,66.7%,6-7,85.7%,1,9,10,0,0,1,0,15,21
vs Súper Agropal Palencia,26 oct 2025,G  80-75,9,19,1,28,3-5,1-1,66.7%,0-0,-,1,18,19,1,0,4,3,9,26
@ Monbus Obradoiro,18 oct 2025,P  79-59,9,4,0,19,4-7,0-1,50.0%,1-1,100.0%,0,4,4,0,0,1,0,9,8
vs Movistar Estudiantes,12 oct 2025,P  70-82,17,13,0,25,3-7,2-2,55.6%,5-6,83.3%,4,9,13,0,1,0,1,17,27
@ Fuenlabrada,4 oct 2025,P  82-73,18,6,0,18,5-8,2-3,63.6%,2-2,100.0%,3,3,6,0,1,3,0,18,18
@ UBU Tizona Burgos,26 sept 2025,P  106-91,9,2,0,17,4-5,0-0,80.0%,1-4,25.0%,1,1,2,0,0,0,0,9,7
