PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Fuenlabrada,6 dic 2025,G  97-69,4,1,0,11,2-2,0-0,100.0%,0-0,-,1,0,1,0,1,0,0,4,6
vs Fibwi Palma,23 nov 2025,G  99-89,4,6,1,19,1-1,0-0,100.0%,2-4,50.0%,2,4,6,1,0,1,0,4,8
@ Cartagena,15 nov 2025,G  68-94,6,7,1,23,3-6,0-0,50.0%,0-2,0.0%,3,4,7,1,0,1,0,6,8
vs UBU Tizona Burgos,8 nov 2025,G  93-68,9,3,1,15,4-5,0-0,80.0%,1-2,50.0%,2,1,3,1,1,1,0,9,11
@ Alimerka Oviedo,1 nov 2025,G  75-79,10,1,0,25,5-7,0-0,71.4%,0-0,-,0,1,1,0,0,3,2,10,8
@ Movistar Estudiantes,26 oct 2025,G  78-79,10,3,0,28,5-6,0-0,83.3%,0-0,-,1,2,3,0,2,3,0,10,11
vs Melilla Ciudad Del Deporte 1,18 oct 2025,G  79-59,17,10,0,20,8-11,0-0,72.7%,1-2,50.0%,4,6,10,0,0,1,0,17,22
@ Gipuzkoa Basket,10 oct 2025,G  95-96,22,7,0,28,8-13,0-0,61.5%,6-8,75.0%,3,4,7,0,0,1,1,22,22
vs Grupo Alega Cantabria,4 oct 2025,P  82-87,12,2,0,27,5-6,0-0,83.3%,2-2,100.0%,1,1,2,0,0,2,1,12,12
@ Hestia Menorca,27 sept 2025,P  97-77,9,6,0,22,3-4,0-0,75.0%,3-5,60.0%,1,5,6,0,0,0,0,9,12
