PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,7 dic 2025,P  87-86,24,3,2,26,1-1,6-8,77.8%,4-4,100.0%,0,3,3,2,3,3,1,24,28
vs Ourense,23 nov 2025,P  77-99,22,0,0,18,1-1,5-6,85.7%,5-5,100.0%,0,0,0,0,0,0,0,22,21
@ Grupo Alega Cantabria,15 nov 2025,G  84-91,11,4,0,11,1-1,2-6,42.9%,3-5,60.0%,2,2,4,0,1,1,0,11,9
@ Monbus Obradoiro,8 nov 2025,P  93-68,8,1,2,17,1-2,1-6,25.0%,3-3,100.0%,0,1,1,2,0,0,0,8,5
vs Gipuzkoa Basket,31 oct 2025,G  81-73,11,3,1,16,4-6,1-2,62.5%,0-0,-,0,3,3,1,0,0,0,11,12
vs Leyma Coruña,25 oct 2025,P  82-97,4,0,1,20,2-6,0-4,20.0%,0-0,-,0,0,0,1,1,1,0,4,-3
@ Alimerka Oviedo,18 oct 2025,P  93-80,9,2,1,23,2-5,1-4,33.3%,2-2,100.0%,0,2,2,1,1,5,0,9,2
vs Fuenlabrada,10 oct 2025,P  89-93,15,2,2,21,0-1,3-9,30.0%,6-6,100.0%,0,2,2,2,0,0,0,15,12
@ CB Zamora,4 oct 2025,P  101-95,9,1,2,21,1-3,1-6,22.2%,4-4,100.0%,0,1,1,2,3,1,0,9,7
vs Melilla Ciudad Del Deporte 1,26 sept 2025,G  106-91,20,4,2,19,4-5,3-6,63.6%,3-4,75.0%,2,2,4,2,1,1,0,20,21
