PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hestia Menorca,6 dic 2025,P  88-74,5,1,2,26,1-3,1-5,25.0%,0-0,-,0,1,1,2,0,3,0,5,-1
vs Cartagena,22 nov 2025,G  90-71,15,1,3,29,1-6,4-9,33.3%,1-2,50.0%,0,1,1,3,0,0,0,15,8
@ Gipuzkoa Basket,14 nov 2025,G  82-86,18,0,1,29,2-4,4-6,60.0%,2-2,100.0%,0,0,0,1,0,2,0,18,13
vs Súper Agropal Palencia,8 nov 2025,P  77-102,18,4,1,27,1-5,4-9,35.7%,4-4,100.0%,1,3,4,1,1,1,0,18,14
vs Palma Basquet Mallorca,1 nov 2025,G  99-76,18,0,0,24,3-5,4-5,70.0%,0-0,-,0,0,0,0,1,1,0,18,15
@ HLA Alicante,26 oct 2025,P  94-86,3,2,1,25,0-2,1-7,11.1%,0-0,-,1,1,2,1,1,0,0,3,-1
@ Fibwi Palma,19 oct 2025,P  88-83,12,2,0,23,0-2,4-7,44.4%,0-0,-,1,1,2,0,0,3,0,12,6
vs Ourense,11 oct 2025,P  84-94,10,3,1,26,1-3,2-7,30.0%,2-2,100.0%,0,3,3,1,0,4,0,10,3
vs UBU Tizona Burgos,4 oct 2025,G  101-95,12,4,2,25,0-4,3-7,27.3%,3-4,75.0%,2,2,4,2,0,1,0,12,8
@ Grupo Alega Cantabria,27 sept 2025,G  72-96,20,1,0,24,4-5,4-8,61.5%,0-0,-,0,1,1,0,0,0,0,20,16
