uri_equipo,ano_inicio,victorias_total,partidos_jugados,puntos_total,puntos_promedio,valoracion_total,valoracion_promedio,asistencias_total,asistencias_promedio,robos_total,robos_promedio,perdidas_total,perdidas_promedio,tapones_total,tapones_promedio,rebotes_ofensivos_total,rebotes_ofensivos_promedio,rebotes_defensivos_total,rebotes_defensivos_promedio,rebotes_totales_total,rebotes_totales_promedio,faltas_cometidas_total,faltas_cometidas_promedio,faltas_recibidas_total,faltas_recibidas_promedio,mas_menos_total,mas_menos_promedio,t2_metidos_total,t2_metidos_promedio,t2_intentados_total,t2_intentados_promedio,t3_metidos_total,t3_metidos_promedio,t3_intentados_total,t3_intentados_promedio,t1_metidos_total,t1_metidos_promedio,t1_intentados_total,t1_intentados_promedio,tiros_campo_metidos_total,tiros_campo_metidos_promedio,tiros_campo_intentados_total,tiros_campo_intentados_promedio,win_rate,ts_porcentaje,ast_ratio,reb_ratio_ofensivo,posesiones_totales,posesiones_por_partido,ortg_equipo,nombre_equipo
https://www.proballers.com/es/baloncesto/equipo/13201/real-murcia,2020,12,26,1912.0,73.54,1905.0,73.27,301.0,11.58,136.0,5.23,337.0,12.96,37.0,1.42,222.0,8.54,610.0,23.46,832.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,483,18.58,928,35.69,202,7.77,613,23.58,340,13.08,460,17.69,685,26.35,1541,59.27,46.15,54.84,14.47,26.68,1858.4,71.48,102.88,Real Murcia
https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,2018,11,34,2321.0,68.26,2225.0,65.44,439.0,12.91,219.0,6.44,455.0,13.38,80.0,2.35,305.0,8.97,770.0,22.65,1075.0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,657,19.32,1410,41.47,214,6.29,734,21.59,365,10.74,546,16.06,871,25.62,2144,63.06,32.35,48.67,15.46,28.37,2534.24,74.54,91.59,Real Canoe
https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,2019,5,24,1843.0,76.79,1912.0,79.67,351.0,14.62,169.0,7.04,268.0,11.17,70.0,2.92,236.0,9.83,523.0,21.79,759.0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,455,18.96,923,38.46,204,8.5,626,26.08,321,13.38,443,18.46,659,27.46,1549,64.54,20.83,52.84,17.45,31.09,1775.92,74.0,103.78,Real Canoe
https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,2020,5,26,1920.0,73.85,1860.0,71.54,383.0,14.73,176.0,6.77,339.0,13.04,30.0,1.15,230.0,8.85,575.0,22.12,805.0,30.96,0.0,0.0,0.0,0.0,0.0,0.0,523,20.12,1042,40.08,190,7.31,641,24.65,304,11.69,449,17.27,713,27.42,1683,64.73,19.23,51.05,17.26,28.57,1989.56,76.52,96.5,Real Canoe
https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion,2019,10,24,1838.0,76.58,1886.0,78.58,353.0,14.71,186.0,7.75,287.0,11.96,28.0,1.17,277.0,11.54,552.0,23.0,829.0,34.54,0.0,0.0,0.0,0.0,0.0,0.0,473,19.71,1037,43.21,171,7.12,531,22.12,379,15.79,516,21.5,644,26.83,1568,65.33,41.67,51.2,16.95,33.41,1805.04,75.21,101.83,Almansa Con Afanion
https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion,2020,12,28,2166.0,77.36,2285.0,81.61,433.0,15.46,181.0,6.46,325.0,11.61,22.0,0.79,215.0,7.68,617.0,22.04,832.0,29.71,0.0,0.0,0.0,0.0,0.0,0.0,561,20.04,1017,36.32,221,7.89,643,22.96,381,13.61,527,18.82,782,27.93,1660,59.29,42.86,57.24,19.53,25.84,2001.88,71.5,108.2,Almansa Con Afanion
https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion,2021,13,34,2704.0,79.53,2781.0,81.79,466.0,13.71,218.0,6.41,438.0,12.88,40.0,1.18,249.0,7.32,760.0,22.35,1009.0,29.68,0.0,0.0,0.0,0.0,0.0,0.0,689,20.26,1285,37.79,269,7.91,732,21.53,519,15.26,678,19.94,958,28.18,2017,59.32,38.24,58.39,16.93,24.68,2504.32,73.66,107.97,Almansa Con Afanion
https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion,2022,13,34,2568.0,75.53,2655.0,78.09,516.0,15.18,182.0,5.35,373.0,10.97,51.0,1.5,299.0,8.79,808.0,23.76,1107.0,32.56,0.0,0.0,0.0,0.0,0.0,0.0,603,17.74,1239,36.44,293,8.62,877,25.79,483,14.21,659,19.38,896,26.35,2116,62.24,38.24,53.37,18.57,27.01,2479.96,72.94,103.55,Almansa Con Afanion
https://www.proballers.com/es/baloncesto/equipo/13356/basquet-girona,2020,12,26,2031.0,78.12,2078.0,79.92,371.0,14.27,185.0,7.12,313.0,12.04,32.0,1.23,187.0,7.19,582.0,22.38,769.0,29.58,0.0,0.0,0.0,0.0,0.0,0.0,511,19.65,949,36.5,246,9.46,693,26.65,271,10.42,383,14.73,757,29.12,1642,63.15,46.15,56.09,17.47,24.32,1936.52,74.48,104.88,Basquet Girona
https://www.proballers.com/es/baloncesto/equipo/13356/basquet-girona,2021,21,34,2675.0,78.68,2792.0,82.12,462.0,13.59,218.0,6.41,398.0,11.71,50.0,1.47,278.0,8.18,872.0,25.65,1150.0,33.82,0.0,0.0,0.0,0.0,0.0,0.0,698,20.53,1314,38.65,278,8.18,859,25.26,445,13.09,613,18.03,976,28.71,2173,63.91,61.76,54.75,16.26,24.17,2562.72,75.37,104.38,Basquet Girona
